EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,3,4,1,3,4,3,4,13,fuu; eesti; sümfooniaorkester; klaverikontsert; reimann; prelüüd; följeton; tants
5,4,3,4,1,3,4,3,4,13,fuu; eesti; sümfooniaorkester; klaverikontsert; reimann; prelüüd; följeton; tants
5,4,3,4,1,3,4,3,4,13,fuu; eesti; sümfooniaorkester; klaverikontsert; reimann; prelüüd; följeton; tants
5,4,3,4,1,3,4,3,4,13,fuu; eesti; sümfooniaorkester; klaverikontsert; reimann; prelüüd; följeton; tants
5,4,3,4,1,3,4,3,4,13,fuu; eesti; sümfooniaorkester; klaverikontsert; reimann; prelüüd; följeton; tants
5,4,4,4,1,3,4,4,4,13,fuu; eesti; sümfooniaorkester; klaverikontsert; reimann; prelüüd; följeton; tants
6,4,3,5,1,5,4,5,4,13,fuu; eesti; sümfooniaorkester; klaverikontsert; reimann; prelüüd; följeton; tants
7,3,3,3,2,6,4,4,4,13,fuu; eesti; sümfooniaorkester; klaverikontsert; reimann; prelüüd; följeton; tants
7,4,4,6,2,5,3,4,4,13,fuu; eesti; sümfooniaorkester; klaverikontsert; reimann; prelüüd; följeton; tants
4,3,3,6,2,5,3,5,4,13,fuu; eesti; sümfooniaorkester; klaverikontsert; reimann; prelüüd; följeton; tants
4,3,3,6,3,5,4,4,5,13,fuu; eesti; sümfooniaorkester; klaverikontsert; reimann; prelüüd; följeton; tants
