EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,2,2,1,1,2,2,2,1,12,jõud; maagiline; keel; sõna
4,2,2,1,1,2,2,2,1,12,jõud; maagiline; keel; sõna
4,2,2,1,1,2,2,2,1,12,jõud; maagiline; keel; sõna
4,2,2,1,1,2,2,2,1,12,jõud; maagiline; keel; sõna
4,2,2,1,1,2,2,2,1,12,jõud; maagiline; keel; sõna
4,2,2,1,1,2,2,2,1,12,jõud; maagiline; keel; sõna
2,2,2,0,1,2,2,3,1,12,jõud; maagiline; keel; sõna
2,3,4,0,1,4,3,2,1,12,jõud; maagiline; keel; sõna
2,3,1,1,1,4,2,2,1,12,jõud; maagiline; keel; sõna
2,4,2,2,0,4,2,2,2,12,jõud; maagiline; keel; sõna
2,4,2,2,0,4,2,2,2,12,jõud; maagiline; keel; sõna
