EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,4,8,4,6,6,7,6,11,raudtee; talent; näitleja; jaan; kruusvall; lühijutt; provintsiteater; tädi; lahkumisavaldus; unimüts
6,7,4,8,4,6,6,7,6,11,raudtee; talent; näitleja; jaan; kruusvall; lühijutt; provintsiteater; tädi; lahkumisavaldus; unimüts
6,7,4,8,4,6,6,7,6,11,raudtee; talent; näitleja; jaan; kruusvall; lühijutt; provintsiteater; tädi; lahkumisavaldus; unimüts
6,7,4,8,4,6,6,7,6,11,raudtee; talent; näitleja; jaan; kruusvall; lühijutt; provintsiteater; tädi; lahkumisavaldus; unimüts
6,7,4,8,4,6,6,7,6,11,raudtee; talent; näitleja; jaan; kruusvall; lühijutt; provintsiteater; tädi; lahkumisavaldus; unimüts
6,7,4,8,4,6,6,7,6,11,raudtee; talent; näitleja; jaan; kruusvall; lühijutt; provintsiteater; tädi; lahkumisavaldus; unimüts
6,7,4,8,4,6,6,7,6,11,raudtee; talent; näitleja; jaan; kruusvall; lühijutt; provintsiteater; tädi; lahkumisavaldus; unimüts
6,7,4,8,4,6,6,7,6,11,raudtee; talent; näitleja; jaan; kruusvall; lühijutt; provintsiteater; tädi; lahkumisavaldus; unimüts
6,7,4,8,4,6,6,7,6,11,raudtee; talent; näitleja; jaan; kruusvall; lühijutt; provintsiteater; tädi; lahkumisavaldus; unimüts
6,7,4,8,4,6,6,7,6,11,raudtee; talent; näitleja; jaan; kruusvall; lühijutt; provintsiteater; tädi; lahkumisavaldus; unimüts
6,7,4,8,4,6,6,7,6,11,raudtee; talent; näitleja; jaan; kruusvall; lühijutt; provintsiteater; tädi; lahkumisavaldus; unimüts
