EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,4,5,4,7,5,6,1,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
7,5,4,5,4,7,5,6,1,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
7,5,4,5,4,7,5,6,1,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
7,5,4,5,4,7,5,6,1,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
7,5,6,5,4,7,5,6,1,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
8,5,5,5,4,6,5,6,1,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
7,6,6,3,4,5,6,6,1,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
6,6,7,6,3,6,6,7,1,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
5,4,7,7,2,6,6,6,1,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
7,5,7,6,3,6,5,8,1,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
7,2,7,6,3,6,5,6,2,10,toimetus; direktor; saade; laboratoorium; režissöör; fotograaf; koosolek; stuudio; filmiruum; televisioon
