EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,7,8,4,5,9,8,9,5,11,hoolitsema; kanakasvataja; austraalia; rändama; mulje; reis; kodumaa; sugulane; väliseestlane; maa
1,7,8,4,5,9,8,9,5,11,hoolitsema; kanakasvataja; austraalia; rändama; mulje; reis; kodumaa; sugulane; väliseestlane; maa
1,7,8,4,5,9,8,9,5,11,hoolitsema; kanakasvataja; austraalia; rändama; mulje; reis; kodumaa; sugulane; väliseestlane; maa
1,7,8,4,5,9,8,9,5,11,hoolitsema; kanakasvataja; austraalia; rändama; mulje; reis; kodumaa; sugulane; väliseestlane; maa
1,7,8,4,5,9,8,9,5,11,hoolitsema; kanakasvataja; austraalia; rändama; mulje; reis; kodumaa; sugulane; väliseestlane; maa
1,6,8,4,5,9,8,9,5,11,hoolitsema; kanakasvataja; austraalia; rändama; mulje; reis; kodumaa; sugulane; väliseestlane; maa
1,6,8,5,5,9,8,8,5,11,hoolitsema; kanakasvataja; austraalia; rändama; mulje; reis; kodumaa; sugulane; väliseestlane; maa
6,7,8,4,4,8,8,9,5,11,hoolitsema; kanakasvataja; austraalia; rändama; mulje; reis; kodumaa; sugulane; väliseestlane; maa
4,6,8,6,4,9,6,9,5,11,hoolitsema; kanakasvataja; austraalia; rändama; mulje; reis; kodumaa; sugulane; väliseestlane; maa
5,7,10,7,4,6,7,9,7,11,hoolitsema; kanakasvataja; austraalia; rändama; mulje; reis; kodumaa; sugulane; väliseestlane; maa
3,7,8,8,5,7,8,9,6,11,hoolitsema; kanakasvataja; austraalia; rändama; mulje; reis; kodumaa; sugulane; väliseestlane; maa
