EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,7,5,3,3,6,6,6,11,lõpp; töö; katariina; redel; kool; katus; ronima; ema; poiss; kohvik
4,4,7,5,3,3,6,6,6,11,lõpp; töö; katariina; redel; kool; katus; ronima; ema; poiss; kohvik
4,4,7,5,3,3,6,6,6,11,lõpp; töö; katariina; redel; kool; katus; ronima; ema; poiss; kohvik
4,4,7,5,3,3,6,6,6,11,lõpp; töö; katariina; redel; kool; katus; ronima; ema; poiss; kohvik
4,4,7,5,3,3,6,6,6,11,lõpp; töö; katariina; redel; kool; katus; ronima; ema; poiss; kohvik
4,4,7,5,3,3,6,7,6,11,lõpp; töö; katariina; redel; kool; katus; ronima; ema; poiss; kohvik
4,4,7,3,3,5,5,6,6,11,lõpp; töö; katariina; redel; kool; katus; ronima; ema; poiss; kohvik
5,4,7,5,3,5,5,7,6,11,lõpp; töö; katariina; kool; redel; katus; ronima; ema; poiss; kohvik
4,5,5,6,4,6,4,5,6,11,lõpp; töö; katariina; kool; redel; katus; ronima; ema; poiss; kohvik
5,4,6,5,4,7,5,3,5,11,lõpp; töö; katariina; kool; redel; katus; ronima; ema; poiss; kohvik
5,3,3,6,4,6,4,3,9,11,lõpp; töö; katus; ronima; ema; kohvik; katariina; kool; redel; poiss
