EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,5,6,6,7,5,8,5,14,amazon; tehnoloogia; kristjan; uudis; internet; port; cbs; tava; dvd-plaat; kommentaar
5,6,5,6,6,7,5,8,5,14,amazon; tehnoloogia; kristjan; uudis; internet; port; cbs; tava; dvd-plaat; kommentaar
5,6,5,6,6,7,5,8,5,14,amazon; tehnoloogia; kristjan; uudis; internet; port; cbs; tava; dvd-plaat; kommentaar
5,6,5,6,6,7,5,8,7,14,amazon; tehnoloogia; kristjan; uudis; internet; port; cbs; tava; dvd-plaat; kommentaar
5,6,5,6,6,7,5,8,7,14,amazon; tehnoloogia; kristjan; uudis; internet; port; cbs; tava; dvd-plaat; kommentaar
5,6,5,6,6,7,5,8,7,14,amazon; tehnoloogia; kristjan; uudis; internet; port; cbs; tava; dvd-plaat; kommentaar
5,6,5,6,6,7,5,8,7,14,amazon; tehnoloogia; kristjan; uudis; internet; port; cbs; tava; dvd-plaat; kommentaar
5,6,6,6,6,7,5,8,7,14,amazon; tehnoloogia; kristjan; uudis; internet; port; cbs; tava; dvd-plaat; kommentaar
5,6,6,8,7,7,6,9,7,14,kristjan; port; cbs; tava; dvd-plaat; amazon; tehnoloogia; uudis; internet; kommentaar
6,7,6,8,7,7,6,9,7,14,kristjan; port; cbs; tava; dvd-plaat; amazon; tehnoloogia; uudis; internet; kommentaar
8,7,6,7,7,7,6,9,7,14,kristjan; port; cbs; tava; dvd-plaat; amazon; tehnoloogia; uudis; internet; kommentaar
