EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,3,5,1,4,4,6,4,15,traditsioon; muusikaline; rahvamuusika; mandingo; mitmekesisus; mansour; popmuusika; lääne-aafrika; sekk; paavo; rütm; maa
7,6,3,5,1,4,4,6,4,15,traditsioon; muusikaline; rahvamuusika; mandingo; mitmekesisus; mansour; popmuusika; lääne-aafrika; sekk; paavo; rütm; maa
7,6,3,5,1,4,4,6,4,15,traditsioon; muusikaline; rahvamuusika; mandingo; mitmekesisus; mansour; popmuusika; lääne-aafrika; sekk; paavo; rütm; maa
7,6,3,5,1,4,4,6,4,15,traditsioon; muusikaline; rahvamuusika; mandingo; mitmekesisus; mansour; popmuusika; lääne-aafrika; sekk; paavo; rütm; maa
7,5,4,5,1,4,4,5,4,15,traditsioon; muusikaline; rahvamuusika; mandingo; mitmekesisus; mansour; popmuusika; lääne-aafrika; sekk; paavo; rütm; maa
10,6,5,5,1,4,4,5,4,15,traditsioon; muusikaline; rahvamuusika; mandingo; mitmekesisus; mansour; popmuusika; lääne-aafrika; sekk; paavo; rütm; maa
9,8,4,6,1,5,5,6,4,15,traditsioon; muusikaline; rahvamuusika; mandingo; mitmekesisus; mansour; popmuusika; lääne-aafrika; sekk; paavo; rütm; maa
4,6,1,3,1,4,5,5,4,15,traditsioon; muusikaline; rahvamuusika; mandingo; mitmekesisus; mansour; popmuusika; lääne-aafrika; sekk; paavo; rütm; maa
4,5,2,4,1,4,4,6,6,15,traditsioon; muusikaline; rahvamuusika; mandingo; mitmekesisus; mansour; popmuusika; lääne-aafrika; sekk; paavo; rütm; maa
3,4,2,7,2,4,4,5,5,15,traditsioon; muusikaline; rahvamuusika; mandingo; mitmekesisus; mansour; popmuusika; lääne-aafrika; sekk; paavo; rütm; maa
2,6,4,5,2,3,5,7,6,15,traditsioon; muusikaline; rahvamuusika; mandingo; mitmekesisus; mansour; popmuusika; lääne-aafrika; sekk; paavo; rütm; maa
