EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,4,3,4,4,3,2,2,1,12,narratiivsus; žest; kontseptualism; kunstiajalugu; meedium; kunst; kaasaegne; redimed; kuraator
7,4,3,4,4,3,2,2,1,12,narratiivsus; žest; kontseptualism; kunstiajalugu; meedium; kunst; kaasaegne; redimed; kuraator
7,4,3,4,4,3,2,2,1,12,narratiivsus; žest; kontseptualism; kunstiajalugu; meedium; kunst; kaasaegne; redimed; kuraator
7,4,3,4,4,3,2,2,0,12,narratiivsus; žest; kontseptualism; kunstiajalugu; meedium; kunst; kaasaegne; redimed; kuraator
7,5,4,4,4,3,2,2,0,12,narratiivsus; žest; kontseptualism; kunstiajalugu; meedium; kunst; kaasaegne; redimed; kuraator
4,5,4,4,4,4,1,2,0,12,narratiivsus; žest; kontseptualism; kunstiajalugu; meedium; kunst; kaasaegne; redimed; kuraator
3,4,3,3,4,5,4,4,0,12,kriitika; žest; kontseptualism; kunstiajalugu; meedium; kunst; kaasaegne; redimed; kuraator
5,1,4,4,4,2,4,2,1,12,žest; narratiivsus; kontseptualism; kunstiajalugu; meedium; kunst; kaasaegne; redimed; kuraator
6,0,2,4,4,2,4,3,1,12,kriitika; žest; kontseptualism; kunstiajalugu; meedium; kunst; kaasaegne; redimed; kuraator
6,3,1,1,5,2,4,3,2,12,kriitika; žest; kontseptualism; kunstiajalugu; meedium; kunst; kaasaegne; redimed; kuraator
4,2,1,3,5,2,5,3,1,12,kriitika; žest; narratiivsus; kontseptualism; meedium; kunst; kaasaegne; redimed; kuraator
