keyphrase;score
luuletame nõukogude autoritele;0.3944
tõsisemate probleemide räägime;0.3783
ajal hügieeni tervishoiuprobleemid;0.3748
lähenema aastale 1937;0.369
teemade tõsisemate probleemide;0.3688
probleemidele varasemal ajal;0.3641
aastale 1937 märgilise;0.3635
natukene rääkida nõukogude;0.3633
rääkida nõukogude meditsiinist;0.3629
kolmega seotud probleemidele;0.3612
nimelt küsimuses rääkisime;0.3595
seotud probleemidele varasemal;0.3571
1937 märgilise tähendusega;0.3568
tervishoiuprobleemid tuletan kord;0.3535
rääkisime eraldi näiteks;0.352
hügieeni tervishoiuprobleemid tuletan;0.3447
tõsisemate teemade tõsisemate;0.3429
näiteks inimene professor;0.3428
lükanud tõsisemate teemade;0.3415
meelde ajaloo tundidest;0.34
juhtus nõukogude ajakirjanduses;0.3366
head nädalavahetust nõukogude;0.3362
hügieeniolmeteemaga jäid asjad;0.3347
raadiokuulajad ilusat pühapäeva;0.3308
näide nõukogude aegsetest;0.3288
rääkisime korrad nädalad;0.328
võib-olla kord räägime;0.3244
suhteliselt loomulikult juhuseid;0.3225
rääkisime suhtumisest sümbolitesse;0.3206
nõukogude ajaga oluline;0.3199
kirikuga rääkisime eraldi;0.3194
jõuame rääkida huvitav;0.3192
ajas natukene nõukogude;0.3192
revolutsioonijärgsetel aastatel eriti;0.3157
probleemide räägime 30;0.3157
pereprobleemid väljapääsmatud inimesel;0.3145
asjadest teatud inimestele;0.3145
võib-olla märksõnade sündmuste;0.3144
probleem küsimusse nõukogudevariandis;0.3137
unustada reeglina asjade;0.3132
hilisema nõukogude ajaga;0.3125
võrreldes hilisema nõukogude;0.3117
asjad õhku rippuma;0.311
räägita asjadest teatud;0.3102
lõpetasime luuletusega vahetevahel;0.3092
tänapäeval unustatud võib-olla;0.309
natukene jõuame rääkida;0.307
pikalt valdkonnas räägime;0.3068
esimestel revolutsioonijärgsetel aastatel;0.3064
vahetevahel luuletame nõukogude;0.3063
püüaks hügieeniolmeteemaga jäid;0.3059
vahetult revolutsioonijärgsetel aastatel;0.3055
sündmusi juhtus nõukogude;0.3049
nõukogude juhid näiteks;0.3046
vanas ühiskonnas pereprobleemid;0.3039
1934 aasta märts;0.3033
nõukogude autoritele luulet;0.3031
näiteks brošüürid raamatukesed;0.3023
nõukogude meditsiinist kahekümnendatel;0.3023
nõukogude ajakirjanduses tavaliselt;0.3022
diskussioon armastuse küsimustes;0.3022
varasemal ajal näiteks;0.3015
raamatud ilus kingitus;0.3
jällegi meelde ajaloo;0.2998
kingituseks raamatud ilus;0.2991
abstraktsed konkreetne lugu;0.2986
vanaemad sageli probleemi;0.2976
annab traagiline sündmus;0.2973
ühendanud head nädalavahetust;0.297
küllalt suhteliselt loomulikult;0.2964
ilusat pühapäeva ühendanud;0.2944
kirjutasid nähtusest davidson;0.2922
ajalugu kõrgkoolis mäletavad;0.292
ajaloost kadunud spetsiaalselt;0.2917
aasta suvi ilmselt;0.2915
ajalehed tänase päeva;0.2913
nõukogude ajal toimunud;0.2912
aastatel nõukogude liidus;0.2908
seltsimehi teatud aastateks;0.2908
rääkida huvitav moment;0.2904
raamatus ilusad nimed;0.2904
kolm korda aastas;0.2903
räägime 30 -test;0.2902
teatud aastateks jääb;0.2901
tuletame meelde rääkisid;0.2893
ilusad nimed parajasti;0.2891
ühiskonnas pereprobleemid väljapääsmatud;0.289
tunduvalt paremad provintsis;0.2889
jäid asjad õhku;0.2888
küllaltki olulise tähendusega;0.2881
-test kolmekümnendad aastad;0.288
unustatud võib-olla termin;0.2879
näiteks säilinud foto;0.2872
haakub tervishoiuga nõukogude;0.2868
näitlikke üritusi jällegi;0.2866
transpordi nimel sanitaarse;0.2864
tuuakse tänavat ajal;0.2862
inimeste isiklik küsimus;0.286
tegemist nõukogude aegs;0.2851
natukene nõukogude võim;0.2846
nõukogude olmega rääkinud;0.2844
oluline ajal hügieeni;0.2844
tuletab meelde tänane;0.2842
surma detsembris 1925;0.2835
märgilise tähendusega aastale;0.2831
väljapaistvad kirjanikud tsiteerinud;0.2831
aeg isiklikus elus;0.2824
tervis hügieen artikli;0.2821
paratamatult natukene rääkida;0.2819
sfääris suhetest rääkida;0.2814
tervishoiuga nõukogude olmega;0.2809
näide natukene naljakas;0.2806
traagiline sündmus juhtub;0.2804
rituaalidest võib-olla kord;0.2803
saagi tuletame meelde;0.2797
kaob kolmekümnendatel aastatel;0.2794
tähiseks 1934 aasta;0.2794
tulemused küllaltki kurvad;0.2793
ajal näiteks inimene;0.2793
viib ajas natukene;0.2792
mineviku variandis sündmusi;0.2787
sõda ajal ürituste;0.2786
tänapäeval unustatud termin;0.2783
sageli probleemi nimi;0.2779
teame nõukogude vabadused;0.2774
traagilist surma detsembris;0.2774
radikaalne jälle lugude;0.2773
-test aastatest pärinev;0.277
vaadati raamatuid raamatukogudest;0.2767
aastatel eriti inimesi;0.2766
luuletusega vahetevahel luuletame;0.2766
oluline radikaalne jälle;0.276
uurijad temaatikaga tegelenud;0.2757
müstikat nõukogude tavades;0.2753
otseselt temaatikaga tegelenud;0.2751
pikapeale kaob kolmekümnendatel;0.2747
sisu võimalik tänapäeval;0.2746
loomulikult arvud meelde;0.2742
võib-olla termin ajast;0.2742
täna püüaks hügieeniolmeteemaga;0.2738
öelda tähendab davidson;0.2737
sümboliseerib erimaa sündmusi;0.2736
aasta näiteks moskvas;0.2731
pühapäeva ühendanud head;0.273
pesemata 30 protsenti;0.2729
unustusse võib-olla märksõna;0.2726
probleem riigilt temaatika;0.2721
tööd näiteks artikkel;0.2716
küsimuses rääkisime suhtumisest;0.2715
reeglina pidupäev kingitus;0.2713
siberisse võrreldes hilisema;0.2712
vaieldamatult kahekümnendatel aastatel;0.2707
arvestama eriti puudutab;0.2707
väljapääsu natukene intuitiivselt;0.2706
termin tänapäeval unustatud;0.2706
toimus kirikuga rääkisime;0.2704
nõukogude aegsetest kahekümnendad;0.2695
armastuse küsimustes armastus;0.2689
traagiline sündmus trotski;0.2688
ajal toimunud olulised;0.2688
eraldi näiteks brošüürid;0.2682
osade bolševike kodanikeks;0.2682
pesema hambaid hoidma;0.2681
suvel nimelt seotud;0.2678
nädalavahetust nõukogude olmel;0.2676
jällegi koledate asjadel;0.2675
võetakse nõukogude venemaal;0.2673
meelde räägib luuletaja;0.2672
30 -te aastate;0.2669
näiteks moskvas eesrindlik;0.2668
õhtuti peseme hambaid;0.2666
matused traagiline sündmus;0.2665
hambaid puhastama pesema;0.2665
küsimustes armastus tähendab;0.2664
reeglina kingituseks raamatud;0.2664
huvitav moment sageli;0.2664
sanitaarhariduse majad olidki;0.2662
kuuluvad endisesse ühiskonda;0.2661
korda aastas aborti;0.266
nimetama ilusat nime;0.2652
valdavalt nõukogude argielul;0.2652
inimesi tööd näiteks;0.2647
mobiliseeritud väljapaistvad kirjanikud;0.2647
teatud inimestele ammu;0.2646
sagedamini hambaid puhastama;0.2643
massid tuuakse tänavat;0.2635
armastus tähendab nõukogude;0.2634
sündmus juhtub 1926;0.2632
nägi tolleaegsed ajalehed;0.2625
tähelepanu uurijad temaatikaga;0.2622
küllaltki kirjanduses lahti;0.262
meelde kahekümnendad aastad;0.2614
sanitaarse kultuuri nimel;0.2612
aastatel plakateid kirjeldasime;0.2611
meditsiinist kahekümnendatel aastatel;0.2609
riigi probleem riigilt;0.2608
hambaid pesema hiljuti;0.2604
märksõnade sündmuste ajal;0.2602
las nõukogude ajal;0.2599
märksõna tervis hügieen;0.2598
