keyphrase;score
tänase valitsuse;0.595
nädalakommentaaris balti;0.5212
tõsisemalt sotsiaaldemokraatliku;0.5137
laiapõhjaliselt ühiskonda;0.489
kohtumine varasemad;0.4882
tahaksime tegeleta;0.4614
tegeleta alkoteemadega;0.4573
foorumil valiti;0.456
tähelepanu väiksem;0.4531
balti presidentide;0.4408
mõnevõrra jäänud;0.4404
käike muutusi;0.4378
kuus päevakaja;0.4327
ossinovski tõi;0.4273
lugeda uudisteportaalis;0.4254
rahulolematus üldiselt;0.4244
vastutus vastama;0.4195
vene välisministeerium;0.4194
lõppev nädal;0.4168
tippkohtumise tähe;0.4149
partnereid alandas;0.4138
kaheksanda aprillisündmused;0.411
puhub lõuna;0.4095
räägib marid;0.4081
töö- terviseminister;0.4064
ametist lahkumisest;0.4047
2019 valituks;0.3995
aasta lipulaevaürituse;0.3951
töövisiiti erakorralist;0.3939
süsteemselt organisatsiooni;0.3928
fidesz'i kaotuse;0.3878
meedia tähelepanu;0.3873
riigid turbulentsis;0.3871
kaitseministri james;0.3869
püüame ennetada;0.3862
president ilvese;0.386
opositsiooni tõhusat;0.3849
rahvusteatri juht;0.3848
lõpeb külaskäik;0.3833
tartu linnavalitsuse;0.383
jõukasutust ungaris;0.3813
skandinaavias aktiivsemaks;0.3804
päevaks 16;0.3765
liikmena tähistas;0.3755
osakonna vanemspetsialist;0.3705
loodud nato;0.367
kõnetada tähendab;0.3661
seitsmekümneprotsendiline valimisosalus;0.3618
koostöö hästi;0.3617
põhimõttest puhkudel;0.3582
tervise konverentsiga;0.3576
kultuuripealinnale minimaalne;0.357
kella ühese;0.3539
kandidatuuri toetavad;0.3508
tahaksid hommikul;0.3506
intervjuus tõdes;0.35
hoolikalt mõelda;0.3497
toimus kuu;0.3497
eesti läti;0.3491
võimalused täiendavad;0.3491
hakul 2007;0.3473
vaja täpselt;0.3466
hästi paljudeni;0.3448
20 viiendat;0.3413
karjatse ametist;0.34
toimus normaalne;0.3378
eesmärgid arvate;0.3375
üksiku valdkonna;0.3359
washingtonis lõppev;0.3353
kuu aega;0.3344
prioriteediks valinud;0.3343
meeldivat õhtut;0.3329
tõi näiteid;0.3325
hõimurahvaste kokkukäimise;0.3324
esmalt tekib;0.3322
madalam tahaksime;0.3311
no arvutitest;0.3309
mõistan hanno;0.3281
aastaga laienenud;0.3268
jüri luik;0.3243
tuumas valeuudis;0.3215
elu väga-väga;0.3205
usa-le julgeolekupiirkond;0.3178
viime lapse;0.3167
langema kuulsite;0.3143
kirjutas twitteris;0.3142
võrgustiku liikmena;0.3141
programmi üritust;0.3131
soronsa küla;0.313
minimaalne ootus;0.313
erik kiuse;0.3098
2019 obinitsas;0.3095
laua pidevalt;0.3082
sealhulgas naisi;0.3076
tegelikku tähendust;0.3055
õigustada jõukasutust;0.3046
täiendavad 11;0.3043
tiitlile kandideerides;0.3041
põhiline probleem;0.3012
tasapisi surevad;0.2998
pl toetas;0.297
kaks asja;0.2955
diplomaatia jõuline;0.2931
festival erinevad;0.293
ajaloolise mälu;0.2897
sugugi juhuslik;0.2894
bush külla;0.2892
parem üllatuste;0.2881
arengu instituudi;0.2868
seitsmeteistkümne kraadini;0.2867
stiil partnereid;0.2853
tahavad elama;0.2847
põhja kiiresti;0.2834
meest seotud;0.2824
mõnus töötada;0.2815
haiguste puudumisest;0.2808
jääme itta;0.2797
tartu deckarty;0.2776
tugevdada nato;0.2772
õpilased hindavad;0.2752
neli aastat;0.2734
külma frondi;0.2726
james mattise;0.2706
jällegi võlu;0.2697
survet nõudmist;0.2696
pilti tuua;0.2691
liikuv aktiivne;0.2688
kultuurielu elu;0.2688
sildam leiab;0.2676
lapsi arvan;0.2664
1993 aastaga;0.266
uhkust tahete;0.2656
lapse tuua;0.2645
permi-komi asumid;0.2644
pluss kolm;0.2642
projektid konkurendid;0.2633
tuul loodesse;0.2592
tahavad õppida;0.257
usutlus lugeda;0.2564
iseseisvuse 100;0.2528
donald trump;0.2523
osalusprotsent tõusnud;0.252
traumasid liikluskasvatus;0.2496
luik usa;0.2492
kool nigaja;0.2457
tuumalinn katastroofipiirkond;0.2438
sporti tartus;0.2436
1000 elanikuga;0.2422
armee piiramisrõngas;0.2417
kindlasti erinevad;0.2411
suurepärane sõnastus;0.2384
põhjuseks soovi;0.2336
100 sünnipäeva;0.2332
tähendust sügavust;0.2328
uneprobleeme õpilaste;0.2327
vanemspetsialist alice;0.2308
edendatakse sööme;0.2298
tagajärgedeni moskva;0.2298
emotsionaalne tervis;0.2274
viisavabastus usa;0.2243
füüsilisest tervisest;0.2229
tervisele ohtlikke;0.2209
näitavad pulmi;0.2208
silma inimesed;0.2208
õhutemperatuur tõuseb;0.2192
rohelise tuleni;0.2171
bashar al-assadi;0.216
meetrini sekundis;0.2144
tõepoolest võimalik;0.2144
soorunza südamekool;0.2103
saartel puhanguti;0.2101
tihedamaid pilvi;0.2086
nigaja kivisik;0.2074
väga-väga suur;0.2064
jõuluturu terrorirünnakuga;0.2051
ovaalkabinetis suve;0.2041
droomik jätkab;0.203
riidevaliku määravaks;0.203
sadama vihma;0.1985
jääda kool;0.1947
saksa politsei;0.1938
iraani loomuliku;0.1877
tugevaks motivaatoriks;0.1866
neli meest;0.1855
töötada õues;0.1852
valge maja;0.1799
usaldustase kõrge;0.1782
rekordilise 53;0.1716
45 protsenti;0.1702
11 kooli;0.1684
rannikul sooja;0.1682
berliini jõuluturu;0.1667
berliini poolmaratonil;0.1639
haav leidsid;0.1634
küberrünnakute sattunud;0.1616
hümni mängiti;0.1448
terroriste õigustada;0.1443
marii kangur;0.1267
süüriale keemiarelvarünnaku;0.1164
terrorirünnakuga vahistatud;0.0256
