keyphrase;score
number number;0.8564
number neli;0.8326
app store'ist;0.8209
artist otto;0.8154
aidake valida;0.8151
null null;0.8147
ütleks number;0.8147
artist meeldib;0.8123
null reedel;0.8095
play app;0.8088
liftis parem;0.808
head lood;0.8074
andma häält;0.8073
superman uksed;0.8064
kodulehel punkt;0.8052
artistist artist;0.8047
22 null;0.8043
aeglane eile;0.8037
eile energia;0.8033
etv-s improteater;0.8033
ligime vaatame;0.8031
erinev programm;0.8027
talletatud niukene;0.8002
mees istus;0.7995
improimpeerium punkt;0.7994
music netis;0.7989
räpp google;0.7984
podcan palace;0.7981
tallinnas arvan;0.7979
palace sho;0.7977
hullu homme;0.7965
arvas head;0.7964
hot cosmos;0.7956
näiteks kuskile;0.7956
info improimpeerium;0.7949
head hääled;0.794
vähem istuks;0.7933
eksklusiivse intervjuu;0.7932
bänd hindab;0.793
palazzon heaven;0.7929
võidab eesti;0.7929
punkt aasta;0.7928
hetkel ansambli;0.7915
nakkav usun;0.7914
andke hinnang;0.7893
netis kenad;0.7893
andnud korduvalt;0.7892
asja vaata;0.7891
google play;0.7888
seinast seina;0.7887
uute ustega;0.7885
tamm super;0.788
no aeg;0.7878
seitse algab;0.7874
kodus iiri;0.7874
energia muutmise;0.7873
kristus mees;0.7873
energia punase;0.7871
ootab show;0.787
inimmassi bassist;0.7869
usun facebookis;0.7869
bondile laule;0.7865
ütles jack;0.7863
anti auhindu;0.786
punkt kaldkriips;0.786
spectre kergi;0.7858
eile öösel;0.7856
connery ilme;0.7855
uuema yks;0.7853
seals meeste;0.785
valida finaliste;0.7846
suurem kaks;0.7845
salvestatud eri;0.7844
tita tekitab;0.7842
riske tundub;0.784
sell hullu;0.7838
kaks positiivne;0.7837
ütlen äsja;0.7834
mainimata jätta;0.7833
armastus bana;0.7833
kunstnik silver;0.7831
kodu tuul;0.7827
koja mõtet;0.7825
aegruumi kontiinium;0.7823
ilmtingimata artisti;0.7823
toimuvat kontserti;0.7821
hea uut;0.7819
veegolulinen music;0.7818
reide florence;0.7817
hoiab relv;0.7817
ärbaks punkt;0.7816
kuuldavus kuuldavus;0.7811
super hot;0.781
lugu parim;0.7809
palatherfektid timing;0.7809
hea meel;0.7808
programm album;0.7806
lapsi andma;0.7806
füüsi vormis;0.7805
teab ainuke;0.7802
plakateid sell;0.7801
seatöö auto;0.7796
paha hetkel;0.7788
istuks äkki;0.7786
silmad kinni;0.7783
vaadake andke;0.7781
aeg aeg;0.778
kruvida seened;0.7777
palee visuaalse;0.7772
drive esimene;0.7769
telefoni silla;0.7766
r2 rakk;0.7765
paistab toru;0.7765
vaeva tore;0.7758
19 info;0.7758
konkurents seals;0.7751
paljuks anda;0.775
ansamblites mets;0.775
maksud autod;0.775
innuga töö;0.7743
kindlasti kindlasti;0.774
kuningas elektriga;0.7739
tande tänan;0.7738
esimene lugu;0.7736
hetk draiv;0.7736
osa artistist;0.7726
pannud kätt;0.7724
korraga singleid;0.7724
abituriendid 30;0.7718
silver vahtre;0.7715
conor mcgregor;0.771
lava kallis;0.771
lainutkeski tabra;0.7702
florence paltsi;0.7701
tramm buss;0.77
nädalas uusi;0.7698
jaan jaago;0.7694
valikud valed;0.7693
george podcan;0.7692
lood kyll;0.7691
bert järvet;0.7688
aadressilt www;0.7688
leivaministeerium r2;0.7684
vahva vahva;0.768
impeerium laval;0.7677
soontes oleneb;0.7672
keel natuke;0.7671
uusi filme;0.767
mw raadio;0.7668
varahommikul metroos;0.7665
bay härnaks;0.7662
lase kabuhirmul;0.766
hea õnne;0.7657
keskuse kodulehel;0.7657
ärkad hommikul;0.7647
rüe hea;0.7645
ingrid peek;0.7645
vihana anti;0.7638
bassis võitjatele;0.7635
raivo tamm;0.7634
17 felti;0.7634
saadet nimega;0.7628
kogumik nimelt;0.7627
kell 22;0.7626
eesti laulu;0.7626
ivo linna;0.7622
manchesteris kodulinnas;0.7618
plaza kinosaalis;0.7618
hoiab vabana;0.7618
loo james;0.7617
suur suur;0.7616
pahandas saba;0.76
klubis bay;0.7595
ring rahvusringhäälingu;0.7594
konkurss konkurss;0.7593
21 35;0.7581
palgata tonni;0.7576
viimast korda;0.7569
üheksa 18;0.7567
televiisorist televiisor;0.7566
caesar tundub;0.7565
tuulest mullast;0.7562
cola plaza;0.7561
foulsi raali;0.7542
30 aastat;0.753
härnaks tmw;0.7517
uuelt albumilt;0.7514
tmw 2015;0.7511
blues band;0.7502
sho tahan;0.7491
jagada raha;0.7468
poolfinaal laste;0.7462
singel nimega;0.7449
2015 auhinnapidu;0.7439
raamatukogudes lastekirjanduse;0.7436
limusiini tugiloorid;0.7418
cosmos blues;0.7377
veebruaris märtsis;0.7371
coca cola;0.7364
rose riivire;0.734
