keyphrase;score
räägime erinevatest;0.9987
tähendab ongi;0.9986
põhimõtteliselt võib-olla;0.9986
kõige-kõige keerulisem;0.9986
sarnane tähendab;0.9985
edasiarendusena tähendab;0.9985
nii-öelda sarnaselt;0.9985
leiab kindlasti;0.9985
täna võib-olla;0.9985
mõttes nii-öelda;0.9985
loomulikult võib-olla;0.9985
ühesõnaga nii-öelda;0.9985
lihtsalt võib-olla;0.9985
plaanis nii-öelda;0.9985
nii-öelda non-profit;0.9984
võimalik tegelikult;0.9984
teemaga maria-kristiina;0.9984
statsioonile tähendab;0.9984
võimu teatud;0.9984
mõttes tegelikult;0.9984
mõtlesin üht-teist;0.9984
ongi nii-öelda;0.9984
silmas nii-öelda;0.9984
maria-kristiina absoluutselt;0.9984
kirjutab võib-olla;0.9984
nii-öelda tegelikult;0.9984
võib-olla natukene;0.9984
räägitakse nii-öelda;0.9984
tekkinud võib-olla;0.9984
probleem võib-olla;0.9984
nii-öelda edasisi;0.9984
kati võib-olla;0.9984
tahaks võib-olla;0.9984
kolmeteistkümnendat aastat;0.9983
kapitalist näiteks;0.9983
10 aastat;0.9983
tähendab kunst;0.9983
õhus tähendab;0.9983
näitasid mõnitavad;0.9983
kirjeldanud hästi;0.9983
kunstisust võimalik;0.9983
jutustas võib-olla;0.9983
nii-öelda mängureeglid;0.9983
üht-teist tegelikult;0.9983
võib-olla mõttes;0.9983
blogis nii-öelda;0.9983
nii-öelda üheskoos;0.9983
kaarti võib-olla;0.9983
lihtsalt nii-öelda;0.9983
võib-olla kaks;0.9983
professionaalsed nii-öelda;0.9983
võib-olla parem;0.9983
vaata publik;0.9982
ütelda tähendab;0.9982
-te aastate;0.9982
võetakse inimesed;0.9982
mõtteliselt 10;0.9982
eesti mitte-eesti;0.9982
tähendab väike;0.9982
tuum võimalik;0.9982
külalisteks maria-kristiina;0.9982
tahtnud nii-öelda;0.9982
ajakirjandust nii-öelda;0.9982
kunst nii-öelda;0.9982
nii-öelda institutsionaalsed;0.9982
õnnestunud nii-öelda;0.9982
kattub üks-üheselt;0.9982
kunstimaailmaks nii-öelda;0.9982
nii-öelda uurimise;0.9982
võib-olla paremini;0.9982
tekitatud nii-öelda;0.9982
mõiste nii-öelda;0.9982
võimelised nii-öelda;0.9982
ütleme nii-öelda;0.9982
reeglina tähendab;0.9981
muutus probleem;0.9981
hästi suurem;0.9981
tegelikult tahaks;0.9981
aastas tähendab;0.9981
räägi näiteks;0.9981
tundub antud;0.9981
2001 avamisel;0.9981
põhimõtteliselt tähendab;0.9981
skeemis kõige-kõige;0.9981
diskursiivsust võib-olla;0.9981
aastal 95;0.9981
nii-öelda võib-olla;0.9981
nii-öelda räigelt;0.9981
mitte-eesti täna;0.9981
anders maria-kristiina;0.9981
nii-öelda sihtgrupipõhiselt;0.9981
nii-öelda põhikapitali;0.9981
nii-öelda vormid;0.9981
mõista nii-öelda;0.9981
vähem nii-öelda;0.9981
ajalukku nii-öelda;0.9981
nii-öelda demokratiseeriti;0.9981
kunsti nii-öelda;0.9981
absoluutselt maria-kristiina;0.9981
võib-olla sündinud;0.9981
võimu nii-öelda;0.9981
võim nii-öelda;0.9981
näitusi tegele;0.998
mõtle kunstimuuseumi;0.998
aega räägi;0.998
põhjust liitu;0.998
vastuta tähendab;0.998
tead hästi;0.998
näitust näitusi;0.998
töötavad enamasti;0.998
mõtlemagi no;0.998
enamasti suhteliselt;0.998
15 aastat;0.998
saamisele ilmselt;0.998
lihtsustatud kindlasti;0.998
rahad nii-öelda;0.998
nii-öelda probleeme;0.998
võib-olla teinekord;0.998
nii-öelda viimane;0.998
tegeleb nii-öelda;0.998
olemuselt nii-öelda;0.998
nii-öelda suhteliselt;0.998
mõtteviisi nii-öelda;0.998
kultuuri nii-öelda;0.998
rääkida nii-öelda;0.998
nii-öelda avalikus;0.998
teatavad nii-öelda;0.998
täitsid nii-öelda;0.998
rääkima nii-öelda;0.998
tähendab nii-öelda;0.998
vägivald tähendab;0.9979
natuke võib-olla;0.9979
tähendab selge;0.9979
näitusel pildi;0.9979
ekm-süsteem omab;0.9979
asi käib;0.9979
euroopa kesk-euroopa;0.9979
riik prioritiseerib;0.9979
korda ilmselt;0.9979
eraldi teema;0.9979
non-profit väli;0.9979
tallab suhteliselt;0.9979
kunstimuuseum ekm-süsteem;0.9979
praktika näiteks;0.9979
algusest lihtsalt;0.9979
näituse tegemise;0.9979
nii-öelda kuraatorite;0.9979
öelnud nii-öelda;0.9979
nii-öelda kinnisvara;0.9979
nii-öelda jaan;0.9979
võib-olla videos;0.9979
võib-olla oskavad;0.9979
nii-öelda formuleeritud;0.9979
võib-olla vaieldav;0.9979
mõiste mõelda;0.9978
19 sajandi;0.9978
kunstiturgu tähendab;0.9978
ütles pruugi;0.9978
adressaadi tähendab;0.9978
prantsuse revolutsiooni;0.9978
töö tõsiselt;0.9978
eeldavad nii-öelda;0.9978
neli aastat;0.9978
vähem võimu;0.9977
rollis kunstnik;0.9977
problemaatilised sven-olof;0.9977
põhimõtteliselt räägime;0.9977
inimesed näitusi;0.9977
publikut võtame;0.9977
erinevad kindlasti;0.9977
kolm-neli naised;0.9976
töötad tähendab;0.9976
teemal põhimõtteliselt;0.9976
vägagi altid;0.9976
kuraator kuraatorist;0.9976
12 loengut;0.9976
pakkuda haldab;0.9975
900 natuke;0.9975
tähendab ilusa;0.9975
tore suhteliselt;0.9974
öelda lihtsalt;0.9974
loenguformaadiga loengu;0.9974
tegele eeldatavasti;0.9973
selge vahe;0.9973
kuraatoril puudub;0.9973
videos eas-i;0.9973
xj raha;0.9973
no tegelikult;0.9973
hariduspõhine tähendab;0.9972
ajaloo kirjutas;0.9971
habermas kirjutas;0.9969
sven-olof rootsi;0.9968
kesk-euroopa kuraatorite;0.9966
90 -test;0.9965
kunstimaailm suhteliselt;0.9965
täpselt subjektiivne;0.9964
10 kunstnikuga;0.9936
maha tähendab;0.9885
vahe tähendab;0.9429
kinni tegemist;0.7706
