keyphrase;score
Pariisis;0.6751
reisiks;0.453
kõikjal;0.4289
ekstravagantset;0.3994
inimesed;0.3741
galeriis;0.3697
austria;0.3612
favoriitidele;0.346
armastasid;0.3345
hotell;0.3244
Laes;0.3188
mania;0.315
kindlasti;0.3113
elu;0.308
kirikutornid;0.3024
itaalia;0.3022
residents;0.3001
tuhandeid;0.2943
fun;0.2925
Marie;0.2916
Viiveri;0.2838
naeratavat;0.28
Breto;0.2793
näiteks;0.2732
ideaalselt;0.2729
Inglismaal;0.2687
jõe;0.2647
eff;0.264
Montaan;0.2579
keskaegse;0.2546
aprillil;0.2477
turniiril;0.2461
Deboizziega;0.2454
lugusid;0.2429
Poolaga;0.2392
keskkond;0.2385
Jean;0.2383
jaama;0.2376
Mariantoneti;0.2373
saarele;0.2356
Eversais;0.232
seitsmekümnendatel;0.2311
kuninganna;0.2234
Ballisaal;0.2229
üksildane;0.2224
A-täht;0.2204
inglid;0.2199
1799;0.2181
punaste;0.217
istudes;0.2138
lühiaegne;0.2135
kleidi;0.2117
Meie;0.2101
sünnipaik;0.2091
mõtlema;0.2089
fantama;0.2077
hiini;0.2075
öösiti;0.2047
Loovris;0.2041
vabadus;0.2032
ealised;0.2
kuulide;0.1995
kõnnib;0.1986
pudeli;0.1983
humanism;0.1974
metsades;0.1949
lumivalge;0.1918
uuesti;0.1913
liitlaste;0.1909
pühapäeva;0.1895
muusikute;0.1893
Mõlemad;0.1867
hommikuti;0.1851
Marleen;0.1849
voodist;0.1837
nõiduslik;0.1805
Keiser;0.1804
Svenska;0.1802
Endine;0.1799
võimatu;0.1791
Kobe;0.1771
vasakule;0.1769
uuendusi;0.173
valvavad;0.172
eraruumid;0.1713
toast;0.1712
linnud;0.1691
tunnelis;0.1688
harmooniline;0.1657
blond;0.1645
roheline;0.1644
Lowrya;0.1638
tõlda;0.1638
sambaid;0.1636
härrasmehed;0.1633
Armeel;0.1614
silmad;0.1606
vangilangemise;0.1592
kalale;0.1581
brokaat;0.1568
soojust;0.1567
Filipp;0.1565
Fargija;0.1528
Tarle;0.1523
ornament;0.1512
Enn;0.1505
kronoloogilise;0.1504
Anna;0.1501
kasvas;0.1496
Krinaliinega;0.1494
vait;0.1492
Avatud;0.1477
Elba;0.1448
hobuse;0.1433
Lõvi;0.1428
abiellunud;0.1423
teenrid;0.1418
konsuliks;0.1418
kolmnurkseid;0.1409
1169;0.1401
siseneda;0.1395
Andrei;0.1376
toa;0.1368
19;0.1365
plaani;0.136
raamatukoguks;0.1351
moe;0.1342
riigipöörde;0.1296
Henry;0.1287
1530;0.1275
eukondlaste;0.1269
kaubandus;0.1261
lihtne;0.1258
õde;0.1223
kristall;0.1218
surma;0.1214
allikatest;0.1207
handam;0.1202
tuura;0.1196
Gibscrofist;0.1188
;0.1159
oopiumilahusega;0.1153
Hondal;0.1153
heliste;0.1135
isa;0.1132
-st;0.113
55;0.1122
Bach;0.1115
maske;0.1105
saladused;0.1085
õiglus;0.1044
kabel;0.102
Jahiloss;0.1005
kaalule;0.1003
kloriidi;0.0989
põrandani;0.0979
konfliktideta;0.0959
Phantom;0.0957
Ingal;0.0949
teeniaskond;0.0945
efektse;0.0931
Bean'i;0.089
lee;0.0883
Need;0.0873
sammastest;0.0871
monogramm;0.0844
puuviljakorvide;0.0838
Anri;0.0824
Kuldsed;0.0812
riis;0.0782
puudega;0.0756
Jupiter;0.0725
tea;0.0709
Jacob;0.0694
Shelle;0.0674
raiskamine;0.0668
võimu;0.0651
keelduvate;0.0633
fundhamble;0.0625
pastelsed;0.0625
doosema;0.0614
Blo;0.061
sarvilise;0.0593
Stephens;0.0592
Saturn;0.057
Sid;0.0565
Dan;0.0487
lauanõusid;0.0465
mesilased;0.044
sentimeetrit;0.0381
ehitusmeister;0.0363
asus;0.0294
demokraatlikest;0.0216
Python;0.0144
koodi;0.0063
Key;0.0049
organ;-0.0064
maganud;-0.0121
senat;-0.0162
salamander;-0.0631
