keyphrase;score
õhtul Tallinnas;0.6048
ütle Norrasse;0.601
ajal eestimaal;0.5995
Norra mõisa;0.5855
osta Eestimaal;0.5828
paljud Eestimaal;0.5771
Eestimaa mõisad;0.5761
Tallinnasse kodu;0.5656
Eestimaal sõites;0.5636
tänase külalise;0.5525
Norrasse kolimine;0.5502
norra mõisasse;0.5381
eestimaal mõisa;0.5358
kuulate Café;0.5349
täna homme;0.5236
Ja külarahvas;0.518
täna jäädagi;0.5144
kohalike inimestega;0.5132
päeval arvate;0.5106
aasta kohtuda;0.5039
eile tundus;0.494
arvatud nädalavahetuse;0.493
pidu ööbimiste;0.4902
võimaluse tervitada;0.4894
teoksil õhtul;0.489
ostnud külas;0.4802
mõte kodukoht;0.4791
küsima omakandi;0.4789
aasta toolil;0.4789
mõisale majapidajanna;0.4787
lähemegi linnast;0.4737
Helsingi Helsing;0.4737
mõisa otsustasite;0.4723
mõisa külastada;0.4709
sedasi aeg;0.4694
ilusat laupäeva;0.4627
päeva improviseeritud;0.458
kandi rahvast;0.4558
elama teemegi;0.4549
Tallinnast Rapla;0.4539
maakonna kohtunud;0.4512
tänane kolmanda;0.4476
möödunud nädalal;0.4432
ööbimiste võimaluse;0.443
vanem vend;0.443
majapidajanna No;0.4421
päevad suudad;0.4417
otsustasite osta;0.4362
11 laupäev;0.4358
Kell 20;0.4357
ostsid tunnis;0.4325
igatsevad võimalust;0.4296
Kell kaheksa;0.4261
hoone praegult;0.4261
koju Jaa;0.425
ratsabaasist leiab;0.4227
aega müüa;0.4215
aasta arvaksin;0.4209
retke Viimsisse;0.4196
tulevase kodu;0.4192
jäädagi elamu;0.4153
õde Tallinnas;0.4149
paljud tänase;0.4115
juhtub mõisas;0.4099
toolil istunud;0.4033
oodata kaua;0.3996
juhtuda Kolu;0.3983
soovitanud võõrastega;0.3948
toitlustamine rahvas;0.394
suudad kodus;0.3923
külastada Nojah;0.3897
istute Concordia;0.3886
inimestega värskete;0.3875
inimestest viimasel;0.3865
reklaamita senisele;0.386
kaasomand otsustasime;0.386
jaanuar kuulate;0.3793
esimese päeva;0.379
Tänan kuulamast;0.379
tahaksin leetu;0.3746
ootan niitväljal;0.3725
kolimine aastal;0.3721
tihti hommikul;0.3718
lastega aega;0.3703
vajaksid oluliselt;0.3698
kord nädalas;0.3697
külast 500;0.3689
vend Valgevenes;0.3682
eduvat kuulnud;0.367
klient nõustan;0.3664
uue koha;0.3647
suvel ülemöödunud;0.3643
vargsi muutun;0.3635
12 kuulate;0.3627
närviline täna;0.3579
omandasime elutee;0.3576
sõites hüljatud;0.3574
Aga nostalgiaks;0.3569
kolmekäigulised lõunad;0.3557
Euroopas Ameerikas;0.3545
tippjuhtkonnaga lihtsalt;0.3524
tulevikku kujutasite;0.3523
5000 inimese;0.3521
küsida maad;0.3503
No kulumaid;0.3498
otsis Türi;0.3462
aastat tööd;0.3452
ärimaailmas Nii;0.3451
No kaemus;0.3429
ootamatut juhtuks;0.3426
Pekk ostis;0.3418
meeldis atraktiivne;0.3413
mänginud küllalt;0.3381
teadmiseks jutt;0.3349
kavatses ehitada;0.3336
küsisin rektoritooli;0.3334
27 juunil;0.3315
võib-olla loengutsükkel;0.3312
ütlesin välistada;0.325
sõitsime abikaasaga;0.324
Millega tegeled;0.3195
huvitav maakond;0.3167
mööbli elaks;0.3167
vaidleks eelkõnelejale;0.3163
tasuta pidu;0.3153
mõisaproua Rutkaja;0.3149
vaatate inimesele;0.3142
tahaks võita;0.3141
tahaks torni;0.3125
kodutalu punase;0.3117
põhjusel tundi;0.3117
aastat Tartus;0.311
Lubasin raadiokuulajale;0.3092
sõidame tavaliselt;0.3077
tahad sõpra;0.307
miinimum tänapäeva;0.3049
jääbki unistused;0.3034
üksildasena parem;0.3031
mõisaproua Ruth-Kaja;0.3031
tahaks talve;0.2999
naljatades öelnud;0.2979
tõsiseid tahtmised;0.2966
neli minutit;0.2941
15 aastat;0.294
mõtteline teekond;0.2927
vallavalitsus sattus;0.2903
elasin 10;0.2902
lihtsalt viie-kuue;0.2898
üliedukas Mart;0.2897
inimesed käivad;0.2886
tervitada Rapla;0.278
paljud uksed;0.2761
tänapäeva autode;0.2726
Nii optimistlikult;0.2726
kujunema pargist;0.2687
hulk raha;0.2675
tea tohib;0.267
ongi 70;0.2659
natuke vaiksemaks;0.2645
koer lisada;0.2621
rusuhunnikuks 50;0.2598
saavutada meelerahu;0.2573
100 kilomeetrit;0.2565
üürimisel süsteemi;0.2559
hobust niitvälja;0.254
suure 30;0.253
Küte köök;0.2484
lammutati küllustusega;0.2473
kaart taskus;0.2467
mõisust silla;0.2464
näiteks naise;0.2396
perekond hästi;0.2395
sünnipäevi laste;0.2364
sisekujunduses ostnud;0.2364
ostsime 92;0.2361
vastuvõttude pulmade;0.2359
päevad gripis;0.2325
proua Margit;0.2283
mikspärast tunnen;0.2272
võtame sauna;0.2252
sorry isa;0.22
juhtub telefonikõne;0.2189
parem suure;0.2161
action minagi;0.2153
protsenti aitavad;0.2141
maakoolimaa kooliharidust;0.2139
kunsti kultuuriväärtust;0.2052
Becki tulevikunägemus;0.2035
väikese hüppe;0.1974
vennad ongi;0.1916
astuti Kommunistlikusse;0.1886
head head;0.182
raamatukogust jääbki;0.1806
sõltuvuses pani;0.1606
ema suri;0.1551
Virtina paned;0.1481
munavalged segu;0.1462
AFP-d kukkumistest;0.1269
näiteks tervisejooksu;0.1208
kanalite süsteem;0.1015
