keyphrase;score
Saaremaale;0.5723
samm;0.4786
iseendaga;0.4438
külas;0.4339
rääkida;0.4296
külalisi;0.4244
elasin;0.4177
reisisime;0.4098
nime;0.3965
publiku;0.3914
Ida-Virumaa;0.3766
eestlased;0.3743
tähelepanu;0.3722
tahaksid;0.3721
Aitäh;0.3572
Kuulasime;0.3545
kultuurielu;0.3525
Mihhail;0.3482
soni;0.3476
mäletan;0.3474
Tallinna;0.3457
paljud;0.344
huvitav;0.3401
käel;0.3379
hiljem;0.3348
kogemused;0.3346
vana;0.331
manguma;0.3282
kanda;0.328
õhtul;0.3256
tohi;0.325
hommikul;0.3186
kajakas;0.3184
visa;0.3182
isadepäeva;0.3171
kodus;0.317
populaarsusega;0.3165
Leida;0.3116
marsib;0.3096
naljaarmastajad;0.3081
rahvariided;0.3064
Kõigi;0.3061
väike;0.3048
Maido;0.3044
õhkkond;0.3031
tuule;0.3026
tants;0.3005
sündinud;0.3003
aasta;0.3001
unustad;0.2994
Me;0.2963
Antti;0.2954
Ta;0.2948
džässi;0.2944
sõber;0.2936
abiga;0.2913
puhkus;0.2896
standardkavaga;0.2895
vedanud;0.2879
vabanema;0.2875
esimest;0.2852
jagu;0.2846
Sharm;0.284
Tartu;0.283
hääd;0.2827
aega;0.2814
kinkis;0.2804
rituaal;0.2751
vaimud;0.2744
festivalist;0.2728
Ma;0.2692
saunas;0.2691
ootasin;0.2682
vabariigi;0.2678
mõtlema;0.2665
show'd;0.2659
lapsepõlvest;0.2657
nädalas;0.2653
ennust;0.2642
soovi;0.2623
Õpetaja;0.2583
Tegelikult;0.2561
muutuste;0.255
üksinda;0.2538
lugeda;0.2524
teavad;0.2516
kolmeteistaastane;0.2497
kaugel;0.2494
restoranist;0.2492
naersime;0.2478
kartuli;0.2471
laulan;0.2462
eelistan;0.2457
november;0.2423
kooliüritused;0.2423
kriitikas;0.2423
Just;0.241
võrreldamatu;0.2408
vihastame;0.2385
sügavuti;0.2355
jõuludeks;0.2354
autor;0.2353
fancyt;0.2351
perekond;0.2351
lahti;0.2351
kreisi;0.2344
kuus;0.2333
folkmuusikas;0.2332
psühholoogilist;0.2317
naudin;0.2315
helisid;0.2311
19;0.231
tea;0.2269
Paulusega;0.2223
rahulik;0.2211
metsa;0.2211
takistas;0.2208
virise;0.2197
Marcus;0.2192
rahuldust;0.2192
Gunnar;0.2185
armastamine;0.2185
lahutasin;0.2154
elav;0.2145
kontserdid;0.2111
pealinn;0.2108
tüüp;0.2105
Jürgensi;0.21
Triuga;0.2084
südamega;0.2044
näiteks;0.2035
hirmu;0.1986
sea;0.1983
pedagoogid;0.1978
Kringlit;0.195
Villemit;0.1949
liikuda;0.1942
head;0.1907
režissöör;0.1905
Lääne;0.1902
kudumise;0.1854
puhtus;0.1853
visioon;0.1852
last;0.1837
Kaneme;0.1829
83;0.1817
otsima;0.181
töötab;0.1755
raadio;0.175
proovin;0.1744
valupunktid;0.1741
koostöö;0.174
paneb;0.1734
Toomas;0.1726
ükski;0.1702
geograafiliselt;0.1699
loo;0.1685
Enne;0.168
põlve;0.1674
julgust;0.1671
big;0.1671
probleem;0.1628
võitjat;0.1607
Steineri;0.1604
kannatanud;0.159
süsteemi;0.1567
Krist;0.1543
teenused;0.1536
hetero;0.1534
harjutada;0.1531
TV;0.1486
professionaalne;0.1476
värvida;0.146
laabub;0.145
saablembeline;0.145
lihaga;0.1386
loomulik;0.1377
kasvatama;0.137
lilli;0.135
klassikaline;0.1303
raskem;0.1293
bussi;0.1235
Sealsed;0.1233
koerad;0.1225
mängida;0.1131
heal;0.1061
klaverit;0.106
jääst;0.1025
Mati;0.1023
palgast;0.1001
;0.0991
Heino;0.0989
Prover;0.098
haridusmuusikaharidus;0.0906
Leninist;0.09
lihtsuse;0.089
väsimus;0.0695
tabeli;0.0531
Oil;0.0159
Laser;0.0133
