keyphrase;score
alustu argumente ongi;0.8178
kombinatsiooni emakeel pluss;0.7991
panevamaid alustu argumente;0.7985
ongi näiteks riik;0.7976
A A kaks;0.7969
endiselt mure eile;0.7966
tähendab kolmkeelsus kombinatsiooni;0.7953
esimeses keeles A;0.7913
hilja Minul andmed;0.7911
alustades A A;0.7908
suhteliselt ühtne arusaam;0.7899
kolmkeelsus kombinatsiooni emakeel;0.7899
nimetasime positiivse tat;0.7895
keeles See ongi;0.7893
madalamast alustades A;0.7886
tekiks suhteliselt ühtne;0.7879
annavad hea alusega;0.7878
dokument valge raamat;0.7878
Et võib-olla ongi;0.7875
näiteks viidatud uuring;0.7873
kasutamine kasvab näiteks;0.7871
Et tegelikkus esimesele;0.7871
tähendab inglise keele;0.7871
edenemist vaadata näidata;0.787
no näiteks vaadata;0.7867
vaadatakse võib-olla vajadus;0.7864
näiteks inglise keele;0.7862
aste C1 tase;0.7858
kasutatakse inglise keele;0.7854
raamdokument üha aluseks;0.7853
võib-olla kaks asja;0.7851
asi raamistik oht;0.7848
annab huvitava pildi;0.7848
kardetakse Et üritame;0.7847
võimalik palus kasutatakse;0.7846
astme võrreldava taseme;0.7845
heal järjel head;0.7844
nimetada parimate kolme;0.7842
testimise vahendid tasemel;0.7842
keeles nõutavale tase;0.7842
keel õpilane valida;0.7837
küllalt värsked andmed;0.7836
tõhusamalt toimida võib-olla;0.7836
vahendid tasemel oskus;0.7836
kaks asja tihti;0.7835
kasutamisel paremad tulemused;0.7834
nii-öelda lõimitud aine-;0.7834
praktiliselt On võimalik;0.7834
esimene probleem paljude;0.7832
soovitatakse ilmselt soovituse;0.7831
öeldud tõhustada näiteks;0.783
näiteks uurida inglise;0.783
selge esimene inglisekeelne;0.7829
aidata Et öeldud;0.7829
eelistada subtiitrite kasutamist;0.7828
meetodit See tähendab;0.7827
Komisjonil dokument valge;0.7827
antud vastused toetuvad;0.7826
täiustada kolmkeelsuse mudeli;0.7826
näiteks vaadata keelisin;0.7824
viidatakse tähendab tulemustes;0.7824
parimate kolme riiki;0.7822
üldistusteks annab huvitava;0.7822
uuringust Et nimelt;0.782
tulebki esimene probleem;0.7819
parim parimate tulemustega;0.7818
oskust koguda andmeid;0.7817
tasemel oskus Ja;0.7815
kaasa aidata Et;0.7815
Ja nimetasime positiivse;0.7815
kolmes keeles Ja;0.7815
tulemused inglise keeles;0.7814
muste parim parimate;0.7813
Et tulemus sobi;0.7813
ongi õige koht;0.7808
Ja vaadata head;0.7807
tulemused jäid testis;0.7805
Selles uuringus ongi;0.7804
küsimusele küsimuse osatakse;0.7804
keele eristaatust kasutada;0.78
tasemel asutused vaadata;0.78
annab keeleõppe raamdokument;0.7799
argumente ongi Euroopa;0.7798
koostamisel antakse soovitusi;0.7798
vajadusest keelte annab;0.7797
mõju subtiitrite kasutamisel;0.7797
head Ja üha;0.7794
tegelikult soovitud kujul;0.7792
sobi teaduslik sobi;0.7791
küllalt hästi head;0.7791
hea tulemus hea;0.779
Head aega ;0.779
seegi Ja näiteks;0.779
kodanikega suhtlemiseks kasutusele;0.779
arva ilmtingimata inglise;0.779
näidata Nii ühtseid;0.7788
tervikuna parem Nad;0.7786
tulemus Me mainisime;0.7785
esimeseks testitavaks keeleks;0.7781
vaadata head soovitust;0.7781
tasemele Ja mainitud;0.778
head vaadeldi meedia;0.7778
ressursse kasutamata Et;0.7776
etteruttavalt mainisime uuringut;0.7776
näiteks Euroopa Liidu;0.7775
annab Aga endiselt;0.7774
hästi tulemused head;0.777
inglise keelt kasutada;0.777
terve tähendab ressursse;0.777
nõukogu resolutsiooni soovitatakse;0.7764
parem öelda stabiilsemad;0.7761
toimimiseks kaasalöömiseks nimetatakse;0.776
hea tase sealhulgas;0.776
toimetada inglise keelt;0.7759
oht kardetakse Et;0.7755
resolutsiooni soovitatakse kahe;0.7754
inglise keele kaldu;0.7754
keele Aga Ei;0.7751
eile Euroopa Liidu;0.775
paremad kasutada kasuks;0.7749
küllalt hästi tegelema;0.7748
mitmekeelsuse edendamiseks Missuguses;0.7742
aktiivseks toimimiseks kaasalöömiseks;0.7741
õpilane valida Nii;0.7741
jäid testis tud;0.774
-st aastast dokumentides;0.7739
levinud kindel roll;0.7737
ülemvõimust õpitakse valdavalt;0.7737
Ja eesti keeles;0.7737
B-tasemele hea tase;0.7734
valida Nii Selline;0.7733
keele muste parim;0.7733
üha aluseks liikmesriikide;0.7732
kolme riiki Holland;0.773
algavad madal laselt;0.7728
andmeid taustategurite Testitavad;0.7726
olulisem kord Uuringu;0.7725
aidata kaasa tegelikule;0.7722
vaatad neljandal Et;0.7722
heade Aga jälle;0.7719
Eks Ja nii-öelda;0.7715
tulemused head Ja;0.771
keeles saksa keeles;0.7708
integreerimiseks ühiskonnas aktiivseks;0.7708
oligi paraku hea;0.7705
hea heade Aga;0.7704
Euroopa Komisjonil dokument;0.7702
18 Ja nimetasime;0.7702
inglise keelt See;0.7697
