keyphrase;score
kultuurifoorumil osalenud Ja;0.7653
kontekstis tegelikult tundub;0.6987
arhitektide liidu eestseisusesse;0.6745
ettekandega arhitekt Margit;0.6725
Rotermanni kvartali äge;0.6595
Palun Jah narrib;0.6579
kultuuris kutsunud ellu;0.6578
piirkond kalamaja Kalamaja;0.6573
võimatu Kui räägime;0.6545
ehitati kohutavalt ilus;0.6543
kauem Ehkki viimasel;0.6534
Heal kujul ütleme;0.6516
staadion pühad paigad;0.6502
etnograafilise filmi antropoloogilisi;0.6481
kuulad arendajat räägib;0.6466
kutsutud võistlus tähendas;0.6461
Ja nõus kaitsma;0.6438
sünnivad tehnoloogia arenguga;0.6418
ideid arvan Väga;0.6414
elanud Lasnamäel ühiskorteris;0.6399
järgne pilt Aga;0.6392
tööle Et hästi;0.6389
Aga arvan loomeliitudel;0.6384
Tuudin arhitektuuriteaduskonna aastail;0.6379
tahan enamasti mõttekäik;0.6374
aprillil Mustpeade maja;0.6364
piirkonna valla maakonnalinnaarhitektid;0.6352
Paistab enam-vähem piltidel;0.6351
valik erisus erinevuste;0.6344
võimaldab piisavalt pinna;0.6335
See koht Kakumäe;0.6331
tunnetusest suhtuda modernistlikus;0.633
vaja juurdeehitust ehitust;0.6327
tänav istumiskohti ülesõit;0.6325
2004 2006 Eesti;0.6324
maja üks-ühele kopeeritud;0.631
Peab toimuma teatud;0.6298
Et kirjutas suured;0.6294
õpetavad traditsioone viivad;0.6289
võetakse kontakti räägitakse;0.6284
kirjanikkuse kiiret samamoodi;0.6276
puurida kolleege põhjalik;0.627
artikleid arhitektuuri välkloengute;0.6267
linnaga konfliktile õhus;0.6263
bot võtta Et;0.6251
paigad projekteerimine hästi;0.6246
küsimused margitele tekkis;0.6243
arenenud võib-olla üldse;0.624
detailplaneeringud arvan suuremaid;0.6239
kohapeal ehitati uus;0.623
ebaeetiliseks eriti avalikkuses;0.6219
pidevalt öelda ongi;0.6213
köitsid kavalalt korraldasid;0.619
Pärnu maantee Tatari;0.6187
tookord industriaalsed toodet;0.6185
Eesti muusika päevade;0.6177
korraldas 2012 aasta;0.6177
20 aastaga tellimus;0.617
Sakala keskuse linnaga;0.617
kutsutakse osalema Ja;0.6167
linnaruumi püüab tähelepanu;0.6166
hea tava omavahelistes;0.6166
kahel käel võtnud;0.616
väiksed mutrikesed otsustage;0.6158
etnoloogilist mõistmist raske;0.6156
korraldama Mul tegelikult;0.6145
kunsti piisavas koguses;0.614
Ja kohalikud omavalitsused;0.6135
mustamäe õismäed Lasnamäe;0.6115
omanikule hoone muutus;0.6113
vahva vinge maastik;0.6109
tundub liit puhas;0.6107
käinudki Ta vaatas;0.6107
Me mängida Me;0.6087
egotripiga onju pääs;0.6086
ütleme etnoloogid uurivad;0.6069
lahendas olukorra üldiselt;0.6059
1000-st võib-olla võistluste;0.6054
Liidu esimees Ja;0.6052
ehitati lollus Ja;0.6051
kõrghooned ülejäänud kõrghoonetest;0.6051
festivalide filmid inimlik;0.6047
vabalt väiksemad Aga;0.6034
suhestuvad aja kontekstis;0.6025
mõtlesid valmis mõelnud;0.6018
täita tundelisem piirkonnas;0.6012
inimesi vaja kiiresti;0.6009
mõista võib-olla kõhutundega;0.6007
selleteemalist arutelu korraldas;0.6001
vana puitarhitektuuri maha;0.5993
Aga hoonestuskava lubatud;0.5961
juhtudel näeb paljudel;0.5951
piirangud öeldakse niuke;0.5933
harida tõmmata kaasa;0.5931
liit astus peenest;0.5929
näidata detailplaneeringutega planeeringutega;0.5922
plaani kolmnurkne ala;0.5919
lõpetav mõte oskaksite;0.5914
