keyphrase;score
portaal tehnoloogia kommentaari;0.8855
Tere eetris portaal;0.8784
eetris portaal tehnoloogia;0.8778
Ülemaailmse veebiteenuse leiutamisest;0.8727
pöördumise suurte tehnoloogiaettevõtete;0.8646
rekordiline suurimat IT-ettevõtete;0.8611
Port Ülemaailmse veebiteenuse;0.8595
internetile Nobeli rahupreemiat;0.8592
tõhusamaid tehnoloogiaid Näiteks;0.8585
innovatsiooniplatvormiks Kui aastad;0.8569
loodud infokeskkonna relvaks;0.8569
tehnoloogiaettevõtete korralekutsumise vajadusest;0.8567
internetikasutajatest Ja ülejäänud;0.8563
IT-ettevõtete USA Kongressi;0.8556
tehnoloogiaid Näiteks võõral;0.8542
veebi looja usu;0.8539
veebiteenuse leiutamisest möödus;0.8529
uute relvade innovatsiooniplatvormiks;0.8526
Teenitakse Facebook Twitter;0.8525
määral suured IT-toodete;0.8472
tarnijad Apple'ist Google'i;0.8471
87 protsenti Interneti;0.8459
suurimateks ettevõteteks Nende;0.8455
IT-teenuste omanike kriitikuid;0.8437
planeedi elanikkonnast internetis;0.8431
aastad pakuti internetile;0.8422
Kristjan Port Ülemaailmse;0.8407
internetis Samal ajal;0.8393
suhtlusplatvormid muutusidki aja;0.8385
ettevõted ohustavad Poliitikute;0.8384
juht kirjutab ettevõtte;0.8376
muutuvad maailma ettevõted;0.8373
beebikeskkonna muutmist relvaks;0.8373
elanikkonnast internetis Samal;0.837
Facebook Twitter populaarsed;0.8367
Microsofti Amazoni asunud;0.8366
idealismi loodud infokeskkonna;0.8362
ettevõteteks Nende kunagised;0.836
kirjutab ettevõtte nõupidamisruumi;0.8348
lobi eristaks IT-teenuste;0.8345
Reguleerimata inforuumis ahnitsemisest;0.8341
ettevõtted üha poliitilisemaks;0.8336
Hiigelsuureks muutuvad maailma;0.8334
Paistab veebi looja;0.8331
Suureks kasvanud äris;0.8329
pakuti internetile Nobeli;0.8318
muutumise Paistab veebi;0.8318
29 aastat Sellega;0.8314
Twitter populaarsed suhtlusplatvormid;0.8299
Kaasaegne inform ongi;0.8293
vääringus maailma suurimateks;0.8287
muutmist relvaks Erinevate;0.8281
kasutajatest Facebook teenindab;0.8279
Ehk internetikasutajatest Ja;0.8278
Facebooki Microsofti Amazoni;0.8277
leiutamisest möödus 12;0.8272
masside mõjutamise ettevõteteks;0.827
kasutajate huvidele Segune;0.8265
hetkel turunduslikuks näidendiks;0.8257
teenustega tarnijad Apple'ist;0.8252
otsivat tulirelvadest tõhusamaid;0.8251
innovaatilise koondades üha;0.8251
tolku Söör Tim;0.8247
ajal suurenenud teenustega;0.8245
ettevõttete püüdlustest Aga;0.8243
saadaval Reguleerimata inforuumis;0.8237
Valge Maja lobitööle;0.8226
kommentaari esitab Kristjan;0.8225
poliitilisemaks mänguritaks Lõppenud;0.8225
aastat Sellega seoses;0.8225
raha mõjuvõimu Teenitakse;0.8222
ostavad potentsiaalset innovaatilise;0.8213
Apple'ist Google'i Facebooki;0.8208
parimatest teenustest madalatest;0.8207
teenuse muutmine müüdavaks;0.8202
rahal teenuse tasuta;0.8199
vastupidi Google'i otsib;0.8192
oligi rekordiline suurimat;0.819
Ja ülejäänud suured;0.8188
jõulisemat sekkumist Sest;0.8184
ärist kaasneb paratamatult;0.8184
turupositsiooni võitlemisega Kaasuva;0.818
püüdlustest Aga hetkel;0.8178
populaarne Sest sõjalised;0.8176
teenust pöörners lee;0.8173
koma kahte miljardit;0.817
Millele sortemm püüabki;0.8165
avaliku pöördumise suurte;0.8165
teema ongi viimasel;0.8161
USA Kongressi Valge;0.8161
äris karu suurel;0.8153
tööriistu kontrollida ideid;0.815
koristatakse poliitiliselt paremalt;0.8149
vabalt saadaval Reguleerimata;0.8143
mänguritaks Lõppenud aasta;0.8142
püüabki osutada See;0.8142
kasumi maksimeerimine Olukorda;0.8139
idealistlikult lubadused parimatest;0.8133
Nad arendasid tööriistu;0.8132
eduka õelusega kasutama;0.8132
Ja hästi lõppeda;0.813
miljardit inimest Ehk;0.8127
rolli muutub üha;0.8125
relvaks Erinevate tavaeluliste;0.8125
kasutama Samal ajal;0.812
rahalises vääringus maailma;0.8119
suured rikkad ostavad;0.8115
põhikirjaliseks eesmärgiks investorite;0.8112
Samuti märke ettevõttete;0.8111
ettevõtted muutma põhikirjaliseks;0.8109
viimasel ajal populaarne;0.8105
kirjeldada Näiteks organisatsiooni;0.8102
regulatsioonid Millele sortemm;0.8101
kasutada vastase kodumalk;0.8096
pontsikuda vabalt saadaval;0.8091
looja usu üleskutsetesse;0.809
ressursse hankida Riigialamate;0.8089
rahupreemiat täna raskem;0.8088
otsib infot 87;0.8088
vasakult rikaste vaeste;0.808
aastaks planeedi elanikkonnast;0.8079
arvamusi tajutakse levitatakse;0.8079
ongi kujunemas uute;0.8077
teenustega pakkujate valikuvõimalus;0.8075
viisik kasvanud rahalises;0.8075
poliitikasse sekkuja tasusid;0.8073
kriitikuid Ideoloogiline lõhesest;0.8072
hindadest inimsõbralikust disainist;0.8072
nõupidamisruumi seinale loosungeid;0.8067
loosungitest tolku pontsikuda;0.8063
muutmise teema ongi;0.8062
loomulikuks sammuks teenuse;0.8062
võõra riigi poliitikasse;0.8061
külvamiseks Kaasaegne inform;0.806
Ja häda külvates;0.8057
arusaadav mikser Tim;0.8056
12 märtsil 29;0.8055
vähe tolku Söör;0.8055
vajadusest Kuid ajal;0.8054
Seda nimetatud viisik;0.8052
