keyphrase;score
kogemus kooliõpilane;0.4285
aeg kirjutama;0.3951
vana ajalooline;0.3947
vähene lugeja;0.3886
lugema esimene;0.3699
instituut töö;0.3678
oluline sügissuvi;0.3636
uurija töö;0.3604
lugema mõte;0.3602
kultuuriajalugu uurija;0.3487
põhiline õppevahend;0.3459
tugevasti-tugevasti talv;0.3453
1906 1917;0.3449
raamat artikkel;0.3436
tõsine uurimuslik;0.3433
eesti kirjanik;0.3418
võrdlema kolleeg;0.3393
pikem aeg;0.3381
kirjanduslik tegevus;0.3367
raske aasta;0.3361
küllalt oluline;0.3348
talv osa;0.3343
hästi-hästi loetav;0.3335
professor aasta;0.3296
ülikool periood;0.3293
eesti kultuurilugu;0.328
aasta toimuma;0.3267
algus lõpp;0.3258
esmajoones teadlane;0.3256
töötama mõtlema;0.3231
lähtuma koolipõlv;0.323
üldse etnograafiline;0.3223
talv teaduslik;0.32
reis tõenäoliselt;0.3198
loodetavasti raamat;0.3195
jääma soojendasu;0.3191
pimedam ilm;0.3164
rindel aeg;0.3164
tolleaegne lääne-euroopa;0.3163
õppima nimelt;0.3155
tolleaegne muuseum;0.3141
hiljem rong;0.3113
suur väike;0.3113
romaan oluline;0.3105
tähtpäev stuudio;0.3102
oskamine vajalik;0.3099
üksinda kohvitass;0.3096
näiteks norra;0.3072
paluma ajaloodoktor;0.3072
sõda tingimus;0.3071
kirjanik kooperatiiv;0.3059
1942 ilmar;0.3055
huvitav omapärane;0.3054
informatsioon ilmar;0.3043
küsimus talveuurimus;0.304
peatuma natuke;0.3026
sõber kaks;0.3
kindlasti eesti;0.2979
elu olulisem;0.2979
kitsam küsimus;0.2977
jätkusõda ajal;0.2962
mäletamine vana;0.2951
õhtu klase;0.2949
tundma rootsi;0.2948
kirjastus tähendama;0.2936
kuuluma doktoritöö;0.2934
härg tunne;0.2932
keskmine kord;0.2932
tund nägema;0.2903
päev korraga;0.2902
joonistaja tuntud;0.289
raudteelane elu;0.2887
jääma vagun;0.2882
eesti väikelinn;0.2872
lõpuks kahekümneaastane;0.2869
istuma haige;0.2867
väljuma kell;0.2867
udune märtsikuu;0.2861
uurima linn;0.2857
valu kõhn;0.2855
soome ülikool;0.2852
vesi hüppama;0.28
kõhn kollakas;0.2792
võrdlemisi küsitav;0.2785
kandideerima tegelikult;0.2778
vahepeatus jaam;0.2777
ajaloodoktor ants;0.2763
raske kujutama;0.2759
koht pensioneeruma;0.2755
kirde-euroopa eesti-soome;0.2749
kergelt veerev;0.2745
joonistama vahetevahel;0.2745
psühholoogiliselt probleem;0.2738
töö härg;0.2719
võimalik täpsemalt;0.2684
kongress osalemine;0.2683
aitama tõsiselt;0.2675
kuivatamine kuivatamine;0.2668
põhjalikult kommenteerima;0.2637
õige estlane;0.2633
tüüp saun;0.2629
hea organisaator;0.2623
tihe kontakt;0.2609
täpselt lugu;0.2608
ikke tõsi;0.2606
nägema humoristlik;0.2605
kultuuriringkond osa;0.2603
asi meeldima;0.2603
viimane minut;0.2595
tänapäevane ilmuma;0.2594
andma võimalus;0.2582
ilmar lend;0.2581
aasta 1979;0.2579
1910 alkman;0.2559
õhustik noor;0.2554
tüüpiline dobermanni;0.2545
ilukirjandus vorm;0.2535
odav vein;0.2526
kohalik rahvas;0.2515
obermann prantsuse;0.2511
tohtima unustama;0.2506
pilt rääkima;0.2496
alkman kuuluma;0.2494
venelane jääma;0.2492
tõsi leht;0.2492
ruum kasutus;0.2475
normaalselt alex;0.2441
kogutud materjal;0.2425
allikamaterjal kättesaadav;0.2424
kiiresti omandama;0.2418
maksaprobleem vajadus;0.2406
vastav ehitis;0.2392
meremees oskama;0.2391
ainulaadne lühendatud;0.2386
saksamaa saksa;0.2382
trepp inimene;0.2366
otsima joon;0.2363
jõgi kallas;0.2356
kultuuriluba kahtlemata;0.2354
toimuma helsingi;0.2334
põhjaminevalt laev;0.2318
tavaline sari;0.2312
uurima talurahvakultuur;0.231
ekspeditsioon osaleja;0.2296
akend veenir;0.2287
12 aeg;0.2285
suurus köide;0.2262
olu kirjeldamine;0.2241
paber vangistama;0.224
sigvard erikson;0.2235
pealkiri nisu;0.2218
sein sündmus;0.2199
ütlema rindel;0.2193
prill eriti;0.2191
sõjavägi munder;0.2144
alge südamelähedane;0.2136
söe põletamine;0.2132
selgesti tulemus;0.2131
jätkama ants;0.213
kuuluma maapagu;0.2109
sedavõrd raha;0.2108
umbrohi vähene;0.2103
pluss kolmas;0.2099
ligemale lits;0.2097
oober väsima;0.2088
tervendav mõju;0.2076
jälgima tase;0.2048
1000 965;0.2042
kangro kirjastus;0.2034
80 -te;0.2019
eriala turu;0.2007
lai kaar;0.2003
soome soome-ugri;0.2
tehas täine;0.1996
naine emalik;0.1989
skandinaavia uuraliten;0.1939
kandma munder;0.1902
kasutaja ettenägemisvõime;0.1804
riff kirstukujuline;0.1803
assistent helmut;0.1784
leningrad lind;0.1775
murdma järjekindlamalt;0.1762
viljakuivatushoone põhja-euroopa;0.1732
rohi kasulikkus;0.1668
press elu;0.1654
pliiatsijupp rinnatasku;0.1646
päästma printsmann;0.1554
saar saar;0.1512
paul ariste;0.1503
silmnähtav rohi;0.1471
tervitama oviibur;0.1465
hind konjak;0.1452
pahane bernard;0.137
kentslemann idanema;0.1365
hruštšov sula;0.1324
episood laevlane;0.1196
mihkelson tuba;0.1122
mobilisatsioon soome;0.1022
surve sebastian;0.0825
frank kaduma;0.0811
