keyphrase;score
mari kadakas eesti;0.6992
kadakas eesti keel;0.6969
kirjatarkus omandamine eesti;0.6894
omandamine eesti keel;0.654
keelenõunik einar kraut;0.625
eesti keel õpik;0.6202
kadumine eesti keel;0.6135
ütlema toimetaja mari;0.6106
paluma kadumine eesti;0.5859
mari tarand ;0.5854
võistlema teatavasti eesti;0.5591
eesti keel põlluharija;0.5496
eesti keel sõna;0.5494
hiljuti keelenõunik einar;0.5458
tahtma lugupeetud kuulaja;0.5417
eesti tulevik väljendama;0.5335
rääkima õppekirjandus asjatundja;0.5096
variant õigekeelsussõnaraamat pakkuma;0.5053
kuulaja ootama kiri;0.5048
ütlemine teretamine tänamine;0.5043
sõna andma hääldama;0.503
mäletama rääkima õppekirjandus;0.5021
oluline ütlemine teretamine;0.501
hariduspõlk töötama mäletama;0.4982
nädal ütlema toimetaja;0.4974
marjasort tore ütlema;0.4917
tänane keel kõrv;0.4859
pakkuma huvi keel;0.4825
rääkima täna homnene;0.4815
avaldamine inimene suur;0.4797
lombakas sõnajärjekord jutt;0.4777
tarand hea kuulaja;0.4771
ütlema sõna kuulaja;0.4732
tänane hetk hetk;0.4726
paus kõneleja otsustama;0.4712
tänama järelemõtlemine koht;0.4654
keelekasutaja skond natuke;0.4653
rääkima tallinn juhuslik;0.4644
andma hääldama eriline;0.4617
soovima leiduma vana;0.4598
seoses tahtma lugupeetud;0.4569
asjatundja mari kadakas;0.4568
sobima variant keelevaine;0.4563
kiri välde küsimus;0.4547
kirjutama jüri pelmeen;0.453
tänamine põline tundma;0.4527
kasutama avaldamine inimene;0.45
homme kool kool;0.4494
argikeelne ükstakam mõtlema;0.4435
nädalateema keelekõrv kõne;0.4417
tallinn juhuslik kool;0.4406
otsustama õigekeelsussõnaamatus tõsine;0.44
vastama laul stoor;0.4393
varane äratus varane;0.4298
nimi võtma pelmeenipakk;0.4259
tänuma määrama riigiametnik;0.4249
mood kaasa soovima;0.4248
saatma pikemalt vastama;0.4238
väljend loskutov võistlema;0.4212
grislikiri tahvel kriidikiri;0.4206
sündmus rääkima vaja;0.4187
kuulaja panema paha;0.4183
ütlema kehtima riik;0.4165
südamlik meeleolukas panema;0.4158
mund õigesti mäletama;0.4143
teadma suhtuma keeleküsimus;0.4141
südamlikult avameelselt esimene;0.4132
ühesõnaga tänama lill;0.4131
tänamine suur uus;0.4126
sõna paluma kadumine;0.4074
hästi kord varem;0.4069
noor rääkima kama;0.4069
koht kirjutama vastand;0.4058
saade esimene minut;0.4036
ika kultuuripõld harima;0.4035
keeleküsimus kaugele hommik;0.3976
saatejuht kasutama mõtlema;0.3976
minut kasutama avaldamine;0.3963
uus õppevahend kõrge;0.396
teene võtma suur;0.3944
algus kirjatarkus omandamine;0.3931
september armas lapsesuusaade;0.3882
muremõte kuulama esimene;0.3875
tänuma mitmus aeg;0.3875
klass laps südamlikult;0.3862
kim mund õigesti;0.3845
537 saade mari;0.3843
kirjutatud silt soodne;0.383
küsimus raadiokanal inimene;0.381
osa kama kaks;0.3801
varane hommik kuulaja;0.3795
täna kuulma uudis;0.3793
ostja kassiir vestlus;0.3784
kultuuripõld harima hariduspõlk;0.3777
eriline soovitus tahtma;0.3775
varajasem külaline varane;0.3775
telespordiajakirjanik kuulama sisu;0.3773
jutustama terve lugu;0.3768
saksa keel morgenstunde;0.3764
arv kuulama lause;0.3751
keel arusaam taaskord;0.3733
panema võtma käsi;0.3714
salm kooliõppus tahvel;0.3711
mäletama vara töö;0.3707
kasutama pooliti vastumeelselt;0.3701
ema lugema salm;0.3691
möödunud laupäev saade;0.3681
lause aeg kehtima;0.3681
olümpiakangelane õnnitlema ühesõnaga;0.3667
mõistma mõistma väike;0.3661
koolipäev rääkima uskuma;0.3655
loskutov võistlema kellaaeg;0.3646
oodatud saavutus täna;0.3635
kool juhuslik esimene;0.3605
paha saade esimene;0.3605
lause kuulma teadma;0.3592
stoor küsima reporter;0.3566
lõbus lugu stoor;0.3564
hoidvam inimene rahvas;0.3548
kasutama juhtima tähelepanu;0.3539
soovima kasutama varajane;0.3539
kuulama esimene september;0.3465
arust põhiline oluline;0.3457
kohtuma nädal ütlema;0.3452
kinni hoidvam inimene;0.3442
kuusik varajane varajane;0.3388
harilik jälle näitama;0.3364
ajalõik täna koosnema;0.3359
erksas kiire mood;0.328
uudis iraak hukkunu;0.3262
kool kool viga;0.3237
näide lugema proovima;0.3223
täpp täht kirjutama;0.3217
uus kuus ajal;0.3178
lause 500 kroon;0.3168
mure jääma tundmatu;0.3167
suur kallis raamat;0.3167
kroon andma mäletama;0.3153
näide varane äratus;0.3141
ilmne lohakus kassatöötaja;0.3137
pakitu kohver tro;0.3119
kallis kool valgus;0.3108
uuendatud tundlik keel;0.3104
ükstakõik ükstapuha ükstaspuha;0.308
15 kord mood;0.3075
kuidagiviisi mood jõudma;0.3038
laul lugu võõras;0.3035
kontrollima õigus vara;0.3024
eksima pealkiri esimene;0.3022
roheline tahvel psühholoog;0.2999
tund kapsas sort;0.2987
kuluma raha rääkima;0.2968
isa maitseküsimus arust;0.2961
uus sõna kasutama;0.2942
õpik töövihik hind;0.2916
tähendama asi sõrm;0.2879
kaasa kõlamine kuu;0.2856
