keyphrase;score
kirjutamisalu rääkima;0.5838
soovima rääkima;0.5689
kutsuma esinema;0.5526
häirima eesti;0.5451
härras proua;0.5423
aru rääkima;0.5421
keeletoimetaja kan;0.5412
juttuma õhtu;0.5384
eesti naine;0.5379
stuudio intervjuu;0.5342
kuulma luulekatke;0.5274
riieteht kuulma;0.5235
kirjutama tänuma;0.523
tuttav küsima;0.5213
kodu tervitama;0.521
kirjanik kutsuma;0.5186
dialoog kuulama;0.5181
komme leidma;0.5151
kuuluma keeletoimetaja;0.5138
küsija inimene;0.5096
rääkima vaatama;0.5031
rajoonileht luule;0.5017
rääkima tore;0.4967
tartu stuudio;0.4923
rääkima elulugu;0.4916
prosai abikaasa;0.4907
inimene tunduma;0.4885
lugeja enamasti;0.4792
noorem naine;0.4679
hea kuulaja;0.4642
pidevahetus häälik;0.4641
rääkima üksinda;0.4585
täna kaja;0.4581
asjamees kutsuma;0.4563
vanainimene rääkima;0.4544
tervitama ema;0.4542
elama kaasa;0.4534
raadiointervju inimene;0.4531
luuletaja silm;0.4497
kirjutama elupaik;0.4495
urmas alender;0.4488
kuulaja nõusolek;0.4453
käsikiri ootama;0.4429
esinemine nädal;0.4416
okei inimene;0.4387
romaan naine;0.4371
isa eesti;0.4319
osakond telesaade;0.4316
rääkima igavesti;0.4296
sõnareostus tuba;0.4286
inimene tüdinema;0.4275
olle soov;0.4267
suhtlema vähe;0.4247
stuudio linn;0.4237
harjuma üksindus;0.422
valima häälik;0.4182
vanaema suhtlema;0.4167
võõrkeel mõtlemine;0.4164
osav võtma;0.4129
mandaat andma;0.4118
lugu lenin;0.4114
viimane dialoog;0.4095
kaduma grammatika;0.4089
linnulaul nautima;0.4055
tõotus emakeelne;0.4034
tähendama laulma;0.4033
armastama käima;0.4016
rääkima reisilaev;0.401
tänama elu;0.4005
üldse aru;0.4
postkast eta;0.3988
emakeelne ülikool;0.3974
tuba jätma;0.3971
kandideerima nägema;0.3943
samamoodi proosateos;0.394
kodu inimene;0.3936
aasta laulupidu;0.3921
rahvas valmis;0.3912
edasis töötama;0.3912
tore töö;0.391
avaldus kirjutama;0.3895
küsima muusika;0.3872
no naabrimees;0.3846
haigla kirjanik;0.3837
asi partei;0.3819
tähelepanu tahtma;0.3801
kirjutama homme;0.3799
keel armastama;0.3784
kommentaar nägema;0.3774
kontor vaatama;0.3763
tunduma huvitav;0.3727
vanadekodu muretsema;0.3717
haritlaskond muutuma;0.371
harima vaimne;0.3709
ajakirjanik töö;0.3671
üldse hiljem;0.3667
kaduma kurtmine;0.3636
rääkima 60;0.3612
aus inimene;0.3604
tänulik unustama;0.3595
kahju vaatama;0.3586
toimuma dollama;0.3568
tahtma abi;0.3557
mäletama hädas;0.3557
kirjutama petrone;0.3554
ütlema sugulane;0.3553
keel muutma;0.3545
ülikooliõping noor;0.3538
tundma tänav;0.3533
kiri suur;0.3519
homme saare;0.35
elama ülejõgi;0.3499
ostma luule;0.3485
jääma vaba;0.3477
lugema raadio;0.3463
veenma võimalik;0.3455
täiskasvanu kommentaar;0.3454
pikk aeg;0.3452
tahtma jääma;0.3438
kirjanik nõrk;0.342
minane ameerika;0.3404
ütlema haige;0.3397
alex asi;0.3389
sõna habemeajaja;0.3389
aeg elu;0.3378
leidma tekst;0.3375
tunnel rõõm;0.3366
tartu rahuleping;0.3333
rõõm kuulutama;0.3314
sõnastama soov;0.3295
maailm maailm;0.3197
aed harima;0.318
aasta 10;0.3152
naerma hästi;0.315
vaatama kauplus;0.3132
kultuuriessents juhtuma;0.3131
keskus avama;0.3121
viimane romaan;0.3103
rahul sünniaasta;0.3061
elama 55;0.3047
tuul käima;0.3024
kodu filmima;0.3022
lause kolmas;0.2993
kuskilt trepp;0.2979
vahetus töö;0.2976
nõukogu aeg;0.2976
meeldima kool;0.2962
protestivaim väljakannatamine;0.2955
tseremoonia teadma;0.2955
sõna korduma;0.2952
peeter kirik;0.2951
peep sarapik;0.2941
hommik tõusma;0.294
abikaasa emaõpe;0.2882
rahvas südametunnistus;0.285
vene aeg;0.2798
õpetama kogemus;0.2789
vaja aken;0.2757
mõtlema ehitama;0.2712
kass jõudma;0.27
toitlustama maksma;0.2642
osa 14;0.264
inimene aed;0.2535
jälle laps;0.2529
kaks päev;0.2484
inimene horisontaalne;0.2473
eliit jälle;0.2433
parlament vaja;0.2427
lõuna-eesti tühi;0.2414
kuldne sügis;0.2403
poliitik poliitik;0.2394
park lõpp;0.2356
inimene 1000;0.2353
tessita universum;0.2285
probleem lahendama;0.2255
esimene kord;0.2254
linn valimine;0.2248
kaheksa naine;0.2242
keiser hull;0.2232
print tellima;0.2217
tegelikult trollivabrik;0.2149
valimine hullem;0.214
mets kõndima;0.2132
metcat leidma;0.2129
sõna milagoo;0.2118
muuseum suur;0.209
vihmane ilm;0.1932
korter müüma;0.1856
sõprusring internet;0.1833
kirjutama majandusteaduslik;0.1704
reostama valgus;0.1698
september 2019;0.1661
peade raiumine;0.1631
mitmus no;0.1566
sinine veri;0.154
sisemus test;0.1505
klikkima ime;0.1392
kohutavalt igav;0.1386
hambapesu ajal;0.115
kiirus lühidus;0.112
