keyphrase;score
aeg 10 null;0.8162
korraga eit noorem;0.809
eit noorem mõtlema;0.8088
vastama arvestus suutma;0.8054
botitamine tolk site;0.8
andma uuem aeg;0.7983
vokaalne esitus saavutama;0.7981
naiivne intiimsus kodu;0.7971
loss palazz vaga;0.7968
andma panema jalg;0.7957
ütlema inimene veller;0.7951
reserv avastamine lektor;0.7946
teadmine saavutama osa;0.7944
meister kogemata komme;0.7937
leeverm edev inimene;0.7929
kaotama lootusetu asjatu;0.7923
võtma haubits division;0.7912
arvatavasti ilusam eredam;0.7912
asendama suutma sõna;0.7908
suurem purustus tekitama;0.7904
emakeel kodu soe;0.7892
seos erinev mõiste;0.7888
seisma elama meel;0.7887
soe andma uuem;0.7886
registreerimine võitlema mass;0.7883
näiteks sõna küsimus;0.7882
küsimus uus valgus;0.7882
astuma konkreetne samm;0.7877
null imestama jooksev;0.7875
ilusam eredam ligemale;0.7872
vaba meel amet;0.7869
ütlema siirane usk;0.7864
tohtima mõistlik inimene;0.7862
visa vastupanu toimuma;0.7858
kuma valgustama heket;0.7858
panema soe seisma;0.7858
nurk kingima uku;0.7855
kodu käima jerry;0.7852
soe sõna ;0.7851
kamar haud leletama;0.7847
edu kallis kodumaa;0.7835
kurv meeleline äge;0.7835
otsima johannes kodunt;0.783
bi valutama arst;0.7828
andma ligikaudu samalaadiline;0.7826
tohtima ristiinim kurv;0.7824
maks toit andma;0.7821
ots abi paluma;0.7816
kuiv juhtuma viin;0.7816
korter soe andma;0.7814
uus püks andma;0.7807
mees astuma muna;0.7806
andma kõht tühi;0.7806
tooma proov teadma;0.7806
kodanlik igand künk;0.7804
äge käsikähmlus rühm;0.7802
istuma paark uks;0.7801
olemine märk andma;0.7801
näitaja koduma refrään;0.78
elus lell no;0.78
oskama ujuma vajuma;0.7798
kord sündine vaga;0.7798
lohutus korraga eit;0.7794
komme sündmata lugu;0.7791
erinev seos erinev;0.779
kroon korter andma;0.779
kaks miljon sõna;0.7788
võtma oskama asi;0.7788
meri bassein iden;0.7786
ilus noor neiu;0.7785
senikaua moonavoor uus;0.7785
koduma refrään territoorium;0.778
nurin ootamine kena;0.778
pood ülaltükk aeg;0.7776
jaajah vastama mee;0.7775
vaatama tooma paluma;0.7772
vihtama ütlema söötma;0.777
amet aeg märt;0.777
surm otsustav raske;0.7769
minevik tuim ilus;0.7766
10 null imestama;0.7763
õpilane austus armastus;0.7762
äärmiselt rohkesti võib-olla;0.7759
aktiivne kompromissitu sageli;0.7757
asi valvama sfäär;0.7755
andma ase võtma;0.7753
kortel kõrv loss;0.775
küsimus nurk kingima;0.775
lugu tater küsimus;0.7747
nali heitma sündima;0.7746
kool parandama hool;0.7746
auto ilus naine;0.7745
küsimus imeilus figuur;0.7745
vastama kaarel aasta;0.7744
laskma uus riie;0.7742
saba igalüht elu;0.7739
lugu kordumatu inimlik;0.7738
vanus ulatuma 7000;0.7736
100 meeter aeg;0.7735
paarsada hellitus sünonüüm;0.7733
tervitav metsamassiiv palavalt;0.7732
harry kippuma sadama;0.7732
pisuke asi tohtima;0.7732
simuleerima haigus teesklema;0.773
panema kriska vaja;0.7728
ilusam lill istuma;0.7727
inimene paha panema;0.7726
rühm rivistama rakett;0.7726
aeg vesi lahinguplats;0.7721
hirmus veri carlamine;0.7721
püks andma panema;0.7721
osa ace kulle;0.772
sõna sedel sõna;0.7719
piht prees rind;0.7718
korrektor lugema veerg;0.7717
istuma niipealu nühi;0.771
huvi murre murdekeel;0.771
nimi muistne eesti;0.7709
vedama mõskma pada;0.7709
nägema hea halb;0.7709
pandud laeng uksepragu;0.7708
võitlus eeldama kaks;0.7707
murdekeelne lugu kordumatu;0.7705
andma mari ilusam;0.7704
tõstmine ületama otsustavalt;0.7703
vanus 8000 aasta;0.7702
osa järsk murrang;0.7701
tuba sõna imetabane;0.7698
tuht hoone vanem;0.7693
kerge mees kerk;0.7692
carl robert jakobson;0.7688
laul tundma maa;0.7682
ahi üksnes ahi;0.768
küündima tingimata 100000;0.7673
kingima uku küünlajalg;0.7672
õhk õige hetk;0.7671
tällima simuleerima haigus;0.7671
riit norima murre;0.7667
aeg rõõm mure;0.7667
sõjaväli hirmus veri;0.7662
mure kolhoos pents;0.7662
uks sööma mammu;0.7659
kallis kodumaa carl;0.7656
lendama pisuke asi;0.7654
salonen uurimus maailm;0.7652
heakord kaspiri siir;0.765
laip virn halvasti;0.7649
küsimus 200 gramm;0.7648
meri maaksma kallas;0.7645
alpis uus sulguma;0.7643
vanim sumeri-akkadi kultuur;0.7643
ahi tun tudu;0.7642
punane unistama kroon;0.764
osav meister no;0.7639
panema kolhoos maha;0.7639
laskma kokal sube;0.7635
samm vabadus kasvama;0.7633
marite no käima;0.7632
ümbrik kohve panema;0.7631
buss hammas ronima;0.763
maha mure maja;0.7624
udris kärmas pekk;0.7621
august hermann 1900;0.762
kultk vahal vahakarv;0.762
meeletu kolhoosnikk haarama;0.7619
kaua elama 47;0.7616
kivima kriska kinni;0.7614
paha panema vali;0.7612
lilleke armas loomake;0.7598
marion liiv andma;0.7591
ärevil tõhakas täis;0.7581
kimm punane mets;0.7577
harjuma harjuma kaua;0.757
kangesti kaarli silm;0.7567
suur rahvakeel raamat;0.7567
mainitud rahvus kuulus;0.7562
hetk märg pandud;0.7558
hindama kallim püham;0.7541
tuba kivi telliskivi;0.754
käima jerry käima;0.7524
teaduslik uurimisobjekt kirjanduslik;0.751
rahvas rahvas varjama;0.7508
ihu kosutama tooma;0.7507
kahvel raud kara;0.7501
pekk tühi tuht;0.7499
juhtuma ükskord teemaja;0.7497
mees karl august;0.7484
nimelt sündinud kaheksas;0.7483
ahi uhkemini ahi;0.7466
viirestama mari istuma;0.7466
aasta tüdruk tüdruk;0.7459
merimaa laulma meri;0.7456
taguma suda haid;0.7426
pahupidi pöörama metsamurdama;0.7417
liiv andma hea;0.7409
akadeemia keel uurimissektor;0.7398
andma hea hingamine;0.7388
maja kurnama ihu;0.7329
aasta ilmunud entsüklopeedia;0.7295
tühi marite no;0.7194
