keyphrase;score
sume lööma väike;0.7917
kandma kihar inetus;0.7622
süda õnn sume;0.7607
surm mõtlema kord;0.7605
näima maja saksik;0.7598
tore tuul püüdma;0.7499
väike kumer kõhukede;0.7499
vaevama kõlav nimi;0.7496
jalgne mesikäpp viiv;0.7472
vaim vaevama kõlav;0.7459
ring väikennenny valitsema;0.7451
eksima ohutunnus pilk;0.7445
bänsak maailm kõverseebigentsak;0.744
harmoonik nina taevas;0.7413
kardavoid aeg riie;0.7408
kihar inetus kord;0.7403
märt piibeleht kasvatus;0.7399
teadma kaunishing elumees;0.7397
vanakest unuma õlu;0.7392
aeg riie rikkuma;0.7386
pikalt magusalt piikne;0.7384
paha vaimlissekima mäng;0.737
tohter hellitama ainune;0.7344
vunts mees kesktütarlaps;0.7335
kord kuningas corp;0.7334
lahkesti suruma tihti;0.7329
kabelis tooma troosti;0.7328
laakman rasv läikema;0.7328
kasvatus teadma kaunishing;0.7327
uks lahti lükkama;0.7322
kongus kotkan haigetuba;0.7294
hoov maa mühak;0.7289
tants mürgel kabinet;0.7285
lause hoidma naerma;0.7279
mogri märt piibeleht;0.7279
põlislaan lõmm ronima;0.7265
reede paha vaimlissekima;0.7258
riie rikkuma väike;0.7257
hillerda ebeda punastama;0.7255
köster lehm lõhki;0.7221
hajameelne kõne aher;0.7219
uksetav rätsep nõelasilm;0.7216
nukker silm vesi;0.7212
poks vaim väetike;0.7209
lesk isa kabilduma;0.7203
trampima norskama paar;0.7201
mõrane peegel aeg;0.72
liikertaat õndne ilme;0.7192
naine tuba keksima;0.7186
kurk lõbus äiapapa;0.7184
kumer kõhukede kasvama;0.7181
rikkuma väike rätsep;0.718
kiskama linn tütarlaps;0.7179
kõhukede kasvama vajasta;0.7178
maailm kõverseebigentsak suur;0.7178
ohutunnus pilk naine;0.7171
mäng muru eeden;0.7166
luberik maja tihti;0.7165
leks argipäev komme;0.7153
kodukootud püks säär;0.7151
tihti näljane voodi;0.7146
kabinet käsi õppur;0.7146
tuba keksima särama;0.7143
ehtimine kunst norus;0.714
vennik enis meel;0.7138
maa mühak mets;0.7134
meelõhnaline purpurlille daatma;0.7126
aruten tuksuma laup;0.7124
sõber sass linnutiiv;0.7124
vana vöödiline ints;0.7122
lumi härm hõbeheegeldus;0.7111
rätsep varak unistama;0.711
noor närviarst raugelt;0.7107
harva eksima ohutunnus;0.7104
piibeleht kasvatus teadma;0.7102
troosti kuri vaim;0.7097
maja saksik solvunud;0.7095
kambamees luitus väike;0.7095
võitma tärn kroonupuu;0.7093
hellitama ainune soov;0.7092
kroonupuu süda aruten;0.7087
turd hädavaevalt mahtuma;0.7084
kuulama kell kabelis;0.708
näljane voodi noor;0.708
võistleja tüli lein;0.7079
kuningas corp prints;0.7077
väid noor nägus;0.7074
nooruk tundine elu;0.7072
huul armuar annus;0.7063
nennike võlustama kahar;0.7059
uus tore tuul;0.7059
priske vennik enis;0.7057
laps naksitrall suur;0.7055
siidilehv temp ninakene;0.7048
lillekimp piimala närvama;0.7038
inetus kord klubi;0.7034
pasum korskama 20;0.7029
ähvardavalt vahtima nägu;0.7027
põsk pannas juus;0.7024
vintis draamaturg keel;0.7022
noortekriis kiskama linn;0.7021
väike voodi aeg-ajalt;0.7018
kaunishing elumees tavalvas;0.7015
vaikima naine gudrutas;0.7014
põuetasku pungis raud;0.7007
bett alver poeemine;0.7002
kaduma kurd neitsikene;0.6998
kuri vaim vaevama;0.6996
kauem mõtlema säri;0.6988
blil väike kirju;0.6986
väike-apsa alistama kevadine;0.6985
õlg täis püha;0.6985
hing rõõm summutama;0.6978
kastetilk silitama kurb;0.6972
vaimlissekima mäng muru;0.6966
linnutiiv käsi lillekimp;0.6965
jääma maimuma häll;0.6961
võla bla kõlkuma;0.6952
sundima nooruk tundine;0.6945
kadet kõlisev kannus;0.6939
jälle kaasa sagis;0.6932
kuulus mees troosti;0.6931
arseenik lõpetama last;0.6931
piikne pasum korskama;0.6925
mürin sõitma hoov;0.6924
lein pronks lühter;0.6915
jätkama triiklaua taanimaa;0.6914
koolipink tuju talitsema;0.69
keskvanu puhmai kastemärk;0.6891
kurv uhke luma;0.689
hapukas blil väike;0.6889
sagis päev ripendama;0.6887
väike rätsep varak;0.6887
läikema koi pannkook;0.6886
noor nägus nennike;0.6885
kandma vamm kurniviskasiganaakman;0.6871
vaene laps orv;0.6868
vann pesema laps;0.6859
turdja core põhi;0.6858
maha puutuma kolm;0.6857
muutuma õli tulu;0.6855
kuuvalgus ude huul;0.6838
roigasmees vaikima naine;0.6836
äiapapa vintis draamaturg;0.6834
süda aim sirutama;0.6829
nimi nennit varjama;0.6826
unistama tikkuma diaater;0.6816
tulu pilgutama laud;0.6815
ninakene rõõmsalt kirtsustama;0.6813
püha põlemine põlguma;0.6812
kirju kapukas pärtel;0.6808
diaater jumal barakkumine;0.6808
kärbes liim lahti;0.6798
viis käsi jumaldatud;0.6797
kahjuks mogri märt;0.6796
ahtaat lendamisi viis;0.6783
vajasta petr teadma;0.678
õplesija märkima tabel;0.6778
mesikäpp viiv nägu;0.6777
tükati uks lahti;0.6773
särav pilk tõmmu;0.6772
lühter peegel sein;0.677
laudkond jutt puhuma;0.6767
neitsikene luksus poodnik;0.6767
ninn panema kurv;0.6762
nõelasilm pääsema näitelav;0.676
suur masa jalgne;0.6758
vana vimmastur nägu;0.6758
joon huul vallatu;0.6757
soolaribi kurk lõbus;0.6755
alistama kevadine torm;0.6754
torm tõusma harva;0.6753
nagi rida keigorlik;0.6753
aeg lavatöö kaardilaud;0.6752
äkki arseenik lõpetama;0.6746
liig ruttu tugevam;0.6745
lemmikaare armastatud nukk;0.6739
suudlema tütreke võhivõõras;0.6737
temp ninakene rõõmsalt;0.6718
äkki elu nägu;0.6708
vallatu kebe hõljuma;0.6705
ehtima talvekalgus suveroheline;0.6691
korraga puitus haining;0.6687
havi burask noor;0.6674
märkama kuis vihasoo;0.6673
jääma kahekesi ehtimine;0.6657
lõug muste väike;0.6649
vihasoo abikaasa laup;0.6626
kahekesi käsi lahkesti;0.6608
öö võib-olla laialt;0.6593
terve praetud ani;0.659
ubama hajameelne kõne;0.6569
kahvel joonistama meeldima;0.6559
noorik siiralt imestama;0.655
liig õnnelik õnnetus;0.6533
vale lugema kahtlus;0.6523
püüdma satter kuueäär;0.6522
summutama tahtma liig;0.652
laps lint seadma;0.6479
korrutama jagama mõte;0.646
