keyphrase;score
rääkima täna joogivesi;0.8695
veevärk rääkima täna;0.8664
rääkima vesi keemia;0.862
üldse veevärk rääkima;0.86
kuuspakk rääkima vesi;0.8576
kogus rääkima joogive;0.8575
joogivesi joogive üldse;0.8557
joogiveeküsimus aasta tegelema;0.855
kõnelema tänane kuusback;0.854
joogivesi oluline homse;0.8538
vesi rääkima vesi;0.8538
vesi tänama jaak;0.8536
alustama rääkima jaak;0.8523
rääkima joogive teema;0.8522
keskkonnakeemia tänane päev;0.8511
loomulikult näiteks väävelvesinik;0.8509
puurkaev veeanalüüs näitama;0.8503
esi joogivesi parem;0.8503
kuu aeg rääkima;0.8493
näiteks puurkaevuvesi 0;0.8493
rääkima korrosioon juht;0.8492
rääkima vähem 10;0.8491
keemik tegelema mees;0.8489
üldse kuulma rääkima;0.8481
pudel aeg küsima;0.848
joogiveemäärus number 82;0.8476
vesi mise viiger;0.8476
ülikool esimene keskkonnakeemik;0.8471
töötlema rääkima väävelvesinik;0.847
14 põhjaveehorisont aru;0.8469
puurkaevuvesi 0 050;0.8469
jaak raske küsimus;0.8467
kuulaja kell 15;0.8463
loomulikult veevärk probleem;0.8463
heakvaliteediline vesi vastama;0.8462
aeg algus terve;0.8459
algama saade kuuspakk;0.8459
saade juhtima täna;0.8458
2000 liiter vastaja;0.8455
kuju veetöötlusjaam valmis;0.8454
jaak jaagu viljandi;0.8453
soovitama pudelivesi kõrgmäestik;0.8447
veevärk eraettevõtja õnn;0.8444
vaatama number kolmas;0.8444
keemia tõepoolest tartu;0.8444
jooma kaevuvesi kaev;0.8441
tänane teema alustama;0.8439
valmistama jaak jaagu;0.8439
jaagu õnnelik vastama;0.8435
viimane tänane küsimus;0.8434
10 aasta vesi;0.8433
saade kuulama tänama;0.8427
märksõna vesi näiteks;0.8427
neljas küsimus küsimees;0.8426
daily tallinn lapsehääl;0.8426
küsimees arv põhjaveekompleks;0.8426
plastiktor juht rääkima;0.8424
joon katt terve;0.8421
kodu kraan lausa;0.842
näiteks võetud sisaldus;0.8419
raud vesi kodu;0.8418
süsihappegaas no sõltuma;0.8416
joon kaotama küllaltki;0.8412
eesti settekivim loomulikult;0.841
tänane kuusback mäng;0.8406
kuulama kuld inimene;0.8404
probleem vaatama kell;0.8403
kell saade lõpp;0.8403
jälle ohutu lihtsalt;0.8402
keetma juht kindlasti;0.8402
küsimus eesti teadma;0.8402
kuulaja tänane kuuspakk;0.8401
eesti keel kuulama;0.84
linn tarbija valmis;0.84
vähetähtis tänane saatekülaline;0.8399
loomkatse jaa jaa;0.8398
veevärk 2000 inimene;0.8397
ühe-kaks kord vesi;0.8396
õhuhapnik settima raudoksiit;0.8394
sisaldus tõusma kaks;0.8391
methemoglobiin meenia teke;0.8391
taanimaa veekeskus õppima;0.8391
küsimus liiter vesi;0.839
parem kuulama 1908;0.8389
teistpidi jällegi kaasnema;0.8389
küsimus saade valmistama;0.8389
vesi vesi politsei;0.8388
tegelikult teema pikk;0.8387
entsüklopeedia võtma ühendus;0.8386
põhjavesi põhjavesi lahustuma;0.8384
rääkima hügieen areng;0.8384
beep helistama tõepoolest;0.8383
kaev 15 20;0.8381
vaja looma vastav;0.8378
nõu reostus vabanema;0.8378
tegelikult lausa kohustuslik;0.8376
lahti helistama andreas;0.8375
mürkkemikaal jällegi vähearenenud;0.8374
050 koma kaks;0.8374
veejuga vesi õhuhapnik;0.8374
puurkaev mõtlema sügav;0.8373
lihtsalt hapnikunälk jaak;0.8373
levima viimane no;0.8373
näiteks viljandi 500;0.8373
näiteks kõrvaldama pestitsii;0.8371
oksodeerima emo piinima;0.8371
näiteks siinsamas eestimaa;0.837
tervisehäire joogiveemäärus euroopa;0.8367
soome tahtma otse;0.8366
ühend tõhk reageerima;0.8365
loosiõnn saade lõpp;0.8363
näiteks muutuma kodu;0.8361
kuulama esimene aasta;0.836
terve rida niukne;0.8359
saade õigesti nimi;0.8358
hapnikuprobleem katlamaja vaatama;0.8358
milligramm liiter eestimaa;0.8357
20 jumal tänama;0.8356
avama veevärk 29;0.8356
vaja mainima tuntud;0.8352
sügav veehorisont test;0.8352
laboratoorium juhataja manfred;0.8351
õige koht lahti;0.8351
linn puhas jook;0.8349
väävelvesinik põhjustama brit;0.8347
mädamuna lõhn loomulikult;0.8347
loomulikult alustama vana;0.8347
kuus jagunema 14;0.8346
kvaliteet maitse keemiline;0.8344
auhind nimelt kuus;0.8344
haigus vesi haigustekitaja;0.8344
tõsiselt arenema madu;0.8341
aktiviseerima siseeritud süsi;0.8338
küsimus nuputama korraks;0.8336
meeter no kuulama;0.8334
filter aeg näiteks;0.8332
lihtsalt hõbesulfiit britta;0.833
gaas ait niimodi;0.8328
jääma kaks minut;0.8325
ohtlik väikelaps küsima;0.8325
kassan julge pakkuja;0.8324
taanimaa saatma peamine;0.8323
vaatama eestimaa rajama;0.8321
jaa jaa erinev;0.8319
õhuhapnik küllastuma 25;0.8319
tähtpäev kindlasti kuju;0.8318
26 september kindlasti;0.8315
inimene haigestuma näide;0.8315
rääkima materjal vananemine;0.8314
keemia mikrobioloogia näide;0.8314
muutma keetmine muutuma;0.8311
kõrgelt veejuga langema;0.8311
rääkima põhjalikult geoloogia;0.831
taanlane õpetama aeg;0.831
2013 terve rida;0.8308
teaduskeel seletama kindlasti;0.8307
inimene tekitatud reoaine;0.8306
salvkaev puurkaev salvkaev;0.8303
sool kiskuma nii-öelda;0.8303
tunnustatud analüüs kindlasti;0.8299
1927 veevärk tallinn;0.8296
õige tegelikult rooma;0.8296
joonseks jooniline joonseks;0.8296
liiter kuivendusnäit vale;0.8295
levitama tõepoolest 95;0.8294
eesti tervisekaitselaber pikk;0.8294
vesi küllastuma kümnekraadine;0.8294
küsimus põhjustama nitraat;0.8293
kvaliteet võitleja viimane;0.829
mineraal agressiivne kaassiis;0.8287
joonseks ühendiskima tarbija;0.8287
vana-isa ütlema ütlema;0.8282
piirkontsentratsioon lähtuma aeg;0.828
kuus 410 telefoninumber;0.828
500 meeter sügavus;0.8278
võib-olla aint ühe-kaks;0.8276
hoopistükkis küsima mahuprotsent;0.8274
tegemine populaarteaduslik saade;0.8273
küllaltki suur anorgaaniline;0.8272
hõbedajoon kandma õpetama;0.8271
kodukant inimene õppejõud;0.8268
töötama edukalt näiteks;0.8268
helistaja pakkuma 100;0.8267
vastav otsingusüsteem toksima;0.8262
puutuma õhk põhinema;0.826
kogunemine olemasolu loomulikult;0.8259
tervisekaitse veterinaarsüsteem keskkonnalabor;0.8255
alus spetsialiseeruma keskkond;0.8246
mikroorganism joonits takistama;0.8244
kloriit etteantud ettemääratud;0.8244
liivafilter kinni maakodu;0.8243
nimelt kahjustama vereloome;0.8239
arenenud laboritehnoloogia hea;0.8237
kalgendump rakk rakuaine;0.8231
1931 vihe ütlema;0.8227
hooldamine hooldama kontrollima;0.8226
kolmevalentne raud blokeerima;0.8224
kiire desinfitseeriv aine;0.822
kooritsa raamat autor;0.8211
aasta 1850 põhjus;0.8136
