keyphrase;score
;1.0
Altimprovisatsioon;0.8465
mõttemõlgutus;0.8282
rohulibl;0.821
Sideluule;0.8171
tänapäevasem;0.8105
Alpume;0.8053
sisuregister;0.7973
luuleteos;0.7953
müsteerium;0.7926
põlvkond;0.7926
zooloogia;0.7913
sisendus;0.7883
põhjalikumalt;0.7858
kunstiväärtus;0.7856
maadeavastus;0.7839
väljaanne;0.7815
surmkümmend;0.7807
ühendus;0.7798
võib-olla;0.7781
kannel;0.7769
kroonlinn;0.7752
8899;0.7746
originaal;0.7727
rohtunud;0.7708
harjumus;0.7688
vastuvõtv;0.7678
varalahkunud;0.767
salmike;0.7668
sõna-sõnalt;0.7657
pühapäevane;0.7648
loendamatu;0.7634
mõtteliselt;0.7626
nägema;0.7612
mäletatavasti;0.7611
võimalus;0.7604
põhklend;0.7595
tihemets;0.7584
visand;0.7575
testament;0.7567
kevadelaul;0.7558
mõistmine;0.755
mõistetav;0.7547
loomingutee;0.7546
saksakeelne;0.7517
sügavam;0.7477
loodustemaatiline;0.7468
hiljem;0.7443
lehekülg;0.7441
Suits;0.7439
antoloogia;0.7429
kokkupanek;0.7425
asi;0.7406
antoloogiataks;0.7388
välgujoag;0.7376
segaselt;0.7372
etüüde;0.7372
saamislugu;0.7366
rahvalik;0.7355
Paul-Eerik;0.7339
samanimeline;0.7338
kuidagiviisi;0.7315
valu;0.7315
kristallpuhas;0.7306
kunstiteos;0.7302
muusikaline;0.7293
album;0.7292
kasvamine;0.7284
luulealbum;0.7271
lillekimp;0.7268
vaikus;0.7263
teisiti;0.7261
lõdvene;0.7257
öösiti;0.7243
lauldav;0.7237
ilusti;0.723
maal;0.7224
kuulm;0.7217
süü;0.7214
melu;0.7213
trükitud;0.7201
järgnev;0.7187
Santa;0.7177
rehepeksumasin;0.7177
raud;0.7174
joonis;0.7173
koolitüdruk;0.7168
koduaken;0.7165
variant;0.7154
unustus;0.7126
1910;0.7121
vastuvõtlik;0.7121
eluarv;0.712
nimelt;0.7116
mustmiljoniline;0.7112
kaevandus;0.711
keel;0.7103
õpp;0.7091
lükkima;0.7083
Kaalep;0.7053
looming;0.7048
vorm;0.7047
saatesari;0.7023
hommik;0.7016
loodus;0.7012
vahest;0.7008
suurem;0.7005
fregatt;0.6999
tagamaa;0.6995
kiri;0.6984
anonüümne;0.6968
mõõde;0.6949
pealkiri;0.6947
lipp;0.6936
tund;0.6908
saatesõna;0.6903
jätuma;0.6899
suudlus;0.6885
kaugem;0.6861
putukas;0.6858
ajalugu;0.6853
lõpuks;0.6844
200;0.684
kirjutama;0.6839
ühesõnaga;0.683
vanus;0.6828
mõeldav;0.6822
ilmuv;0.681
jagamatu;0.6801
kujutatav;0.6787
meeleolu;0.6785
varasem;0.6775
viitama;0.6723
analüüs;0.6719
lisatud;0.6717
antud;0.6712
aasta;0.6707
pühenduma;0.6689
põimatud;0.6685
vajama;0.6682
arust;0.6681
vajalik;0.6675
elu;0.6673
nimetus;0.6658
vaenlane;0.665
võrdlema;0.6642
tuletama;0.663
laasell;0.6628
vaade;0.6618
muutma;0.6574
leidmine;0.6565
vaheaeg;0.6556
plaan;0.6543
ilus;0.6515
tuul;0.6514
seotud;0.6483
rabama;0.6482
oht;0.6479
tulevik;0.6478
antoloogiana;0.6467
nimi;0.6459
määratu;0.6453
summa;0.645
Eduard;0.6442
kihelkond;0.6426
näitleja;0.6413
täpselt;0.6387
värske;0.6372
kord;0.6328
viis;0.6318
kogumine;0.6317
tugev;0.6278
kirjandusteadlane;0.627
algus;0.6263
rikastama;0.6256
mismoodi;0.6253
tegija;0.6219
lisand;0.6199
koostatud;0.6175
hetk;0.6169
kavandama;0.612
kaasa;0.5888
parim;0.5875
viimane;0.5841
sosistama;0.5787
Lydia;0.5765
ringutama;0.5736
joonistama;0.5669
suletud;0.5656
suunduma;0.5557
pärale;0.5549
kumisema;0.5515
valimine;0.5492
purunema;0.5454
ilmselt;0.5267
sattuma;0.5207
kinni;0.5012
Jaan;0.4861
tegemine;0.4836
jaotama;0.4548
