keyphrase;score
Indo-Euroopa;0.4118
sisaldama;0.411
kuulma;0.3814
väntama;0.3773
Internetikeel;0.3731
mitte-eestlane;0.3706
täna;0.3687
huvitavam;0.3645
integratsioon;0.3638
oluline;0.3634
koolitund;0.36
mõjutama;0.3575
komponent;0.3568
meeldima;0.3532
kõne;0.3526
punkt;0.3453
muutuma;0.337
prantsuse;0.3336
maksma;0.3309
vorm;0.328
puuduma;0.3279
fooniline;0.3274
näiteks;0.3253
Kaplinsk;0.3228
mõistesüsteem;0.3225
maailm;0.3224
nimetama;0.3223
inimene;0.3222
ühesugune;0.3213
tõlkimine;0.32
aitama;0.32
linn;0.3184
küsimus;0.3183
eripära;0.3173
grupp;0.3156
mõtlemine;0.3144
keeruline;0.3133
Colin;0.3132
hiina;0.3122
kõrgem;0.3121
tsoon;0.3117
aasta;0.3084
kodanik;0.3075
kasutamine;0.3067
leppima;0.3065
potentsiaal;0.306
põhisõna;0.3045
vento;0.3044
keelealaväärsund;0.3036
ühesõnaga;0.302
keeld;0.3015
suuline;0.3002
ehitama;0.2988
võitlemine;0.2964
rääkija;0.295
tulemine;0.2946
Lõuna-Indias;0.2944
kolima;0.2907
ladina;0.2902
veekogu;0.2897
ideofooneliselt;0.2896
Aavik;0.2882
kahvel;0.2868
;0.2867
jagama;0.2849
surve;0.2847
sulin;0.283
abstraktsioon;0.2828
sügavale;0.2818
Igor;0.2817
itaalia;0.2812
tohk;0.2811
Worf;0.2807
lõuna;0.279
pikk;0.2788
uperpall;0.2784
jaapani;0.2782
kvalifikatsioon;0.277
lihtsustuma;0.2767
seisev;0.2765
korrektorima;0.2764
skeptiline;0.274
piimatoode;0.2737
produktiivne;0.2737
põlev;0.2723
hiljem;0.2722
Viljandi;0.2718
loom;0.2717
kaks;0.2708
kaudne;0.2707
ametlik;0.2685
valge;0.2675
Entelle;0.2673
kuskilt;0.2672
eksperiment;0.2663
piibel;0.2662
täis;0.2656
püüdma;0.264
viiner;0.2636
tüpoloogiliselt;0.2631
kruvi;0.2629
ebasüsteemselt;0.2616
neli;0.2612
jää;0.2611
kinnitusvahend;0.2602
10;0.2593
kiire;0.2593
kuus;0.2591
suurepärane;0.258
kindlasti;0.2578
Hanschwei;0.2571
tühi-täht;0.2569
Oki;0.2567
maapind;0.2564
puumoodi;0.255
turist;0.2545
pääle;0.253
käeg-jalad-käded;0.2529
lõputee;0.2518
rahastamine;0.2516
matemaatika;0.2514
lusikas;0.2499
määr;0.2498
sinka-vonka;0.2465
Zorin;0.2458
rootsi;0.2426
soome-ugri;0.2407
korea;0.2407
isereguleeruv;0.2403
heisma;0.2338
ebakindlus;0.2323
tilin;0.2311
vastuvõtja;0.2308
haritlane;0.2306
sagi;0.2299
kila-kola;0.2292
sisikond;0.2292
salakeel;0.229
maalinguliselt;0.2282
õlu;0.2265
viide;0.2259
Soome;0.2255
Põhja-Siber;0.2249
ersa;0.2235
tädit;0.2214
immeetiline;0.2211
lemmiknäide;0.2206
vooditarve;0.2201
andmine;0.2192
suhtlemislaad;0.2188
panetas;0.2181
vanaisa;0.2177
no;0.217
potid-pann;0.2168
halb;0.2159
lastelaul;0.2154
lei;0.2152
kangesti;0.2149
üldmõiste;0.2131
Lotšikk;0.2117
Laula;0.2095
Lacing;0.2091
lomb;0.2082
Tavaar;0.2081
alistatud;0.208
selgepiiriline;0.2074
metafoolne;0.2068
puha;0.2065
kiram;0.2019
mordev;0.1953
Norbert;0.1942
mall;0.1903
kurbloolus;0.1902
nuga;0.1895
näoliigutus;0.1862
SMS;0.1856
kauntserling;0.1856
mini;0.1816
Peelt;0.1813
rebane;0.1793
hägusloogika;0.1782
Johannes;0.1751
banaanipuu;0.1648
kopsud-maks;0.161
intelligents;0.1556
onomatopoeetililisdes;0.1536
sugulasgeel;0.1412
noorus;0.1396
Benzo;0.1384
mets;0.1318
rohttaim;0.1297
A;0.1277
tajuma;0.1276
trauma;0.1195
tohuvabohu;0.1165
Average;0.1131
Travid;0.0808
Kabalistid;0.0772
Rubio;0.0744
Endijatamili;0.0562
