keyphrase;score
toimuma eesti kõnekeel;0.8033
kõnekeel ametlik eesti;0.8021
näiteks eesti keel;0.7992
rääkima eesti keel;0.7875
arvama eesti keel;0.7872
edukalt eesti keel;0.7846
keel vanem eesti;0.784
eestlane rääkima eesti;0.7771
toimuma eesti keel;0.7766
eripärane eesti keel;0.7748
otsekohe eesti keel;0.7738
tahtma rääkima eesti;0.7736
ametlik eesti keel;0.7707
huvitav eesti keel;0.768
eurooplane eesti keel;0.7662
keel tüpoloogiliselt eesti;0.7651
meel eesti keel;0.7614
tüpoloogiliselt eesti keel;0.758
niiet eesti keel;0.7489
tõlkima ütlema eesti;0.7443
vanem eesti keel;0.7441
teadma eesti keel;0.7438
ütlema eesti keel;0.742
asi eesti keel;0.7412
lugema eesti keel;0.7403
endastmõistetavalt niiet eesti;0.73
jääma arvama eesti;0.7298
standard eesti keel;0.7294
ametlik eesti kirjakeel;0.7292
üldmõiste eesti keel;0.7269
oluline asi eesti;0.7226
aeg huvitav eesti;0.7206
võimalus näiteks eesti;0.7145
põhjus otsekohe eesti;0.7085
mõjutama eripärane eesti;0.7078
kadu lugema eesti;0.7022
tõsi eurooplane eesti;0.7015
tasuma eesti keel;0.6979
Kaplinski meel eesti;0.6962
eesti keel korraldamine;0.694
teatud asi eesti;0.6914
eesti keel õigesti;0.6859
kogemus teadma eesti;0.684
eesti keel vanem;0.6772
asi ametlik eesti;0.669
eesti keel natuke;0.6685
no Eesti eriti;0.6678
jälle hea eesti;0.6657
Eesti eriti võtma;0.6657
eesti keel vana;0.6655
kuuluma no Eesti;0.6606
eesti keel näiteks;0.6598
potid-pann eesti keel;0.6564
eesti keel levima;0.6564
ese eesti keel;0.6562
eesti keel säilima;0.6546
põlev eesti keel;0.6472
hea eesti sõna;0.6426
eluaeg toimuma eesti;0.6404
eesti keel tõlkima;0.6378
näiteks ese eesti;0.6355
eesti keel hiljem;0.6342
eesti keel nimetama;0.6333
eesti keel metafoorselt;0.6294
eesti keel arvama;0.6197
eesti kõnekeel teatud;0.6173
eesti keel keel;0.6092
eesti keel painutama;0.5994
võib-olla tasuma eesti;0.5926
tooma potid-pann eesti;0.5916
Euroopa standard eesti;0.59
luuletaja edukalt eesti;0.5886
tugevasti enda-Euroopa keel;0.581
eesti keel ütlema;0.5807
kopsud-maks üldmõiste eesti;0.5744
enda-Euroopa keel omane;0.5695
eurooplane keel rääkima;0.566
küsimus Euroopa keel;0.5655
keel painutama Indo-Euroopa;0.5592
Soome potentsiaal kuuluma;0.5585
eesti keel võrdlema;0.5497
kangesti eurooplane keel;0.5465
Euroopa keel kauntserling;0.5366
Indo-Euroopa keel üldmõiste;0.5354
eesti keel mõte;0.5287
keel sõnapaar Indo-Euroopa;0.5196
soome-ugri keel võimalus;0.5141
vana rahvalaul Soome;0.5105
Igor võõras inglise;0.5054
eesti keel sõnapaar;0.5044
no põlev eesti;0.5041
eesti keel täislaensõna;0.5035
tüüpiline Indo-Euroopa keel;0.4987
väljendama soome-ugri keel;0.4983
rahvalaul Soome potentsiaal;0.4954
Lääne-Euroopa keel sõnapaar;0.4891
näiteks indoeuroopa keel;0.4866
ainuke Lääne-Euroopa keel;0.485
kõnelema teatud keelealaväärsund;0.4829
nii-öelda keel tüpoloogiliselt;0.4807
keel painutama küsimus;0.4797
teadma huvitav keel;0.479
keel omane valdkond;0.4768
keel vaja keel;0.4751
