keyphrase;score
rütmikäsitlus veidi Janadžiki;0.9677
Kaljuste käsi Jourdioonine;0.9663
puhkpillimängija mängima Colot;0.9661
klassikaraadio lähtu saatejuht;0.9659
teatraalne partok näitus;0.9654
mõtlema ainuüksi muusikaüritus;0.9654
kuus veebikammer praktiliselt;0.9645
andma nüüdismuusika meistriklass;0.9643
Colot puhkpillimängija esinema;0.9638
reede Eesti kontserdihooaeija;0.9637
paus kontserdielu Saito;0.9636
mängima Colot puhkpillimängija;0.9634
dirigeerima Eesti Kontsert;0.9632
poola Laidzigi poeeemmer;0.9629
rahvalaul illustreerima Acareel;0.9629
jälgima Soome kolleeg;0.9626
Eesti kontserdipaik rääkima;0.9624
Põhjamaa tuur esinema;0.9624
käima kuulama klassikaraadio;0.9624
osalema Läti raadio;0.9624
Baltimaa kontsert klassikaraadio;0.9623
14 seitsmeteistaastane tütarlaps;0.962
rahvusmeeskoor tutvustama Rootsi;0.9618
meel rahvusorkester võitlema;0.9618
omaaegne balti kett;0.9618
Eesti kontserdipaik tegelema;0.9617
20 aasta juhtima;0.9613
koostöö hingemuusika Oravižhanka;0.9612
kuulama klassikaraadio lähtu;0.9612
kategooria kuus parim;0.961
märkama üldse mäng;0.9609
sümfoonia esinema Kristjan;0.9607
ajakirjanik esmakordselt kuulma;0.9607
uus kontserdimaja ilmselt;0.9607
riiklik sümfooniaorkester esitlema;0.9604
30 aasta andma;0.9604
muusik võtma Soome;0.9603
Eesti parim saal;0.9602
oskama muusikasõber Salvate;0.96
töö Soome klassikaraadio;0.9598
eeter 21 sepp;0.9598
Pariis orkester mängima;0.9597
Metropolitan ooperimaja lühike;0.9597
uus kontserdihooaeija Eesti;0.9596
eristama Avo-Rein Tereping;0.9595
kõrgem suurepäraselt mürafoon;0.9595
ütlema sümfooniaorkester pianishima;0.9594
pikem paus kontserdielu;0.9593
Angeles kontserdisaal üldse;0.9593
Salvador Chitra läbima;0.959
vöötšin klassikuplaat dirigeerima;0.959
trami koosseis mängima;0.959
1907 katse viiekümnes;0.959
nädal andma kontsert;0.9589
olulisem helilooja Peters;0.9589
üldse hea akustika;0.9588
neljas sümfoonia mängima;0.9588
19 null muusikauudis;0.9588
Sitsiilia toimunud mootorratas;0.9587
kontsert lisaloona elustama;0.9583
klassikaraadio antud intervjuu;0.9583
kuus parim vöötšin;0.9582
esinema Pariis orkester;0.9581
Eesti rahvusmeeskoor tutvustama;0.958
väljapanek näitus eksponeerima;0.958
klassikaline Khanon sammas;0.958
kontsertmeister plaksutama samamoodi;0.9576
vahend akustika toetama;0.9576
kirjeldama ooper esiettekanne;0.9576
samamoodi dirigent jääma;0.9575
näitus paik kujunema;0.9575
ütlema neljapäevane kontsert;0.9574
selgelt väljajoonistuma sektsioon;0.9573
publik kontsert Estonia;0.9572
kontserdielu USA tabanud;0.9572
detsibell ütlema sümfooniaorkester;0.9572
ainuüksi muusikaüritus läbiviimine;0.9571
üldse Pariis orkester;0.9571
nüanss andma tegelikult;0.957
ilmselt kontsert kuulama;0.9567
tähendama nägema Helsingi;0.9565
vahend üldse tähendama;0.9564
tavakuulaja kuidagiviisi eristama;0.9564
võtma Soome raadio;0.9564
Teder pikem teemakäsitlus;0.9564
Soome pikk aeg;0.9563
veidi nurk klassikaraadio;0.9563
kaasaeg Areen saal;0.9562
Eesti kontserdisaal veidi;0.9562
kontserdihooaeija avakontsert klassikaraadio;0.9561
vähe heli sumbubel;0.956
Helsingi rahvusooper vähem;0.9559
parem Saaremaa ooperifestival;0.9559
avakontsert esinema Pariis;0.9559
kontsert muusik võtma;0.9558
11 tundma ühine;0.9558
leedu rahvalaul illustreerima;0.9557
kujunema Läti raadio;0.9556
kvartett andma nüüdismuusika;0.9556
kontserdimaja ütlema Jõhvi;0.9554
30 inimene saal;0.9553
andma kontsert Euroopa;0.9553
valmistama belgia meister;0.9553
kümmeliikmeline rendima saal;0.9552
kirjastus lai Wraithe;0.9552
sümfoonia mängima Los;0.9551
tala käima klassikaraadio;0.9549
kenasti kontsert sümboolne;0.9549
Angeles Filharmoonik juhatama;0.9549
esineja tegelikult saal;0.9549
Mihkel Peäske kontsert;0.9549
hea akustika ilmselt;0.9548
kord toimuv Läänemeri;0.9548
tuntum orkestrimuusikanäitaja Tšul;0.9548
üldse võrdlema ebaaus;0.9547
kontsert kõlav muusika;0.9547
ütlema Helsingin Sanomat;0.9547
kuldlõikemoment kontsert nägema;0.9547
nimetama Pavarott mantlipärija;0.9546
tutvustama Rootsi publik;0.9545
suurejooneline hoone jätma;0.9545
lõppkontsert mängima aasta;0.9543
Vanemuine kontserdimaja ütlema;0.9542
üldse tähendama nägema;0.9542
kontserdipaik muutuma Soome;0.9541
saun tegelikult muusik;0.9539
Stradivarius viiul valmistama;0.9538
Maasel esinema äsja;0.9538
käinud klassikaraadio peatoimetaja;0.9537
sümfooniaorkester nädal töötama;0.9537
klassikaraadio kiri tegelikult;0.9537
sümfooniline poeem Meri;0.9536
kuidagiviisi eristama Avo-Rein;0.9535
käima klassikaraadio peatoimetaja;0.9535
järgnev teema kuulama;0.9535
esinema Baltimaa muusik;0.9534
vana müür akustiline;0.9534
kontsertsaal jääma väikne;0.9534
