keyphrase;score
;1.0
number;0.8716
null;0.8614
vast;0.8394
andmed;0.8336
partner;0.8319
res;0.8291
meetod;0.8291
stress;0.8286
portree;0.8273
tipp;0.8232
in;0.8228
pars;0.8222
andmine;0.822
valve;0.8202
legend;0.8193
dollar;0.8189
tohter;0.8185
funces;0.818
realism;0.8175
voor;0.8174
kodu;0.8167
ring;0.816
uss;0.815
punkt;0.8138
standardtants;0.8135
probleem;0.8135
reporter;0.8075
asi;0.8073
risk;0.8067
variant;0.805
Wordimask;0.8028
arv;0.8027
buss;0.8024
taas;0.8022
hele;0.8016
ehe;0.8015
organism;0.8014
astumine;0.8007
eile;0.799
mitmeti;0.7986
look;0.7985
mill;0.7973
aju;0.7971
nisugune;0.7968
Genialist;0.7945
eht;0.794
otsustama;0.7932
standus;0.7929
sündmus;0.7897
minister;0.7895
vott;0.7883
honorar;0.7881
saabunud;0.7864
närv;0.7861
saade;0.7858
autonoomne;0.7849
kongress;0.7847
professor;0.7842
surve;0.7841
vahetult;0.784
liige;0.7835
maha;0.7833
haige;0.7825
pluss;0.7813
atlant;0.7808
sant;0.7807
laboratoorium;0.78
osa;0.7799
rootslane;0.7799
ehitama;0.7786
neli;0.7783
kammerteater;0.778
nojah;0.7773
LINK;0.7753
ulatus;0.7749
meister;0.7748
remont;0.7746
alev;0.7742
pink;0.774
reaktsiooniliselt;0.7739
üha;0.773
mesi;0.7726
artikkel;0.7716
natuke;0.7711
orkester;0.7704
festival;0.7694
lai;0.7687
Vene;0.7683
film;0.7682
vodka;0.7682
akadeemia;0.7681
NATO;0.768
demokraatlik;0.7671
lubama;0.7671
nikotiin;0.767
hernes;0.7668
külg;0.7665
Crystalfaar;0.7662
442;0.766
Franklin;0.7656
Partners;0.7655
Resswee;0.7653
Hein;0.7649
Dust;0.7648
30;0.7647
tihe;0.7647
1000;0.7645
taar;0.7644
Instituut;0.7638
grupp;0.7638
filmikunst;0.7637
tenniseturniir;0.7634
Song;0.7628
tuul;0.7628
Aafrika;0.7627
alastus;0.7622
400;0.7618
Uibo;0.7606
lavastajatöö;0.7601
Polütehniline;0.7599
2;0.7596
1815;0.7595
Düsseldorf;0.7588
Kuusk;0.7587
Philadelphia;0.7584
siduma;0.7581
mõnevõrra;0.758
infarkt;0.7579
S80;0.7579
oblast;0.7578
maoles;0.7575
Gustav;0.7562
1967;0.7562
Saudi;0.7559
Narva;0.7556
Warren;0.7552
Ellen;0.7551
Tamme;0.7548
1752;0.7546
turbaato;0.7543
miljon;0.7541
Washington;0.7538
Minister;0.7537
klubi;0.753
Iraak;0.7528
Peterson;0.7512
valdkond;0.7505
Kabul;0.7503
Vladimir;0.7499
Saaria;0.7499
individuaalne;0.7498
Estonia;0.7497
slovakkia;0.7496
Norra;0.7494
Camp;0.7492
NLKP;0.7492
puhtpoliitiline;0.7491
Holland;0.7489
maja;0.7484
Roggenbaum;0.7475
Mihhail;0.747
Keskkomitee;0.7469
Kinks;0.746
Poola;0.746
Nevski;0.7456
Stuttgard;0.7452
Altne;0.7435
Ladina-Ameerika;0.7429
pantvang;0.7427
Dowski;0.7417
raamatukogu;0.7415
Romney;0.7411
Albaania;0.7407
ÜRO;0.739
Natalia;0.7363
Sesse;0.7356
Diablo;0.7349
Tulard;0.7344
Sakala;0.7339
Brežnev;0.7334
Kitzbühel;0.7298
Kalinin;0.7295
Vladivostok;0.7292
Heerenveen;0.729
Lenin;0.729
Moskvadk;0.7287
Dagestan;0.7281
NSV;0.7277
Puškini;0.7247
Stenmark;0.7242
Disney;0.7228
Gagarin;0.722
Mandustam;0.7171
Hiina;0.7148
Georgia;0.7081
Spartak;0.7062
Primorje;0.6996
Mahhatshkala;0.6929
Vorošilov;0.6848
