keyphrase;score
kolhoos rahvamuusikasoov;0.8608
kalurikolhoos kohtumisõhtu;0.859
haapsalu kalurimuusika;0.8512
raadiokuulaja kohtumisõht;0.851
laulma kolhoos;0.851
kosjasõit laulma;0.8489
külaline raadiomaja;0.8487
kalurikolhoos haapsalu;0.8467
kalurimuusika armastaja;0.8458
paluma lemmiklaul;0.845
laul ütlema;0.8448
paluma raadio;0.8446
jutt raadio;0.8445
ütlema raadioinimene;0.8445
võõrustaja kalurikolhoos;0.8442
kolhoos naisansambel;0.8426
raadio maks;0.8421
kalurikolhoos esimees;0.8415
käima kalurikolhoos;0.8415
lemmiklaul Kösti;0.8414
kalorilaul rahvalaul;0.8413
muusikasaade vanemtoimetaja;0.8413
seis raadio;0.8411
kuulama raadio;0.8408
jätkama raadio;0.8403
komme laulma;0.8402
juhatus kohtumisõhtu;0.84
Heli Läätse;0.8398
ütlema külalisstuudio;0.8398
muusikasaade püügiriist;0.8398
juht helila;0.8396
koht laul;0.8395
hääl veenduma;0.8394
Läätse Artur;0.8393
helilõik kaks;0.8391
kontsert haapsalu;0.8391
Eesti raadio;0.8391
karu raadiokuulaja;0.839
rahvamuusikasoov kuuluma;0.8389
Ellerheinatoimetaja samol;0.8387
kolhoos Elldeeaa;0.8387
Rinne laul;0.8386
alustama kalurikolhoosivõistlus;0.8381
kingitus raadio;0.8381
kala hääl;0.8376
armastama kolhoos;0.8373
kõlama korraldama;0.8372
Joala kolhoos;0.8372
muusikasaade täiskomplekt;0.8369
võtma rääkima;0.8368
laulma Artur;0.8366
raadio muusikasaade;0.8365
laul Jaan;0.8363
truult raadio;0.8362
kalur kolhoos;0.8361
kuulaja aitama;0.836
kuulama ütlema;0.836
eeter kõlama;0.8359
orkestripill kalurikolhoos;0.8356
laulja küsimus;0.8353
Saaremaa Igor;0.8352
hea kuulaja;0.835
kuuletama kosjasõit;0.8349
isetegevuskollektiiv Haapsalu;0.8348
rahvalaul muhulane;0.8343
lootma laulma;0.8342
14 raadio;0.8342
Viljamäe kalurikolhoos;0.8341
isetegevusprogramm estraadikontsert;0.8339
küsimus kalurikolhoos;0.8339
mängima kõlama;0.8338
meiline kalur;0.8337
aprill raadiokuulaja;0.8337
Nurme meesansambel;0.8335
Remo-s lauluvõistlus;0.8334
mikrofon küsimus;0.8331
laulma Marja;0.8331
muusikategija kohtuma;0.833
kindlasti kolhoos;0.833
kalurikolhoos kolmas;0.833
jällegi helilint;0.8322
toodang Haapsalu;0.8314
mõte kodumuusika;0.831
küsimus saal;0.8308
paluma jutuajamine;0.8298
Tril saal;0.8295
nimelt aprillisaade;0.8292
Joala viis;0.8291
meesansambel juht;0.8289
lauttingism jalg;0.828
muusikaline õnn;0.828
kahjuks helisema;0.8279
tööjutt paluma;0.8278
panema laul;0.8278
saal elus;0.8277
noor naisansambel;0.8276
helirežissöör Priit;0.8275
laudkond esitama;0.8269
toimetus haapsalu;0.8269
viis ütlema;0.8265
puhkpilliorkester Peeter;0.826
Raik toimetaja;0.826
kallistama mees;0.8257
paremini rahvas;0.8256
esimees Villu;0.8255
kala kolm;0.8254
kalur organiseeritud;0.8253
kuuluma saade;0.8251
naisansambel trummitüdruk;0.825
Viveegaaweedurillija selg;0.8248
muusika inimene;0.8248
kalamees tühi;0.8247
suur 1971;0.8246
koosnema kaks;0.8246
sealjuures klubi;0.8244
orkester vastus;0.8244
elus Toivo;0.8243
no ütlema;0.8243
Igor näide;0.8237
keelama Eesti;0.8233
helila orkester;0.8233
Põldsan üldse;0.8232
puhkpilliorkestrimarss paluma;0.8232
Jaak Joala;0.8231
keelpillipuhkpilliv Tiksidend;0.823
õhtu viimane;0.823
meri kuuletama;0.823
milja huul;0.8229
mees täna;0.8227
omajagu hapu;0.8225
mängima Soome;0.8224
vaja uuesti;0.8223
natukene pillimees;0.8219
võitma võitma;0.8213
kohtunik kokkuvõte;0.8211
õieti hästi;0.8211
Mikk hea;0.8207
vastus 1932;0.8205
leem tegelikult;0.8203
redubera mängitud;0.8201
nimelt alustama;0.8201
esineja üldse;0.8201
kalapüük 1935;0.8196
Maarika nool;0.8195
kolleegium seisma;0.8192
Kallas Vladimir;0.8191
kohtuma Edgar;0.8191
Fonoteegi rikas;0.8191
kohtumisõht Eesti;0.819
1945 õige;0.8188
sõitma tuba;0.8184
elu luuletus;0.8183
arvama arvama;0.8182
lõpuks pill;0.8181
tablett laul;0.818
nimi tervelt;0.818
Saul juhatus;0.8176
Kazaagita kodu;0.8175
salasoov täna;0.8174
