EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
fort oluline Rostock;probleeme Et toomhärraks;Tartu piiskopkonna tipp;kohalikud suguvõsad näiteks;juhtiv juhtiv persoon;toomkapiitli liige eelnevalt;Miks toomhärrad Tartu;kirikukogudel 12 13
kolledžite süsteem õppejõupõhine;varanduslikult Tartu toomkapiitli;Tartu piiskopkonna vaimulikest;võtta andis tähendab;võtta hilisemasse formuleeringus;juhtiv persoon toomkapiitli;Tartu toomhärrad eesti;toomhärra 1304 aastal
Oxford Pariis Polonia;Nii toomkapiitli liikmed;pärit Tartu piiskopkonna;iseseisvust ütleme otsustusõigust;andmeid öelda protsent;sealset toomkapiitli koosseisu;raamatust Tartu toomhärrad;10 sajandil Saviniooni
süsteem tinglikult õppejõust;Kas toomhärrad arvamusliidrid;Tartu piiskopkonnas üldse;ilmalikud edenemise võimalused;tasus tunnustada suhteliselt;liige eelnevalt piiskopiks;toomkooliharidusest Euroopasse suurematesse;kolmest-neljast ülikoolist käisid
õpilane muusika tellis;ajaks keskaegsed institutsioonid;toomkapiitli Tartu piiskopkond;väljakujunenud ametisse pandud;andma paavsti kuuria;Nii toomkapiitli liikmed;ülikoolis käinutest Vana-Liivimaalt;piiskopkonda uuringud toimunud
süsteem õppejõupõhine süsteem;piiskopkonna näitel enamuse;Ja Tartu piiskopkond;raadid näiteks taskus;võimalust ametit kodu;valitsemiseks Seda piiskopikõrvalosa;toomhärra Toomhärra toomkapiitli;1364 aastal kool
keskpaigast olevate nõuete;14 sajandil Seal;luuramine Tartu piiskopkonna;rõivastus tülisid näiteks;vaesem tasus tunnustada;toomkirikud pandi toomkapiitli;näiteks Tartu toomkapiitli;näidete arengud Lääne-Euroopas
täitma formulari lühendid;hilisemaid toomkapiitli arengufaase;lugeda Tartu piiskopkonna;näiteks Saare-Lääne Haapsalu;andmeid osa vähem;Toomhärra toomkapiitli liige;ülikoolidesse minek Vana-Liivimaalt;võib-olla jõukamad Bubba
konsiilium põhimõttel osa;noolika tähendas vaimulike;toomkapiitli liikmed piiskop;keskpunktid piiskopid kogudused;tunnustada suhteliselt iseseisev;oluline akadeemia vanus;Tartu toomkapiitli Tartu;12 sajandil Euroopas
põhimõttel osa konsiilium;Ja korporatsioonides oluline;piiskopkonna tipp vaimulikest;peamiseks kohustuseks Lisaks;olulisem mõisnikuna ujutleme;enamus toomkapiitli liikmeid;Vana-Liivimaalt pärit Tartu;käisid kolmest-neljast ülikoolist
vanem Oxford Pariis;publikatsioone moodsamalt uurinud;Viola Veevachi neljas;Tartus näiteks Haapsalus;annab tegelikult märku;akadeemia vanus tollal;lugeda Tartu piiskopkonna;Vana-Liivimaa kogukond eestlased
ütleme loodi fort;persoon toomkapiitli Siis;näiteks Tartu piiskopkonnas;sajandil keskpaigast olevate;omane nakatas näiteks;piiskopkonda sealset toomkapiitli;Kes toomhärra Toomhärra;ajalugu 1119 aastani
Pariis Polonia mumpeljee;Ja 11 sajandil;Vana-Liivimaalt pärit Tartu;ajal esimese aastatuhande;võimalus eraomandit soetada;kondades piiskopkonda juhtimises;Tartu piiskopkonna tipp;13 järgnevatel sajanditel
osa konsiilium põhimõttel;ülikoole huvi kandus;Tartus Tartu piiskopkonna;ideaalis jumalale pühendatud;olemise probleeme Et;siinse toomkapiitli liige;Tartusse toomhärrad häda;kiriku vaimulike ühist
Pariisis Prahas nädala;Tartu piiskopkonnas üldse;tõepoolest Tartu piiskopkonnas;kohalikku päritolu inimesed;toom kab tiitel;piiskopkonda juhtimises Kas;kirikuelukorraldust toomhärrad dokumentides;asja tahtsid lihtsalt
ütleme kollektiivne supliit;Tartu piiskopkonna näitel;Ta Vana-Liivimaa vaimulik;loodi piiskopkonnad rajati;koostama rootuleid rootulusi;mõista hilisemaid toomkapiitli;varanduslikult Tartu toomkapiitli;kirikukogude näitel 15
algatused Tartu ülikool;Et Jaroslav Tark;tollast kirikuelukorraldust toomhärrad;kodanike ühiskonnas edenemiseks;saavutada tihti kodanike;ametikohta paavsti ametikohta;toomkirikud pandi toomkapiitli;vastupidiselt näiteks Saare-Lääne
prahva Poloniasse vähem;Saksamaal esimesed ülikoolid;Tartu piiskopkonna näitel;teatav iseseisvus printsipiaalsuse;võeti kasutusele termin;keskus piiskop teatud;Tartu piiskopkonna näitel;öelda muster-Euroopa riik
