EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
fancytte sõulisest;räägib musitseerimisest;kogemus laulda;meeldib asukonkurss;tekib idee;tunde vestlesin;saaremaalt teavad;saaremaale ütlesin;võib-olla soovinudki
süsteem steineri;mängida hea;muusikakoolis õppisin;vaatasin televiisorist;andnud head;saatis külla;saaremaale ütlesin;otse saaremaale;eemale aeg-ajalt
millegipärast ütles;teemaja asub;kogemus vabariigis;meeldida haridusmuusikaharidus;kodus näiteks;jutt jutu;saaremaa öelda;saaremaalt teavad;võib-olla väike
haapsalus mõtted;agressiivsust arvan;laulja kogemus;kuulnud raadiost;kodus kodus;iseendaga kaasa;saaremaalt ütles;saaremaalt ütles;palgast jääb
maatööd kõne;ida-virumaa kodu;varietee kogemus;õppisin ketramise;signaal panen;kohtla-järvel sündinud;saaremaale elanud;ütles saaremaale;teatavad õpetama
väsimus lauludest;üldiselt mõistsin;muusikat õppisin;raadios meeldib;no lapsed;nime teata;meelega saaremaalt;saaremaalt esinesime;huvitavalt koolis
esinemisnärv õnnestu;kasutada häält;kuulnud raadiost;inimene teadis;näiteks abiks;kutsusid tallinnas;saaremaale saatus;saaremaale esimest;võib-olla aeg
steineri süsteem;pedagoog juured;reisisime saaremaalt;tänase keskeprogrammi;tänatud programm;maaeluga ütles;öeldakse saaremaalt;öeldakse saaremaalt;koolis võib-olla
laser oil;laulda spirituaali;saaremaalt esinesime;avastanud džässiklassika;panime verivorst;ütles mäletate;ütles saaremaale;saaremaal esinemas;võib-olla lapsed
hästi mõtted;kasutades elukogemusi;saaremaale elanud;õhtul kuressaares;tekib väsimus;külaliseks sirje;saaremaalt aeg-ajalt;lauluema hea;ida-virumaa rahvariideid
õiged mõtted;muusikat pakub;kogemused sässiga;meeldib esineda;programm kinni;saaremaalt esinesime;saaremaalt esinesime;saaremaale elanud;perekonnaga võib-olla
sharm õpetab;istutama lilli;meeldiv kogemus;öeldakse saaremaalt;usun kindlasti;räägib kuulan;saaremaale esimest;suurepäraselt laulis;võib-olla loomulik
hästi muusikastiil;esinesin antsmeristu;kogemus sealset;meeldi täielikult;soomes head;oskad samm;saaremaal aiamaa;meelega kuulaksin;periood võib-olla
ballaad natuke;pedagoog restoranist;muusikat kuulsin;mees vähehaaval;head head;elasin kutsuti;aastat saaremaal;saaremaa öelda;no võib-olla
haapsalus lääne;lapsi perekonnast;õppisin laulu;hästi muusikastiil;ongi vajadus;tallinnast ütles;teavad kohase;saaremaalt aeg-ajalt;õpetajad tähendab
pärnu big;haapsalus elasin;kuulasime muusikat;meeldib ilusti;kodus proovida;saaremaale ütlesin;kohase saaremaa;kuressaarest küllaltki;pidevalt võib-olla
