EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
;buckingham;pärl;võidutsema;;pariis;pariis;pariis;riik
apartement;kroonivatkuline;ütlema;mustvalge;fun;prantsusmaa;suur-helepalee;prantsusmaa;jätkama
flarentiino;õiglus;rida;seitsmekümnes;key;louvre;prantsusmaa;linnake;põrandavaipas
värvi~line;-ni;park;kostüümiajalooalbumine;tool;imetlema;linnake;kuulsaim;aeg
värvitoon;lill;maksma;siidvooder;mask;francois;linn;näiteks;kaunis
täisväärtuslik;õukonnatseremoonia;seisma;seinakate;loss;linnake;kuulsam;päikesekuningas;tühistama
viiverebosimane;515;kirikutorn;erakordselt;sort;linn;kuulsai;suur-helepalee;öö
fondambema;kips;tuhat;lumivalge;moment;suur-helepalee;elurõõmus;kõikjal;tega
hermeliin;rist;juhtuma;neljateistkümnes;protokoll;fantaasiarikkalt;kaunis;peahoone;valmis
phantom;-st;sillan;helesinine;inga;reis;ekstravagantne;inglismaa;ajal
šanssellisvee;õiglane;tohutu;kostüümiajalugu;ornament;kaunistav;euroopa;värvi~line;võidujumalanna
telliskaunistus;kandma;linnake;sammaskäik;demantenon;ilustav;intriigiderohke;paiknema;ümbritsema
marie-there;linn;muinasjutuline;lõppkokkuvõte;andma;luksuslik;francois;fantaasiaküllane;õu
