EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
Wall Street Journal;tähendama põhiseaduslik takistus;eurotsoon arvama toimuma;parim Euroopa püüdma;andma garantii toimima;eurotsoon arvama toimuma;eurotsoon tulevik poliitik;rääkima eurotsoon lõpumärk;jooksev eelarve defitsiit
mõte dramaatiline olukord;effekt esimene meepott;euro halb aeg;20 kraad soe;kuulma sisuline argument;tahtma seadus Euroopa;eurosüsteem viga ütlema;kodanik ülekuulamine alustama;Saksamaa seisund väga-väga
sektor võlg akumuleerumine;kuulama tänapäev maailm;kärpima vaatama eestlane;1962 8 miljon;argument täna vaade;talv saabuma rahaliit;ütlema euro Eesti;number 154 Ühisraha;näitama Lääne-Euroopa kriitika
plaan päevselge 2011;võtma majandus rahanduspoliitika;sattuma probleem pelgama;nii-öelda eurotsoon Kriitik;reiting kindlasti paranema;võib-olla saksa maksumaksja;paarkümmend aasta rahapoliitika;lugema Euroopa president;Lääne-Euroopa tsivilisatsioon probleem
ärijuhtimine Instituut direktor;võlakirjaomanik nõudma mõte;pidu kontekst nägema;arrak Andres amet;hirmas komme number;lugema Euroopa president;lugema Euroopa president;lõhkilaenamine ülekuulutamine täna;Lääne-Euroopa kriitika viimane
liigutamine asi muutum;sotsialism keerama siiralt;põhjus 1000 euro;Läti stsenaarium tubli;looja vastama reaalsus;pelgama poliitika valitsussektor;sööma kasutama euro;ülekaal Eesti hästi;tegelikult üks-üheselt sisuliselt
Botnia laht Ameerika;Riia piiskopi kuulama;poliitiline mõte poliitik;variant liiter variant;saamine ajutine asi;parandama loomulikult Föderatsioon;keskpank asuma hetk;üleilmne majandusolukord lihtsalt;võtma uus riik
kasu teenima pluateeriv;president aasta lõpp;juhtuma Itaalia Prantsusmaa;Rootsi Taani suunas;vastav kogus tekkima;nägema tulevik liituma;poliitiline tahe võib-olla;väljaandja eurovastane Anti;mõte üldse võimalik
Reimo Sildvee Urmas;kinni panema tegelikult;Rootsi Taani euro;valmis võtma no;asi pidev argumentatsioon;rahaliit liige konservatiivne;laenukoormus riik Euroopa;900 sõna ütlema;raha kasutama juht
kontroll osa föderalist;Euroopa vältima Läti;pluateeriv oluline punkt;näiteks Prantsusmaa põhimõtteliselt;vastane föderatsioon süsteem;Euroopa vana laisk;valuutapunkt elu kergem;tulevik poliitik ülekuulamine;küsimus tegelikult üks-üheselt
ähvardama teema keel;kirjutama esimene artikkel;pikk perspektiiv Euroopa;Eesti kasutus võtma;reegel vilistama fundamentaalne;ekskommunist julgema riik;nägema tulevik liituma;Urmas Vaino ülekuulamine;juhtiv jõud riik
Brüssel 50000 inimene;edastama hädasoovitus hoidma;Lääne-Euroopa tsivilisatsioon probleem;ütlema Hispaania Anti;toimima nii-öelda iseseisvalt;vältima Läti stsenaarium;Liit Saksa föderaalvabariik;Eesti paratamatult täna;toimima nii-öelda iseseisvalt
Euroopa oluline probleem;Poocrack näiteks ütlema;süsteem pruukima püsima;keel näide emotsionaalselt;probleem täitma reegel;väljaandja eurovastane Anti;laen suur välisraha;Eesti arengufond majandusekspert;WTO maailm kaubandusorganisatsioon
ilmselt uus kvaliteedivõrne;lõpumärk kusagilt nägema;ettevõte tulumaks ennustama;väline bilanss odavam;number Poolamets antiam;Poolamets tunne ütlema;ühisraha kaotama usaldusväärsus;finantsnii-öelda Kathagrism ootama;lihtsalt tõetund tegelikult
needsama Eesti kroon;vahetama euro soovitus;tooma kaasa inflatsioon;süda vaatama sündmus;enam-vähem suutma punkt;asi muutum kohustuslik;Liit rahaliit liige;kriisimeete võtma Eesti;iiri valitsus võlg
