sent id;word id;word;lemma;upos;deprel;head;head upos;head id;ner tag
1;1;Tere;tere;INTJ;discourse;kuus;NUM;6;O
1;2;õhtust;õhtu;NOUN;obl;kuus;NUM;6;O
1;3;,;,;PUNCT;punct;kuus;NUM;6;O
1;4;kell;kell;NOUN;nsubj:cop;kuus;NUM;6;O
1;5;on;olema;AUX;cop;kuus;NUM;6;O
1;6;kuus;kuus;NUM;root;root;;0;O
1;7;ning;ning;CCONJ;cc;võtab;VERB;9;O
1;8;Päevakaja;Päevakada;PROPN;nsubj;võtab;VERB;9;O
1;9;võtab;võtma;VERB;conj;kuus;NUM;6;O
1;10;kokku;kokku;ADV;compound:prt;võtab;VERB;9;O
1;11;tänasest;tänane;ADJ;amod;meil;PRON;13;O
1;12;olulisema;olulisem;ADJ;amod;meil;PRON;13;O
1;13;meil;mina;PRON;obl;võtab;VERB;9;O
1;14;ja;ja;CCONJ;cc;maailmas;NOUN;15;O
1;15;maailmas;maailm;NOUN;conj;meil;PRON;13;O
1;16;.;.;PUNCT;punct;kuus;NUM;6;O
2;1;Stuudios;stuudio;NOUN;root;root;;0;O
2;2;on;olema;AUX;cop;Stuudios;NOUN;1;O
2;3;toimetaja;toimetaja;NOUN;nsubj:cop;Stuudios;NOUN;1;O
2;4;Margitta;Margitta;PROPN;appos;toimetaja;NOUN;3;O
2;5;Otsmaa;Otsmaa;PROPN;flat;Margitta;PROPN;4;O
2;6;.;.;PUNCT;punct;Stuudios;NOUN;1;O
3;1;Eesti;Eesti;PROPN;nsubj;asub;VERB;2;O
3;2;asub;asuma;VERB;root;root;;0;O
3;3;kaaluma;kaaluma;VERB;xcomp;asub;VERB;2;O
3;4;mõtet;mõte;NOUN;obj;kaaluma;VERB;3;O
3;5;esitada;esitama;VERB;acl;mõtet;NOUN;4;O
3;6;Euroopa;Euroopa;PROPN;nmod;liidule;NOUN;7;O
3;7;liidule;liit;NOUN;obl;esitada;VERB;5;O
3;8;taotlus;taotlus;NOUN;obj;esitada;VERB;5;O
3;9;jagada;jagama;VERB;acl;taotlus;NOUN;8;O
3;10;liidu;liit;NOUN;nmod;toetused;NOUN;11;O
3;11;toetused;toetus;NOUN;obj;jagada;VERB;9;O
3;12;tulevikus;tulevik;NOUN;obl;jagada;VERB;9;O
3;13;kaheks;kaks;NUM;obl;jagada;VERB;9;O
3;14;ning;ning;CCONJ;cc;eraldada;VERB;15;O
3;15;eraldada;eraldama;VERB;conj;jagada;VERB;9;O
3;16;Eesti;Eesti;PROPN;nmod;kaheks;NUM;17;O
3;17;kaheks;kaks;NUM;nummod;regiooniks;NOUN;18;O
3;18;regiooniks;regioon;NOUN;xcomp;eraldada;VERB;15;O
3;19;.;.;PUNCT;punct;asub;VERB;2;O
4;1;Eesti;Eesti;PROPN;nmod;kaheks;NUM;2;O
4;2;kaheks;kaks;NUM;nummod;territooriumiks;NOUN;3;O
4;3;territooriumiks;territoorium;NOUN;root;root;;0;O
4;4;Harjumaa;Harjumaa;PROPN;nmod;territooriumiks;NOUN;3;O
4;5;ja;ja;CCONJ;cc;jagamise;NOUN;8;O
4;6;ülejäänud;ülejäänud;ADJ;acl;jagamise;NOUN;8;O
4;7;Eesti;Eesti;PROPN;nmod;jagamise;NOUN;8;O
4;8;jagamise;jagamine;NOUN;conj;Harjumaa;PROPN;4;O
4;9;puhul;puhul;ADP;case;Harjumaa;PROPN;4;O
4;10;võiksime;võima;AUX;aux;territooriumiks;NOUN;3;O
4;11;teoreetiliselt;teoreetiliselt;ADV;advmod;territooriumiks;NOUN;3;O
4;12;või;või;CCONJ;cc;võita;VERB;13;O
4;13;võita;võitma;VERB;conj;territooriumiks;NOUN;3;O
4;14;150;150;NUM;compound;miljonit;NUM;15;O
4;15;miljonit;miljon;NUM;compound;miljonit;NUM;22;O
4;16;kuni;kuni;CCONJ;cc;500;NUM;17;O
4;17;500;500;NUM;conj;miljonit;NUM;15;O
4;18;miljonit;miljon;NUM;conj;miljonit;NUM;15;O
4;19;isegi;isegi;ADV;advmod;700;NUM;21;O
4;20;kuni;kuni;ADV;advmod;700;NUM;21;O
4;21;700;700;NUM;compound;miljonit;NUM;22;O
4;22;miljonit;miljon;NUM;obj;võita;VERB;13;O
4;23;.;.;PUNCT;punct;territooriumiks;NOUN;3;O
5;1;USA-s;USA;PROPN;obl;leidis;VERB;4;O
5;2;Marylandi;Maryland;PROPN;nmod;osariigis;NOUN;3;O
5;3;osariigis;osariik;NOUN;obl;leidis;VERB;4;O
5;4;leidis;leidma;VERB;root;root;;0;O
5;5;riikliku;riiklik;ADJ;amod;julgeoleku;NOUN;6;O
5;6;julgeoleku;julgeolek;NOUN;nmod;agentuuri;NOUN;7;O
5;7;agentuuri;agentuur;NOUN;obl;leidis;VERB;4;O
5;8;NSA;NSA;PROPN;appos;agentuuri;NOUN;7;O
5;9;lähistel;lähistel;ADP;case;NSA;PROPN;8;O
5;10;aset;ase;NOUN;obj;tulite;VERB;11;O
5;11;tulite;tulema;VERB;conj;leidis;VERB;4;O
5;12;tulistamisjuhtum;tulistamisjuhtum;NOUN;nsubj;tulite;VERB;11;O
5;13;,;,;PUNCT;punct;haavata;VERB;17;O
5;14;mille;mis;PRON;obl;haavata;VERB;17;O
5;15;käigus;käigus;ADP;case;mille;PRON;14;O
5;16;sai;saama;AUX;aux;haavata;VERB;17;O
