lemma;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
suurgilt;25;no;1;5042;932020281;4954.034489183237
18.;3;no;1;5042;932020281;595.3631955284928
börsikomitee;3;no;60;5042;932020281;559.9542132637632
leimus;3;no;241;5042;932020281;473.55186008847215
keldriruum;4;no;749;5042;932020281;440.4094641765181
ajaloomuuseum;10;no;3494;5042;932020281;417.8573425387281
põhjarahvas;3;no;431;5042;932020281;407.5404773739037
suurgildimaja;2;no;1;5042;932020281;397.2417730896408
19.;2;no;1;5042;932020281;397.2417730896408
suurk;2;no;1;5042;932020281;397.2417730896408
börsikäik;2;no;1;5042;932020281;397.2417730896408
28.;2;no;1;5042;932020281;397.2417730896408
uuenenud;2;no;17;5042;932020281;390.5444785252539
seitsmeteistkümnes;3;no;511;5042;932020281;384.9467282636566
suurkaupmees;2;no;137;5042;932020281;346.70495718409563
ekspositsioon;13;no;6127;5042;932020281;340.55703095510444
börsihoone;2;no;221;5042;932020281;321.44675758139147
nahakunstnik;2;no;411;5042;932020281;275.97098569283247
gild;5;no;2578;5042;932020281;263.584957462839
tähtsündmus;4;no;2015;5042;932020281;251.21552301426792
konservaator;2;no;645;5042;932020281;235.0221079706171
küsi;2;no;763;5042;932020281;218.66088264995503
teadusdirektor;2;no;773;5042;932020281;217.3784293848144
koguja;7;no;5497;5042;932020281;201.41345031372475
burkharty;1;no;1;5042;932020281;199.12035065078877
provitsiaal;1;no;1;5042;932020281;199.12035065078877
hoonetöö;1;no;1;5042;932020281;199.12035065078877
suurgilt;1;no;1;5042;932020281;199.12035065078877
kratsioon;1;no;1;5042;932020281;199.12035065078877
muuseumisaade;1;no;1;5042;932020281;199.12035065078877
ülevaatekoht;1;no;1;5042;932020281;199.12035065078877
uuestisünn;1;no;1;5042;932020281;199.12035065078877
15.-st;1;no;1;5042;932020281;199.12035065078877
kerisaht;1;no;1;5042;932020281;199.12035065078877
tõnine;1;no;1;5042;932020281;199.12035065078877
22.;1;no;1;5042;932020281;199.12035065078877
suurgildiaegne;1;no;1;5042;932020281;199.12035065078877
väikegilt;1;no;1;5042;932020281;199.12035065078877
14.;1;no;1;5042;932020281;199.12035065078877
ajakaps;1;no;1;5042;932020281;199.12035065078877
spiood;1;no;1;5042;932020281;199.12035065078877
vaalalu;1;no;1;5042;932020281;199.12035065078877
halanema;1;no;1;5042;932020281;199.12035065078877
ummela;1;no;1;5042;932020281;199.12035065078877
50.-te;1;no;1;5042;932020281;199.12035065078877
likööri-viinatehahane;1;no;1;5042;932020281;199.12035065078877
16.-st;1;no;1;5042;932020281;199.12035065078877
käitunud;1;no;1;5042;932020281;199.12035065078877
pealkirigi;1;no;1;5042;932020281;199.12035065078877
võlvitud;1;no;1;5042;932020281;199.12035065078877
hüpokaust;1;no;1;5042;932020281;199.12035065078877
ringraja;1;no;1;5042;932020281;199.12035065078877
soiun;1;no;1;5042;932020281;199.12035065078877
ajaloomuuseumikogu;1;no;1;5042;932020281;199.12035065078877
eestimaaelu;1;no;1;5042;932020281;199.12035065078877
kultuuripealine;1;no;1;5042;932020281;199.12035065078877
ostrideelne;1;no;1;5042;932020281;199.12035065078877
kalalu;1;no;1;5042;932020281;199.12035065078877
lauagilt;1;no;1;5042;932020281;199.12035065078877
kirbupüüdja;1;no;1;5042;932020281;199.12035065078877
lauagildi;1;no;1;5042;932020281;199.12035065078877
gildiamet;1;no;1;5042;932020281;199.12035065078877
pettenber;1;no;1;5042;932020281;199.12035065078877
tänapäevaraha;1;no;1;5042;932020281;199.12035065078877
börsimaja;1;no;1;5042;932020281;199.12035065078877
börsilaadne;1;no;1;5042;932020281;199.12035065078877
poed;1;no;1;5042;932020281;199.12035065078877
kikivarv;1;no;1;5042;932020281;199.12035065078877
ütlemis;1;no;1;5042;932020281;199.12035065078877
võlviline;1;no;1;5042;932020281;199.12035065078877
vägepteerima;1;no;1;5042;932020281;199.12035065078877
smaatika;1;no;1;5042;932020281;199.12035065078877
kontserditraditsioon;1;no;1;5042;932020281;199.12035065078877
kalurifeer;1;no;1;5042;932020281;199.12035065078877
dett;1;no;1;5042;932020281;199.12035065078877
eksperimentaalrium;1;no;1;5042;932020281;199.12035065078877
kalorifer;1;no;1;5042;932020281;199.12035065078877
trükkaleion;1;no;1;5042;932020281;199.12035065078877
ülesruum;1;no;1;5042;932020281;199.12035065078877
poolkeldriaknaav;1;no;1;5042;932020281;199.12035065078877
hõõkuma;1;no;1;5042;932020281;199.12035065078877
süütma;1;no;1;5042;932020281;199.12035065078877
keseküte;1;no;1;5042;932020281;199.12035065078877
raritee;1;no;1;5042;932020281;199.12035065078877
võimumine;1;no;1;5042;932020281;199.12035065078877
avane;1;no;1;5042;932020281;199.12035065078877
sildikene;1;no;10;5042;932020281;197.2179678762324
niuk;1;no;13;5042;932020281;196.59189252576203
veinikelder;3;no;1894;5042;932020281;196.5611994095425
rahandusajalugu;1;no;14;5042;932020281;196.38408314104365
õhuküte;1;no;14;5042;932020281;196.38408314104365
väri;1;no;17;5042;932020281;195.76328265740975
ekspositsiooniosa;1;no;18;5042;932020281;195.5572204431891
rändkaubitseja;1;no;20;5042;932020281;195.1463946985153
seisama;1;no;21;5042;932020281;194.94162844265583
kaubaretk;1;no;23;5042;932020281;194.5333823931824
vastate;1;no;24;5042;932020281;194.32989990828185
ehitusjäänus;1;no;27;5042;932020281;193.72199858307005
kiires;1;no;29;5042;932020281;193.3188395604915
püsiekspositsioon;3;no;1951;5042;932020281;192.67500116106615
piinamisriist;1;no;33;5042;932020281;192.5175347864191
olede;1;no;35;5042;932020281;192.1193682979411
kellerdatud;1;no;35;5042;932020281;192.1193682979411
kirjandusselts;1;no;35;5042;932020281;192.1193682979411
relvakamber;1;no;37;5042;932020281;191.72284539317852
teemaruum;1;no;39;5042;932020281;191.3279559163167
linnaarhiiv;2;no;1009;5042;932020281;190.9483555535476
põhjapõdranahk;1;no;41;5042;932020281;190.93468979503984
poolkelder;1;no;47;5042;932020281;189.76453207614136
provintsiaal;1;no;47;5042;932020281;189.76453207614136
niukene;1;no;50;5042;932020281;189.1848153358224
koostöönäitus;1;no;53;5042;932020281;188.6086297922808
burkhard;1;no;77;5042;932020281;184.1224889284633
haimi;1;no;81;5042;932020281;183.3954650282243
erakoguja;1;no;90;5042;932020281;181.78046851989765
niga;1;no;100;5042;932020281;180.0190644867932
avamispidustus;1;no;101;5042;932020281;179.84479969470942
