lemma;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
antoloogia;10;no;2160;1853;932062935;1627.0539780487304
loogia;3;no;266;1853;932062935;1260.3164571526745
luulealbum;2;no;1;1853;932062935;1079.1729821544743
lauluvihik;2;no;53;1853;932062935;1022.2050534281416
luulemaailm;2;no;61;1853;932062935;1013.9702878969669
kroonlinn;2;no;151;1853;932062935;929.711725479514
Bett;2;no;731;1853;932062935;605.4709589819322
kuulja;2;no;816;1853;932062935;576.0297812742976
nimetäht;2;no;879;1853;932062935;555.9918932920775
Sõrves;1;no;1;1853;932062935;540.0859552077035
põhklend;1;no;1;1853;932062935;540.0859552077035
etüüde;1;no;1;1853;932062935;540.0859552077035
taruma;1;no;1;1853;932062935;540.0859552077035
tšell;1;no;1;1853;932062935;540.0859552077035
Alpume;1;no;1;1853;932062935;540.0859552077035
rohtunud;1;no;1;1853;932062935;540.0859552077035
mustmiljoniline;1;no;1;1853;932062935;540.0859552077035
tüüt;1;no;1;1853;932062935;540.0859552077035
laulutoru;1;no;1;1853;932062935;540.0859552077035
Virkau;1;no;1;1853;932062935;540.0859552077035
kuulm;1;no;1;1853;932062935;540.0859552077035
maltama;1;no;1;1853;932062935;540.0859552077035
fraad;1;no;1;1853;932062935;540.0859552077035
60;1;no;1;1853;932062935;540.0859552077035
antoloogiataks;1;no;1;1853;932062935;540.0859552077035
laasell;1;no;1;1853;932062935;540.0859552077035
trükitud;1;no;1;1853;932062935;540.0859552077035
Fraumis;1;no;1;1853;932062935;540.0859552077035
püüde;1;no;1;1853;932062935;540.0859552077035
valb;1;no;1;1853;932062935;540.0859552077035
ringeldama;1;no;1;1853;932062935;540.0859552077035
kantoloogia;1;no;1;1853;932062935;540.0859552077035
mururaamat;1;no;1;1853;932062935;540.0859552077035
eluarv;1;no;1;1853;932062935;540.0859552077035
antoloogiana;1;no;1;1853;932062935;540.0859552077035
sügisraju;1;no;1;1853;932062935;540.0859552077035
surmkümmend;1;no;1;1853;932062935;540.0859552077035
Rummol;1;no;1;1853;932062935;540.0859552077035
välgujoag;1;no;1;1853;932062935;540.0859552077035
tippluuletus;1;no;1;1853;932062935;540.0859552077035
nimbon;1;no;1;1853;932062935;540.0859552077035
lisatud;1;no;1;1853;932062935;540.0859552077035
Altimprovisatsioon;1;no;1;1853;932062935;540.0859552077035
tahu;1;no;1;1853;932062935;540.0859552077035
Jaansaul;1;no;1;1853;932062935;540.0859552077035
rohulibl;1;no;1;1853;932062935;540.0859552077035
lõdvene;1;no;1;1853;932062935;540.0859552077035
vastuvõtv;1;no;1;1853;932062935;540.0859552077035
luulma;1;no;1;1853;932062935;540.0859552077035
põimama;1;no;1;1853;932062935;540.0859552077035
põimatud;1;no;1;1853;932062935;540.0859552077035
antos;1;no;1;1853;932062935;540.0859552077035
salapea;1;no;1;1853;932062935;540.0859552077035
Sideluule;1;no;1;1853;932062935;540.0859552077035
emine;1;no;11;1853;932062935;534.3590208201517
loodustemaatiline;1;no;18;1853;932062935;530.4218993854112
rea;1;no;19;1853;932062935;529.8641845593303
Vaarandi;2;no;970;1853;932062935;529.3916891881166
tagam;1;no;22;1853;932062935;528.1980548991544
Veldman;1;no;26;1853;932062935;525.9927799193885
sisuregister;1;no;27;1853;932062935;525.4443354318331
Grenzsteini;1;no;28;1853;932062935;524.8970334620598
jätuma;1;no;30;1853;932062935;523.8058428250106
Rummo;3;no;1957;1853;932062935;522.6395089538383
albumileht;1;no;36;1853;932062935;520.5593234683428
kevadelaul;1;no;42;1853;932062935;517.3527997124522
Paul-Eerik;2;no;1040;1853;932062935;510.6004946549826
loomingutee;1;no;81;1853;932062935;497.4362096451376
Debora;2;no;1148;1853;932062935;484.0893480474218
Wulf;1;no;171;1853;932062935;456.8498954398992
XY;1;no;197;1853;932062935;446.3295808380942
kristallpuhas;1;no;203;1853;932062935;443.9702601322088
mõttemõlgutus;1;no;204;1853;932062935;443.5794628916208
maadeavastus;1;no;207;1853;932062935;442.4111882091733
rehepeksumasin;1;no;230;1853;932062935;433.6548145031218
Egan;1;no;231;1853;932062935;433.2819586571885
luuleteos;1;no;237;1853;932062935;431.0582188788479
aiaäärne;1;no;247;1853;932062935;427.4022798608103
salmike;1;no;276;1853;932062935;417.142329193618
palmisaar;1;no;340;1853;932062935;396.155074291492
ant;1;no;352;1853;932062935;392.4528718823103
koolivend;2;no;1681;1853;932062935;385.34713290468704
lauldav;1;no;390;1853;932062935;381.1726152948826
Ki;1;no;395;1853;932062935;379.73646405728175
Frau;1;no;414;1853;932062935;374.3763931204141
tihemets;1;no;424;1853;932062935;371.6156333985917
õieke;1;no;444;1853;932062935;366.2144904138257
sisendus;1;no;467;1853;932062935;360.19407984557773
aimus;1;no;498;1853;932062935;352.38602035257867
fregatt;1;no;517;1853;932062935;347.7655623828225
kunstiväärtus;1;no;525;1853;932062935;345.85615652791165
noodikiri;1;no;545;1853;932062935;341.1731312033623
Ševtšenko;1;no;580;1853;932062935;333.2759337284981
Semper;2;no;2163;1853;932062935;325.3362956581549
luuletus;23;no;35028;1853;932062935;321.7452907762187
peilima;1;no;649;1853;932062935;318.73126322980835
lükkima;1;no;650;1853;932062935;318.5297976267792
koduaken;1;no;763;1853;932062935;297.2952662187604
Mäger;1;no;765;1853;932062935;296.94490176251384
kujutatav;1;no;769;1853;932062935;296.2466444654961
ringutama;1;no;794;1853;932062935;291.9558587928188
Michelson;1;no;796;1853;932062935;291.61795922576067
lillekimp;2;no;2551;1853;932062935;289.0950662945046
zooloogia;1;no;853;1853;932062935;282.30611741337754
härras;1;no;857;1853;932062935;281.6749353305329
kirjandusteadlane;2;no;2668;1853;932062935;279.69964089023813
jagamatu;1;no;938;1853;932062935;269.47445301800946
segaselt;1;no;994;1853;932062935;261.63952244809605
kohisema;1;no;1019;1853;932062935;258.2869970406046
Sooman;1;no;1030;1853;932062935;256.83895125330343
mühisema;1;no;1036;1853;932062935;256.05593071055847
trükitäht;1;no;1038;1853;932062935;255.79598375540132
mõtteliselt;1;no;1046;1853;932062935;254.7614525310229
tänapäevasem;1;no;1063;1853;932062935;252.5906214173531
nonii;1;no;1121;1853;932062935;245.45481676545796
nonii;1;no;1121;1853;932062935;245.45481676545796
rahvalik;2;no;3210;1853;932062935;243.10019570037184
kumisema;1;no;1237;1853;932062935;232.32806129637652
varalahkunud;1;no;1298;1853;932062935;225.97307843169835
kuidagiviisi;1;no;1304;1853;932062935;225.36672766698243
saatesõna;1;no;1336;1853;932062935;222.18703843788109
sumisema;1;no;1356;1853;932062935;220.2448974675508
luule;11;no;25098;1853;932062935;212.59861861152896
tasahilju;1;no;1541;1853;932062935;203.76925285097053
interpreteerima;1;no;1554;1853;932062935;202.703712534284
haljas;1;no;1588;1853;932062935;199.96888947472988
möödunu;1;no;1592;1853;932062935;199.6519894692635
määratu;1;no;1674;1853;932062935;193.36992201931545
leheke;1;no;1688;1853;932062935;192.33667244652597
koolitüdruk;1;no;1733;1853;932062935;189.08903797364857
kannel;2;no;4429;1853;932062935;187.82400473755243
Alver;2;no;4450;1853;932062935;187.09114372363925
koduigatsus;1;no;1832;1853;932062935;182.31646614746072
Suits;1;no;1861;1853;932062935;180.4234985912977
Õie;1;no;1972;1853;932062935;173.5272953092452
loendamatu;1;no;2027;1853;932062935;170.30194949820435
tinglik;1;no;2109;1853;932062935;165.70988410615655
Parve;1;no;2115;1853;932062935;165.3835832302487
klassikaliselt;1;no;2205;1853;932062935;160.63885135870837
lõpmatult;1;no;2236;1853;932062935;159.06697463331116
salapära;1;no;2251;1853;932062935;158.31738071442763
Muru;1;no;2335;1853;932062935;154.24685613482936
sõna-sõnalt;1;no;2359;1853;932062935;153.12201451971882
Sööt;1;no;2444;1853;932062935;149.2668223965968
saamislugu;1;no;2564;1853;932062935;144.14333949007653
visand;1;no;2691;1853;932062935;139.09065218001197
pärale;1;no;2811;1853;932062935;134.63150240042074
kurvastus;1;no;2830;1853;932062935;133.95155669249283
Looming;1;no;3002;1853;932062935;128.09510036940435
Viivi;1;no;3087;1853;932062935;125.38599038344702
Kaalep;1;no;3122;1853;932062935;124.3034937044899
mõeldav;2;no;7250;1853;932062935;123.0663120170386
Laulasmaa;1;no;3257;1853;932062935;120.29759264487592
laulik;1;no;3404;1853;932062935;116.21929710722208
paljalt;1;no;3457;1853;932062935;114.81589441332044
peidus;1;no;3575;1853;932062935;111.80988457139848
peidus;1;no;3575;1853;932062935;111.80988457139848
sahistama;1;no;3662;1853;932062935;109.69248650886809
kuidagimoodi;1;no;3727;1853;932062935;108.16213336220544
harrastus;1;no;3836;1853;932062935;105.689499779721
Lydia;1;no;3895;1853;932062935;104.39768308477178
vastuvõtlik;1;no;3912;1853;932062935;104.03130456404328
mäletatavasti;1;no;4120;1853;932062935;99.74820048800092
niiviisi;3;no;14848;1853;932062935;95.68646461707758
unustus;1;no;4453;1853;932062935;93.57999945424562
saatesari;1;no;4481;1853;932062935;93.09594079537122
Evi;1;no;4521;1853;932062935;92.41305162350532
lakkuma;1;no;4637;1853;932062935;90.4881471802542
Saul;1;no;4656;1853;932062935;90.18047799033572
sedalaadi;1;no;4662;1853;932062935;90.0837535032806
poeetiline;1;no;5034;1853;932062935;84.46679024487669
müsteerium;1;no;5064;1853;932062935;84.04417898565275
Ralf;1;no;5131;1853;932062935;83.11544708027648
lilleline;1;no;5194;1853;932062935;82.26069367313451
mööduv;1;no;5573;1853;932062935;77.46799555266384
kokkupanek;1;no;5689;1853;932062935;76.11076823549003
melu;1;no;5877;1853;932062935;74.00933011326005
Sass;1;no;6064;1853;932062935;72.03111109782753
mõtteline;1;no;6193;1853;932062935;70.72698039520942
rahvaluule;1;no;6239;1853;932062935;70.27329017833789
suudlus;1;no;6354;1853;932062935;69.16412759731101
saksakeelne;1;no;6467;1853;932062935;68.10783891762888
vihik;1;no;6573;1853;932062935;67.14589749384672
selgesti;1;no;6589;1853;932062935;67.00305407275233
õpp;1;no;6670;1853;932062935;66.28913636037642
kaunilt;1;no;7082;1853;932062935;62.88123647214386
otsekohe;1;no;7614;1853;932062935;58.96682371183338
võlgu;1;no;7776;1853;932062935;57.86983744604487
luuletaja;2;no;16847;1853;932062935;56.63607321618139
kaja;1;no;8002;1853;932062935;56.40593649101917
ilmuv;1;no;8004;1853;932062935;56.39331215367928
Koidula;1;no;8231;1853;932062935;54.9962594487384
sosistama;1;no;8421;1853;932062935;53.87905438256076
esindav;1;no;8811;1853;932062935;51.72235773086262
murre;1;no;8870;1853;932062935;51.41103356100604
Santa;1;no;9302;1853;932062935;49.24087234161399
