word;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
ameerikas;10;no;1;3883;932046280;2573.5671533298314
aasta;10;no;2;3883;932046280;2570.8118646375738
biitlasi;8;no;1;3883;932046280;2059.053508312226
george;8;no;1;3883;932046280;2059.053508312226
ajal;7;no;1;3883;932046280;1801.7966858034224
lihtsalt;6;no;1;3883;932046280;1544.53986329462
1963.;6;no;1;3883;932046280;1544.53986329462
hiljem;6;no;1;3883;932046280;1544.53986329462
biitlus;5;no;1;3883;932046280;1287.2830407858166
kaasa;5;no;1;3883;932046280;1287.2830407858166
suur;5;no;1;3883;932046280;1287.2830407858166
inglismaal;5;no;1;3883;932046280;1287.2830407858166
korda;5;no;1;3883;932046280;1287.2830407858166
ameerika;4;no;1;3883;932046280;1030.0262182770136
osa;4;no;1;3883;932046280;1030.0262182770136
esimene;4;no;1;3883;932046280;1030.0262182770136
novembril;4;no;1;3883;932046280;1030.0262182770136
inimest;3;no;1;3883;932046280;772.7693957682108
näiteks;3;no;1;3883;932046280;772.7693957682108
varem;3;no;1;3883;932046280;772.7693957682108
tegelikult;3;no;1;3883;932046280;772.7693957682108
inglismaa;3;no;1;3883;932046280;772.7693957682108
maa;3;no;1;3883;932046280;772.7693957682108
vana;3;no;1;3883;932046280;772.7693957682108
ameerika;3;no;1;3883;932046280;772.7693957682108
biitilisi;3;no;1;3883;932046280;772.7693957682108
terve;3;no;1;3883;932046280;772.7693957682108
ivo;3;no;2;3883;932046280;771.9420605362047
pilsi;3;no;53;3883;932046280;731.975364669543
bernstein;4;no;402;3883;932046280;720.4113872764862
epstein;4;no;537;3883;932046280;654.2082059292479
1964.;2;no;1;3883;932046280;515.5125732594076
ükski;2;no;1;3883;932046280;515.5125732594076
varsti;2;no;1;3883;932046280;515.5125732594076
lugeda;2;no;1;3883;932046280;515.5125732594076
sõna;2;no;1;3883;932046280;515.5125732594076
lp;2;no;1;3883;932046280;515.5125732594076
kaarnegi;2;no;1;3883;932046280;515.5125732594076
aru;2;no;1;3883;932046280;515.5125732594076
piidilisi;2;no;1;3883;932046280;515.5125732594076
vastuvõtt;2;no;1;3883;932046280;515.5125732594076
ed;2;no;1;3883;932046280;515.5125732594076
vanu;2;no;1;3883;932046280;515.5125732594076
politsei;2;no;1;3883;932046280;515.5125732594076
topelt;2;no;1;3883;932046280;515.5125732594076
ajal;2;no;1;3883;932046280;515.5125732594076
