word;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
näiteks;3;no;1;675;932062911;4440.680087837793
uus;3;no;1;675;932062911;4440.680087837793
kord;2;no;1;675;932062911;2960.78636797883
informeerima;3;no;838;675;932062911;2340.839901129179
tegevusskulptuuri;1;no;1;675;932062911;1480.8926481198675
tavaohtlikud;1;no;1;675;932062911;1480.8926481198675
ettevõte;1;no;1;675;932062911;1480.8926481198675
koguvatelt;1;no;1;675;932062911;1480.8926481198675
aadress;1;no;1;675;932062911;1480.8926481198675
number;1;no;1;675;932062911;1480.8926481198675
mõttega;1;no;1;675;932062911;1480.8926481198675
ajal;1;no;1;675;932062911;1480.8926481198675
juhuks;1;no;1;675;932062911;1480.8926481198675
hetkel;1;no;1;675;932062911;1480.8926481198675
uut;1;no;1;675;932062911;1480.8926481198675
teatamatult;1;no;1;675;932062911;1480.8926481198675
Eestis;1;no;1;675;932062911;1480.8926481198675
eurot;1;no;1;675;932062911;1480.8926481198675
tohib;1;no;1;675;932062911;1480.8926481198675
suurt;1;no;1;675;932062911;1480.8926481198675
aega;1;no;1;675;932062911;1480.8926481198675
infopala;1;no;1;675;932062911;1480.8926481198675
tea;1;no;1;675;932062911;1480.8926481198675
info;1;no;1;675;932062911;1480.8926481198675
pandud;1;no;1;675;932062911;1480.8926481198675
kogusised;1;no;1;675;932062911;1480.8926481198675
teada;1;no;1;675;932062911;1480.8926481198675
vaikimisi;1;no;1;675;932062911;1480.8926481198675
teenuse;1;no;1;675;932062911;1480.8926481198675
loevad;1;no;1;675;932062911;1480.8926481198675
Port;1;no;1;675;932062911;1480.8926481198675
nõuab;1;no;1;675;932062911;1480.8926481198675
vabakogunemine;1;no;1;675;932062911;1480.8926481198675
varem;1;no;1;675;932062911;1480.8926481198675
põhjendama;1;no;2;675;932062911;1479.3072167418734
mäluseadmetesse;1;no;2;675;932062911;1479.3072167418734
eeldab;1;no;2;675;932062911;1479.3072167418734
kuueteistaastasest;1;no;3;675;932062911;1477.7251764327782
traalimisest;1;no;4;675;932062911;1476.1465163245018
vaja;1;no;5;675;932062911;1474.5712255953565
suhtlusvõrgu;1;no;11;675;932062911;1465.1896379511231
tehnolooga;1;no;23;675;932062911;1446.780090838667
üksikkasutajate;1;no;27;675;932062911;1440.7459503281973
esitanu;1;no;32;675;932062911;1433.273689265723
deme;1;no;33;675;932062911;1431.788528378356
kvaliteedihüpet;1;no;39;675;932062911;1422.9417986011642
pahategijaid;1;no;58;675;932062911;1395.6345498667229
andmevarguse;1;no;58;675;932062911;1395.6345498667229
väärtustamises;1;no;91;675;932062911;1350.6168489507702
olulisuselt;1;no;105;675;932062911;1332.3839763981514
aastakäibest;1;no;143;675;932062911;1285.288508230587
juhtuva;1;no;147;675;932062911;1280.524046417922
nõustamiste;1;no;170;675;932062911;1253.799571096556
koguvate;1;no;176;675;932062911;1247.0104282131526
facebook'i;1;no;176;675;932062911;1247.0104282131526
kergitatakse;1;no;179;675;932062911;1243.6433539929608
iseloomustusi;1;no;192;675;932062911;1229.2603835704906
küsivat;1;no;199;675;932062911;1221.6526522928505
infoajastu;1;no;230;675;932062911;1189.0629948288768
töötavaks;1;no;259;675;932062911;1160.111688788219
tegevuselt;1;no;298;675;932062911;1123.3295409337177
arvestamisest;1;no;329;675;932062911;1095.7153628739322
talletub;1;no;334;675;932062911;1091.3881080694753
trahviraha;1;no;334;675;932062911;1091.3881080694753
regulaarsele;1;no;343;675;932062911;1083.6845721200827
tavakodanikud;1;no;427;675;932062911;1016.7049618891574
haldajale;1;no;429;675;932062911;1015.2109751620602
analüüsita;1;no;433;675;932062911;1012.2361350518167
ekspluateerimine;1;no;469;675;932062911;986.226952611996
nõustumise;1;no;479;675;932062911;979.2377039759232
regulatsiooniga;1;no;506;675;932062911;960.85226492099
sündmusena;1;no;510;675;932062911;958.1870489790456
koguva;1;no;516;675;932062911;954.2168331478122
kurikuulsad;1;no;536;675;932062911;941.2171609130872
lekkimise;1;no;543;675;932062911;936.7505581144818
kuhjumine;1;no;550;675;932062911;932.3261481531146
seadetega;1;no;559;675;932062911;926.6986623700028
andmesubjekti;2;no;2064;675;932062911;922.076748526408
suunis;1;no;567;675;932062911;921.7531799325682
hüppelist;1;no;570;675;932062911;919.9122054170888
peituvaid;1;no;580;675;932062911;913.8283831189232
kirjavahetusest;1;no;587;675;932062911;909.6173668170234
häkkimise;1;no;589;675;932062911;908.4213382238088
hoiatavaid;1;no;593;675;932062911;906.0386920216844
kogutavate;1;no;615;675;932062911;893.1543735607156
andmesubjekt;1;no;637;675;932062911;880.6313599322738
kauplemisega;1;no;652;675;932062911;872.2923790071758
tavakodanik;1;no;676;675;932062911;859.2735991118337
abstraktsete;1;no;690;675;932062911;851.8572219133998
bürokraatlik;1;no;724;675;932062911;834.3680641328137
menüüde;1;no;909;675;932062911;750.5262296456214
kodanikelt;1;no;972;675;932062911;725.6934616763943
iseloomustatakse;1;no;977;675;932062911;723.79280806908
omapoolset;1;no;989;675;932062911;719.2716059537845
tallele;1;no;994;675;932062911;717.4043990161349
rikkumisel;1;no;1016;675;932062911;709.3025575975468
lõputute;1;no;1048;675;932062911;697.8394461393061
eurooplastele;1;no;1065;675;932062911;691.8990871656233
globaalsest;1;no;1132;675;932062911;669.4398691868275
keeldumist;1;no;1150;675;932062911;663.6523794900943
eeldati;1;no;1159;675;932062911;660.7959989460223
kogumisest;1;no;1172;675;932062911;656.7132560102535
personaalsete;1;no;1175;675;932062911;655.778238950371
skandaalid;1;no;1358;675;932062911;603.3746926759526
ülevaatest;1;no;1360;675;932062911;602.8482021596755
koostamisele;1;no;1373;675;932062911;599.4482834022842
nõustuma;2;no;3712;675;932062911;594.8670378284297
karistusega;1;no;1412;675;932062911;589.4747955138062
kasutava;1;no;1423;675;932062911;586.7214836084785
eristus;1;no;1434;675;932062911;583.9937724011018
töökoormuse;1;no;1510;675;932062911;565.8191682569731
soosis;1;no;1533;675;932062911;560.5398543652918
harjutatakse;1;no;1560;675;932062911;554.4667428073698
teenusepakkujate;1;no;1647;675;932062911;535.7628149510549
andmetega;4;no;9511;675;932062911;528.989232266427
olemasolule;1;no;1763;675;932062911;512.7026903503784
ettevõtetelt;1;no;1765;675;932062911;512.3224970013398
halbadest;1;no;1805;675;932062911;504.835310719397
nõrkuse;1;no;1868;675;932062911;493.4767714343052
nõndanimetatud;1;no;1910;675;932062911;486.1841726955432
sõna-;1;no;2031;675;932062911;466.3302962632312
huvilist;1;no;2045;675;932062911;464.1373213940867
vaatamisel;1;no;2233;675;932062911;436.5682591429609
pärija;1;no;2250;675;932062911;434.2359166931072
asendub;1;no;2296;675;932062911;428.0480409550551
käivate;1;no;2415;675;932062911;412.8294095076907
intrigeeriv;1;no;2574;675;932062911;394.107590254025
klientidelt;1;no;2783;675;932062911;371.9360985898584
tegudest;1;no;2860;675;932062911;364.3837239949266
eurooplaste;1;no;2961;675;932062911;354.93030467835206
harvad;1;no;3098;675;932062911;342.86462411336345
käsitlenud;1;no;3130;675;932062911;340.16361523880454
unustab;1;no;3146;675;932062911;338.8290066359946
tunnuseks;1;no;3176;675;932062911;336.3546360094246
aastastele;1;no;3284;675;932062911;327.7384693497099
harjuma;1;no;3369;675;932062911;321.26151923966177
peata;1;no;3489;675;932062911;312.5415839922261
kostub;1;no;3496;675;932062911;312.04750991696613
siduv;1;no;3551;675;932062911;308.2191868739587
juhtumitest;1;no;3605;675;932062911;304.55077045177484
eemaldama;1;no;3714;675;932062911;297.40578885872566
nõusolekuta;1;no;3744;675;932062911;295.4977363291557
seadeid;1;no;3773;675;932062911;293.6764143796636
regulatsioon;1;no;3822;675;932062911;290.6494993863202
informeeritud;1;no;3899;675;932062911;286.0169760958889
kuluda;1;no;3976;675;932062911;281.5298072150612
käibest;1;no;4012;675;932062911;279.47985897569055
regulatsiooni;1;no;4244;675;932062911;266.9530932857748
seadustega;1;no;4369;675;932062911;260.6582921824944
inimliku;1;no;4438;675;932062911;257.3090907934844
pangakonto;1;no;4482;675;932062911;255.2179440556232
kehtis;1;no;4692;675;932062911;245.68821988649023
puudutavaid;1;no;4792;675;932062911;241.39602003288013
tööandjale;1;no;5184;675;932062911;225.9240994150105
reegli;1;no;5213;675;932062911;224.85791034942625
reeglitega;1;no;5510;675;932062911;214.4912311821449
päringu;1;no;5551;675;932062911;213.1347519069636
direktiiv;2;no;12107;675;932062911;211.87104979951152
nooremate;1;no;5591;675;932062911;211.82779071517407
trahv;1;no;5826;675;932062911;204.46184407134504
ümbritsevat;1;no;6133;675;932062911;195.5773108519489
rahustav;1;no;6149;675;932062911;195.13539457285896
ohtude;1;no;6193;675;932062911;193.93035856567505
kuuluvat;1;no;6265;675;932062911;191.9902635589484
eeldatakse;1;no;6338;675;932062911;190.06245503632925
peeglisse;1;no;6339;675;932062911;190.0363154667281
huve;2;no;14141;675;932062911;183.2805955675643
vähendama;1;no;6615;675;932062911;183.086588972151
uurivad;1;no;6720;675;932062911;180.57431325439117
uuendus;1;no;6985;675;932062911;174.5301282390204
olemasolust;1;no;7089;675;932062911;172.2671945682265
kehtinud;1;no;7090;675;932062911;172.24572039176098
aktiivsust;1;no;7215;675;932062911;169.60296246977418
lepinguid;1;no;7304;675;932062911;167.77021011917597
andmekaitse;1;no;7518;675;932062911;163.52138672653987
õlgu;1;no;7841;675;932062911;157.50097989160793
ettevõtetes;1;no;7970;675;932062911;155.21862954100416
arusaadavalt;1;no;8218;675;932062911;151.01163987321817
kogunevad;1;no;8219;675;932062911;150.9951377858277
tekke;1;no;8294;675;932062911;149.76767646855927
muudki;1;no;8375;675;932062911;148.46423821849487
muutumas;1;no;8449;675;932062911;147.29311787398822
haldamine;1;no;8476;675;932062911;146.87040448227103
andmete;9;no;86375;675;932062911;142.35317428534313
haldamise;1;no;8878;675;932062911;140.8519005096136
IP;1;no;8887;675;932062911;140.72279785327288
kujuneda;1;no;8921;675;932062911;140.23720518323427
andmeid;8;no;81259;675;932062911;134.4136845225082
külmaks;1;no;9813;675;932062911;128.5954318349009
loodetakse;1;no;10141;675;932062911;124.7862507636052
tagatakse;1;no;10808;675;932062911;117.69664401359888
tagajärgi;1;no;11255;675;932062911;113.37973843443814
vigade;1;no;11418;675;932062911;111.8833171207983
vaimus;1;no;11513;675;932062911;111.02925031515112
portaal;1;no;11639;675;932062911;109.91640205094684
iseseisev;1;no;11970;675;932062911;107.09651740693036
koostanud;1;no;12506;675;932062911;102.82479061786128
vaielda;1;no;12637;675;932062911;101.8320877570012
kogumise;1;no;13370;675;932062911;96.61305601379216
