keyphrase;score
muuseumikogud;0.4193
ajaloomuuseumikogud;0.4184
ajaloomuuseum;0.4159
ajaloomuuseumi;0.4119
muuseumid;0.4011
muuseumist;0.3975
muuseumikülastust;0.3939
muuseumisaadetes;0.3913
muuseumi;0.39
muuseumiöö;0.3805
kunstimuuseumi;0.3739
muuseumiks;0.3726
muuseumis;0.3714
muuseumil;0.3704
muuseumidki;0.3703
muuseumikülastajale;0.3683
muuseumile;0.3678
muuseumisse;0.3678
muuseum;0.3666
arheoloogilised;0.3489
kelder;0.3393
näitused;0.3304
lübeck;0.3181
huvitavaid;0.316
huvitav;0.3151
uurimus;0.3103
ekspositsiooniosa;0.3097
hariduskeskus;0.3039
poolkelder;0.3011
ajaloolise;0.3009
näituse;0.2991
arhitektuurne;0.2973
kollektsioonist;0.2968
ajaloolist;0.2957
eksponeerimist;0.294
ekspositsioon;0.2935
eksperimentaalriumis;0.2908
ekspositsiooni;0.2893
eksponeeritud;0.2881
arhitektuursed;0.287
ekspositsioonist;0.2867
seminari;0.2862
ajaloost;0.2841
hoonest;0.2833
ajalooga;0.2826
ajalugu;0.2798
teemaruumid;0.2788
interaktiivset;0.278
põrandapind;0.2778
sügavamal;0.277
näitus;0.2759
räägime;0.2736
katlamaja;0.2736
kuulata;0.2731
atraktsiooni;0.2731
hoonet;0.2716
suletud;0.2709
sügaval;0.2709
saal;0.2695
püsinäitust;0.2694
teadusdirektor;0.2691
ekspositsioonis;0.2681
tutvustav;0.2646
kuulajaid;0.2629
seinast;0.257
avamine;0.2568
ülesruumidesse;0.2556
keldriruumides;0.2551
tähelepanuväärsem;0.253
keskaegne;0.2526
põrandas;0.2522
viimane;0.2513
koostöönäitused;0.2505
avatavas;0.2497
linnaarhiivi;0.2485
ruumis;0.2483
kabinet;0.2465
hoonetöödega;0.2454
vesi;0.2448
koguja;0.2448
kesku;0.2447
õhuküte;0.2435
muljetavaldav;0.2426
avamispäeva;0.2423
lisame;0.2419
uksest;0.2418
ehitamine;0.2412
autentne;0.2401
informatsiooni;0.2383
majad;0.2383
teadustöötajatele;0.238
säilitasime;0.2377
uuenenud;0.2377
väärtuslik;0.2377
ilmselt;0.237
paljastada;0.2365
koduleheküljelt;0.2347
ootame;0.2338
likööri-viinatehase;0.2329
ehitusjäänuseid;0.2309
;0.2307
jätkame;0.2305
tegelikult;0.2301
vanadest;0.2299
installatsioon;0.2295
ehitati;0.2288
traditsioonid;0.2278
küsigu;0.2272
suurgildimaja;0.2267
tõmmata;0.2263
spetsialiste;0.2263
turist;0.226
üritusi;0.2256
pilte;0.2236
hiljem;0.2236
unikaalne;0.2234
1870;0.2229
keskküte;0.2229
esemeid;0.2226
renoveerimistööde;0.2222
teemaline;0.2213
praktiliselt;0.2206
põhja;0.2205
saadete;0.2204
olemegi;0.2198
börsiks;0.2197
seekordne;0.2185
kultuuripealinna;0.2185
algusperiood;0.2147
vaatasime;0.2147
näiteks;0.2136
tõend;0.2128
külastada;0.2121
ülevaatekoha;0.2119
paik;0.2111
detailidest;0.2108
tüüpiline;0.2107
oksjoni;0.2093
enam-vähem;0.208
avamispidustustega;0.2079
inimesi;0.2078
nimi;0.2058
õue;0.2052
jahutada;0.2048
laienemine;0.2045
tallinn;0.2044
jutt;0.2043
pettenbergi;0.2034
liivak;0.203
mäletad;0.2028
epp;0.2016
projekt;0.2009
muusika;0.2005
jaa;0.2004
kutsuda;0.1999
ühiskondlik;0.1987
poolkeldriaknaavad;0.1986
elav;0.1981
ivar;0.1981
saladust;0.1978
avastamisrõõmu;0.1977
võetakse;0.1973
kaljo;0.197
puuduvad;0.1965
kultuurkihti;0.196
sarja;0.196
stockholmis;0.1954
kontserdipaigana;0.1934
rännak;0.1933
käsitööline;0.1928
puid;0.1916
nädala;0.1908
eerik;0.1908
väikelapse;0.1899
langema;0.1895
72021;0.1884
nahakunstnikud;0.1872
paberrahade;0.1868
ilge;0.1851
omanikuks;0.1845
hüpokaust;0.1839
fondidest;0.1835
intelligendid;0.1835
1952;0.183
lähialade;0.1829
liige;0.1827
ajastuid;0.1814
maarjamäe;0.181
müncheni;0.1792
pudeleid;0.1788
eesti;0.1778
direktori;0.1776
-te;0.1769
kaart;0.1749
numismaatik;0.1733
klassikaraadio;0.1714
ajakapsel;0.1641
kalurifeer;0.1578
tuiksoonel;0.155
28;0.1523
