keyphrase;score
religioonidest;0.8309
religioonid;0.8304
religioonide;0.8272
pühast;0.8267
jõuludest;0.8252
religiooni;0.8239
kirikusse;0.8236
pühaduseiha;0.8228
religiooniteooriast;0.8221
pühad;0.822
jõulurahu;0.8217
religiooniilmingute;0.8215
kirikus;0.8212
jõululast;0.8207
kristlased;0.8205
eelreligioosne;0.8204
piiblilausele;0.8196
religioossete;0.8192
religioossus;0.8191
jõuluajal;0.8184
religiooniteega;0.8183
kristlikul;0.8179
kristluses;0.8176
püha;0.8171
jumalast;0.8169
religioon;0.8169
kristliku;0.8167
kiriku;0.8167
jõuludega;0.8167
pühakuks;0.8166
jõulusõnum;0.8165
jõulujõulude;0.8164
religiooniloos;0.8162
jõuluga;0.8154
kristlus;0.8151
õigeid;0.8149
jõululaps;0.8149
kristluse;0.8143
uskumisest;0.8142
usuvad;0.8142
katoliitlastest;0.8141
jõulupühad;0.8138
jõulude;0.8136
mitteusklikest;0.8135
julvernilikult;0.8135
jõulupühi;0.8133
jõule;0.813
religiooniaste;0.813
religioosset;0.812
evangeeliumis;0.8112
kristlik;0.8103
religioonifilosoof;0.8101
usutunne;0.8097
jumalale;0.8095
jumaluse;0.8091
näe;0.8087
loomulikult;0.8086
uskumisega;0.8084
teoloogias;0.8077
jõulu;0.8073
jumalik;0.8071
usuteadus;0.8066
lõpuks;0.8065
tegelikult;0.8064
teoloogiadoktor;0.8062
tõsi;0.8058
jumalikust;0.8056
jumaliku;0.8056
religioonifilosoofia;0.8052
kahjuks;0.8051
uus;0.8046
traditsioon;0.8043
ameeriklastest;0.8039
jaagupist;0.8038
viimane;0.8038
näha;0.8038
tekkinud;0.8036
inimesena;0.8035
ameeriklased;0.8035
õigest;0.8035
õigemini;0.8034
jeesuse;0.803
aastale;0.8029
tõele;0.8029
jumala;0.8029
jeesust;0.8028
näiteks;0.8027
telesaates;0.8026
arvatakse;0.8025
teemal;0.8024
võta;0.8023
tundub;0.8017
ilmselt;0.8017
juudas;0.8016
usutunnet;0.8016
universumist;0.8015
tahaks;0.8013
tuntud;0.8012
religioonist;0.8012
artiklile;0.801
maailmas;0.801
protsenti;0.8008
ütleb;0.8008
mõista;0.8007
usutundest;0.8007
mõelda;0.8006
vastupidi;0.8005
paavstiks;0.8004
tahab;0.8004
maailmast;0.8003
kuju;0.8003
kirjutab;0.8002
aastaseks;0.7999
sisu;0.7996
nii-öelda;0.7995
panteistliku;0.7994
sünnid;0.7993
võtnud;0.7993
kultuurimaailma;0.7991
kultuuriloolised;0.799
tekib;0.799
sündinud;0.7989
tähelepanu;0.7988
mõeldud;0.7988
nädalal;0.7987
tuua;0.7984
teadususku;0.7983
muideks;0.7982
igavest;0.7978
ajumaht;0.7976
tähtsaks;0.7974
kuule;0.7974
ühiskonnast;0.7973
kuulajatele;0.7971
jaa;0.7971
sügav;0.7971
kusagilt;0.797
juutlusest;0.797
kaasa;0.797
kaugeltki;0.7969
vaataksin;0.7969
veebilehe;0.7969
suurem;0.7966
arutlused;0.7966
puudutasite;0.7966
tänan;0.7965
toonud;0.7965
häda;0.7965
klassikaraadios;0.7962
kasutatud;0.7962
hästi;0.7962
sekulaarsesse;0.7961
sajandil;0.7959
eestis;0.7957
tapariistadele;0.7955
natuke;0.7955
küsitakse;0.7952
hiigelraamatuna;0.7951
muudeski;0.795
jättis;0.7949
arutatud;0.7949
seisavad;0.7947
kommenteeritud;0.7945
asjadest;0.7945
olukorrast;0.7942
uskumatult;0.7941
õnnis;0.794
lääne;0.7939
täna;0.7938
juhus;0.7938
jällegi;0.7937
hoomamatu;0.7935
esimesest;0.7927
üleloomulikuna;0.7926
indiaanlastest;0.7926
väärtus;0.7925
minevikust;0.7925
põlvkondadele;0.7922
liigtarkusest;0.7922
iseennast;0.7921
maalisin;0.792
pärandi;0.792
mees;0.7919
lisaksin;0.7919
kolmandaks;0.7918
printsiibist;0.7917
puhkuse;0.7916
hoidub;0.7915
loomariigile;0.7912
aasiamägi;0.7902
ulmefilmid;0.7899
saamist;0.7898
peatükist;0.7898
võsa;0.7897
keisririik;0.7894
antropoloogiline;0.789
kunstisündmus;0.7888
orelikunstnikud;0.7887
tervikuna;0.7875
muuseumis;0.7858
