keyphrase;score
vabaksJeesus;0.856
Hommikupalvuse;0.8468
Jeesusele;0.8379
hommikut;0.8339
evangeeliumi;0.8257
Kristuse;0.8247
ütleb;0.8156
Kuidas;0.8145
vangistab;0.8143
Meie;0.8137
kiriku;0.8125
püha;0.8118
jumala;0.8116
Luterliku;0.8115
ütlen;0.8111
patust;0.8108
igapäevast;0.8099
Kuigi;0.8099
Raudsep;0.8098
õnnistamine;0.8095
saamiseks;0.809
võtnud;0.809
lõpuks;0.8084
Põgene;0.8076
võtame;0.8073
ütled;0.8071
vabaks;0.8068
südamepõhjas;0.8056
esimeste;0.8048
igavesti;0.8046
võlglastele;0.8045
Kui;0.8037
tänapäev;0.8029
kangekaelsus;0.8023
tugevamaks;0.8022
läbime;0.802
valitsema;0.8013
päevasuses;0.8011
päeva;0.8004
tähele;0.8004
õieti;0.7997
viimaks;0.7996
Jüri;0.7994
Aamen;0.7993
Pühitsetud;0.7991
sõna;0.7984
Tõesti;0.7982
kaheksanda;0.7982
hoiame;0.7979
mõtteid;0.7973
rahusse;0.7972
väärilisteks;0.797
kindel;0.7966
emeriitõpetaja;0.7963
peatüki;0.7956
nähtamatuid;0.7949
elu;0.7949
Toimi;0.7944
Evangeelse;0.7942
igavene;0.7939
enesevalitsemine;0.7938
võimu;0.7938
vaenlasi;0.7932
Johannese;0.7931
kinni;0.7929
suudab;0.7926
kannatlikkus;0.7918
pattu;0.7912
kurjast;0.791
meiegi;0.7909
meelelaad;0.7905
jõuduga;0.7905
Eesti;0.7901
naabraami;0.7899
orjanud;0.7899
rahulik;0.7894
lõppenud;0.7892
päästa;0.7887
viisil;0.7887
olemust;0.7886
palvet;0.788
tahtmine;0.7876
sündigu;0.7875
süda;0.7875
koormaid;0.7865
võlad;0.7865
teemeid;0.7856
patusulane;0.7856
kylevas;0.7852
viletsuses;0.7851
kiusatusse;0.7842
Stamiteed;0.7841
viletsaks;0.7826
tunnuste;0.7824
maa;0.7823
meelepärasel;0.7823
jõud;0.7817
isa;0.78
patu;0.7796
kuivad;0.7789
tunneme;0.7788
vägi;0.7788
Tere;0.7786
ilmnemisel;0.7782
kanaleid;0.7778
igavese;0.7777
käitumist;0.7772
riik;0.7767
vabad;0.7762
murda;0.7759
aitad;0.7758
meelt;0.7757
aluseks;0.7751
kostsid;0.775
poeg;0.7748
mürgitab;0.7745
vaenulik;0.7736
jumal;0.7733
kostis;0.7719
sõpru;0.7716
majasse;0.7714
Pattun;0.7713
nimi;0.7705
jää;0.7698
kanda;0.7688
kingi;0.7679
ainsana;0.766
Kes;0.7654
orjusse;0.7645
Sest;0.7643
Sa;0.7633
leiba;0.763
Nemad;0.7624
Ent;0.7621
Ja;0.7619
Halvim;0.7612
sugu;0.76
paneme;0.7597
anname;0.7595
Armuline;0.759
andeks;0.7584
taheta;0.7583
satume;0.7579
ori;0.7572
;0.7569
taevas;0.7566
Ära;0.7555
Anname;0.7531
appi;0.7511
tigeda;0.7453
anna;0.7432
Salmini;0.7424
au;0.7417
aset;0.7409
teame;0.7385
33;0.7363
-st;0.7357
36;0.7346
lase;0.7316
lisa;0.7284
