keyphrase;score
üle-euroopa=line;0.4306
euroopalik;0.415
eurooplane;0.4129
keele_oskus_uuring;0.4104
euroopa;0.4057
eestlane;0.3951
keele_õpe;0.3878
euroop;0.381
saksa_keelne;0.3787
võõr_keele_õpe;0.3779
keel_eõpe;0.3762
uurima;0.3755
keele_kasutaja;0.3668
keele_õpetus;0.3654
keelterikkas;0.3641
uurine;0.3636
inglise_keelne;0.3617
võõr_keele_õpetus;0.3612
uurimine;0.3611
uuring;0.3589
keele_oskustane;0.3572
keele_oskune;0.3569
keele_oskus;0.3568
võõr_keelne;0.3541
keele_keskus;0.3539
võõr_keel;0.352
eri_uuring;0.3517
õpilane;0.3516
viimane;0.3494
keele_oskustase=m;0.3494
õppima;0.3467
keele_pool;0.3434
saksa;0.3428
üldise=m;0.3385
ühe_teista_astane;0.3383
keele_poliitika;0.3377
riigi_keel;0.3377
õppija;0.3342
eesti;0.3324
lõpetaja;0.3321
keele_kasutus;0.3313
iga_päeva_töö;0.3311
räägi=tav;0.331
põhi_kooli_õpilane;0.3296
rääkima;0.3293
keele_poliitikas;0.3281
teadlane;0.3271
keele_olu_kord;0.3259
sisse_rändaja;0.319
euro_baro_meeter;0.3185
keele_maastik;0.318
keele_valim;0.317
õpetama;0.3169
suuna=tud;0.3161
testi=tav;0.315
inglise;0.3147
lõpp_tulemus;0.3143
analüüs;0.3138
südame_lähedase=m;0.3134
testi=tu;0.3128
prantsuse;0.3127
testima;0.3119
ühendus;0.3115
ema_keel;0.3115
keel_terikas;0.3113
lõpetama;0.3105
aine_õpe;0.308
;0.3078
mis_sugune;0.3074
mitme_keelne;0.3074
õpitav;0.3074
suhtlema;0.3072
kuu_eastane;0.3069
suhtlemine;0.3068
koos_töö;0.3057
õppimine;0.3054
võrdlema;0.305
võõr_keele_komplekt;0.3047
ühendav;0.3041
vaatama;0.3033
esimene;0.3027
rahvus_vaheliselt;0.3027
naaber_keel;0.3003
mõõtma;0.2994
keelel;0.299
lõimi=tu;0.299
liikmes_riik;0.2986
kooli_eelne;0.2984
kooli_aste;0.2976
mõel=dud;0.2968
välja_õpetamine;0.2949
ühend_kuning_riik;0.2942
inimene;0.2935
kas_või;0.2921
esmase=lt;0.2917
mis_tahes;0.291
töötama;0.2909
põhja-iiri_maa;0.29
integratsioon;0.2894
inglis_maa;0.2871
nii_sugune;0.2857
orienteeri=tud;0.2852
meetod;0.2845
ühtne;0.2838
osaleja;0.2834
korralda=tud;0.283
leidma;0.283
haridus_süsteem;0.2829
korra=nu;0.2825
migratsioon;0.2824
ühine;0.2823
väljas_pool;0.2818
vähemus_keel;0.2811
norra;0.2807
täna;0.2806
kurvasta=v;0.2805
hollandi;0.28
õppe_kava;0.2793
kodanik;0.2785
haridus;0.2773
keel;0.2773
eest_vedaja;0.2771
alustama;0.277
suhtlus_oskus;0.277
küsimus;0.2769
oska=mine;0.2768
oma_vahel;0.2768
portugali;0.2746
ärgita=nu;0.2745
kristi;0.2738
rootsi;0.2734
tele_saade;0.2727
jätkuma;0.2724
aja_vahemik;0.2718
mõistma;0.2715
toode;0.2713
esi_algne;0.271
nimetasi=menn;0.2708
peal_kiri;0.2704
vene;0.2702
eri_staatus;0.2698
audio_visuaalne;0.2697
televisioon;0.2695
vahend;0.2692
dubleeri=mine;0.2689
täiendus_koolitus;0.2683
kaasnema;0.268
seos;0.2678
sloveenia;0.267
huvitav;0.2669
koordinaator;0.2665
värske;0.2662
võimalik;0.2644
teadma;0.2636
nädal;0.2613
seitsme_aastane;0.259
enese_kriitiline;0.2578
jõudma;0.2563
see_sama;0.2551
piirkondlik;0.2544
siht_asutus;0.2543
koht;0.2523
kaks;0.2521
tõusma;0.2521
teema;0.2521
laps;0.2513
lähenemis_nurk;0.2499
järg;0.2493
kuul;0.249
institutsioon;0.2488
neljas;0.2486
teadus_ministeerium;0.2479
külg;0.245
kool;0.2447
läbiv;0.2442
2007;0.2439
koguma;0.2435
meedia;0.2422
vastaja;0.2417
valima;0.2417
mõte;0.2416
kõmr;0.2405
sõna;0.2381
paremini;0.2351
valge;0.2344
aasta;0.2311
ärgita;0.2306
raskem;0.2303
madalam;0.2297
jällegi;0.2292
loodud;0.2282
sealne;0.2259
edendamine;0.2232
piret;0.2224
komisjon;0.2216
luksemburg;0.2215
niune;0.2196
dokument;0.2189
leedu;0.2091
raam;0.2059
