keyphrase;score
võtma;0.8519
rääkima;0.847
jõudma;0.8424
sõna;0.8403
lõpuks;0.84
väga-väga;0.8396
raadiomaja;0.8394
kõrgemale;0.8385
ütlema;0.8378
jooksma;0.8376
ühesõnaga;0.8359
vaatama;0.8356
käima;0.8344
jätkuma;0.8329
tähendama;0.8329
lõpp;0.8324
kõne;0.8323
üheksateistkilone;0.8322
parim;0.8319
kiiresti;0.8318
viimane;0.8316
ületama;0.8302
kümme;0.8292
kaasa;0.829
ütlebk;0.829
suurepärane;0.8288
valmis;0.828
üheksa;0.8279
natuke;0.8276
kaheksa;0.8276
tegelikult;0.8275
esimene;0.8273
jooksev;0.827
hästi;0.8269
mõtlema;0.8266
lihtsalt;0.8266
täis;0.8258
jooks;0.8256
omapoolne;0.8253
viis;0.825
kaheksas;0.825
üheksas;0.8249
kuulma;0.8246
kõndima;0.8242
kaks;0.824
kolleeg;0.8237
koostama;0.8234
üldse;0.8232
kolm;0.8231
raadio;0.823
ühinema;0.8226
alustama;0.8225
joostu;0.8224
kiiremini;0.8223
kiirem;0.8221
tõstma;0.8218
kõnev;0.8215
mõte;0.8214
mees;0.8208
plaadivõtmine;0.8206
natukene;0.8205
küsima;0.8204
meeldima;0.8197
lugu;0.8196
kaaluma;0.8195
vägisõna;0.8194
hiljaks;0.8191
jõuakas;0.819
nägema;0.8188
suhteliselt;0.8188
raadiosaade;0.8188
lootma;0.8187
võistlus;0.8185
jääma;0.8184
liitunud;0.8184
töö;0.8182
spordiiids;0.8178
vabalt;0.8175
võimalus;0.8171
jooksutoss;0.8165
mõnusam;0.8161
kõrvaklapp;0.8158
soovitama;0.8157
murdumine;0.8155
eesti;0.8155
kuulne;0.8151
hoidma;0.8148
võib-olla;0.8147
rahulikult;0.8144
eeldus;0.8143
kolleegimine;0.8141
täna;0.814
kodu;0.8137
küsimus;0.8136
kõnniv;0.8136
sisu;0.8135
jõud;0.8135
katkenud;0.8127
andma;0.8127
sinupoolne;0.8127
stuudioukse;0.8125
plaadimasin;0.8125
vabandus;0.8121
spordireporter;0.812
vaheoeg;0.812
loetud;0.8119
startima;0.8116
telefonisild;0.8115
kommentaar;0.8112
arvama;0.811
põgenema;0.8109
spordis;0.8109
veidike;0.8107
tõepoolest;0.8102
arvutama;0.8092
ühendatud;0.8092
väli;0.8091
küla;0.8087
väike;0.8087
spordiuudis;0.8084
haarama;0.8082
tunne;0.8082
kuus;0.8082
reaalselt;0.808
siiamaani;0.8078
seljakott;0.8073
paiskuv;0.8073
valima;0.8073
sportlane;0.8071
keskmine;0.807
nimetan;0.8068
võrdlus;0.8065
suu;0.8065
telefoniühendus;0.8065
tuletõrje;0.8061
põrand;0.8059
stuudio;0.8059
vahendaja;0.8058
sooritus;0.8051
äkki;0.8048
sangpomm;0.8044
haagib;0.8044
meel;0.8037
naine;0.8037
raskem;0.8036
katsunud;0.8034
joobinu;0.8031
lugema;0.8031
jalg;0.8029
liitšeil;0.8027
kell;0.8026
hoidmine;0.8022
neli;0.8016
murdma;0.8007
rahule;0.8007
tunduma;0.8006
samm;0.8005
voiva;0.8001
higilaik;0.7998
kolmas;0.7998
soovitus;0.7998
tiiteš;0.7997
viskama;0.7997
viies;0.7997
tasuma;0.7995
uhke;0.7992
rahvas;0.799
poolteist;0.799
kaal;0.7985
särk;0.7983
lahjem;0.798
varustus;0.7979
paistma;0.7979
tiitsei;0.7977
tahtma;0.7971
suhtuma;0.7956
madis;0.7953
minut;0.7952
ränk;0.7951
aeg;0.7948
katkema;0.7947
varem;0.7946
hommik;0.7943
tasapind;0.7943
seitsmes;0.794
kole;0.7938
enamus;0.7936
hea;0.7933
ronima;0.7929
kila;0.7918
hullem;0.7906
sekund;0.7898
kurnav;0.7891
proovima;0.789
noor;0.7878
vorm;0.7873
rekord;0.7853
uks;0.7843
100;0.783
;0.7829
