keyphrase;score
lugema;0.3847
lugemine;0.3844
raamatukogu;0.3759
raamat;0.3674
õpetamine;0.3634
mõtlema;0.361
õpetussõna;0.3604
õhtune;0.3586
kirjahiiglane;0.3448
rääkimine;0.3443
kirjutama;0.3423
mõte;0.333
sügis;0.3299
rääkima;0.3283
jääma;0.3265
hiia;0.3237
õpetaja;0.3218
väike;0.3178
toimetaja;0.3143
koolipõlv;0.3075
puuduma;0.3055
koht;0.3033
hiidel;0.3025
arvama;0.299
kuulne;0.2969
Hiiu;0.2935
projektijuht;0.2922
materjal;0.2918
vahe;0.2916
elama;0.2881
lugu;0.2868
nimi;0.2867
plaan;0.2857
kuskile;0.2852
köik;0.2846
aeg;0.2834
iiri;0.2816
puudu;0.2814
leid;0.281
käima;0.279
viimane;0.2779
kaks;0.2743
uus;0.274
sõna;0.2727
jutt;0.2715
inimene;0.2694
segamine;0.2682
ütlema;0.2678
tähendama;0.2669
lõpuks;0.2654
kujundama;0.2653
meel;0.2652
natukene;0.2651
plaanime;0.2649
vaatama;0.2648
hing;0.2646
tänane;0.2642
töö;0.2626
pääl;0.2626
;0.2624
aegne;0.2623
käeõhtu;0.2619
ühine;0.2611
suur;0.2611
otsima;0.2609
lünk;0.2603
lehekülg;0.2599
köel;0.2597
panema;0.2594
klass;0.259
täitma;0.2587
lillepeenar;0.258
siio;0.2572
uuem;0.2567
süda;0.2561
plaanesing;0.2561
matu;0.2555
Hiiumaa;0.2542
algus;0.2536
kodu;0.2533
tund;0.2532
sid;0.2531
laisk;0.253
kirjas;0.2518
teadma;0.2503
aasta;0.2499
tehia;0.2486
kaugele;0.2484
osa;0.2484
mete;0.2481
pikk;0.248
vigane;0.2473
kohtla;0.2468
keel;0.2465
heinsugu;0.2461
kokla;0.2457
vähe;0.2452
kiip;0.2451
päev;0.2451
õige;0.245
käär;0.2446
siion;0.2428
seletuskiri;0.2423
jäime;0.2423
laps;0.2418
pilt;0.2396
pul;0.2395
asi;0.2382
keik;0.238
muuseum;0.2361
lasteraamat;0.236
viidik;0.236
tahvel;0.2352
panemik;0.2351
mõeldud;0.2339
märkia;0.2338
taas;0.2335
mai;0.2333
juurutama;0.2326
vanem;0.2307
kool;0.2306
põhiliselt;0.229
kriminarilinaalne;0.2275
seiman;0.2273
ikk;0.2261
lapselaps;0.2233
elu;0.2233
tunduma;0.223
sedamoot;0.2217
parasjagu;0.2216
lapsepõlvemaa;0.2215
ununema;0.2209
äraarvamine;0.2201
pime;0.2199
vähevõitu;0.2198
eesti;0.2193
kruuk;0.2193
suu;0.2187
ari;0.2184
vanavanem;0.2181
uskuma;0.2179
hästi;0.2169
lili;0.216
kaust;0.2156
itu;0.2148
valitud;0.2146
mõistatus;0.2144
pisistanadon;0.2137
pude;0.2135
kogunesko;0.2124
vallamaja;0.2122
võimairi;0.2115
liimitatu;0.2113
kiri;0.2103
laiskus;0.2075
vaatus;0.2074
trumm;0.2067
täis;0.2064
täädev;0.2062
esimene;0.206
Mac;0.2034
tähele;0.2034
nõukogu;0.2027
eriti;0.2026
pill;0.2012
roberta;0.1997
armiline;0.1993
huukjas;0.1961
Merike;0.1959
realist;0.1954
Aivar;0.1949
parem;0.1949
jänene;0.1927
aniis;0.192
suhteliselt;0.1916
järjest;0.1901
meeldima;0.1887
tääm;0.1885
passinu;0.1883
tavaline;0.1883
kasutama;0.1868
loba;0.1865
tarison;0.1856
kall;0.184
viis;0.1838
no;0.1836
vagarb;0.1831
äkki;0.1824
Täht;0.1813
lubama;0.1794
tramp;0.1775
raamand;0.1772
pett;0.1755
tarniline;0.1744
esiti;0.1743
panim;0.1707
ennemine;0.1635
iseekaan;0.1631
Tüür;0.1534
Paul;0.1533
