keyphrase;score
ehmatamine;0.8594
eematamine;0.8556
uskumus;0.8463
tulenema;0.8432
ehmatus;0.8429
tugevam;0.8417
hirmutekitaja;0.8416
ütlema;0.8398
pärimustekst;0.8396
võtma;0.8387
esinema;0.8385
tihmatamine;0.8382
tervisehäda;0.8377
elujõud;0.8375
maagiline;0.8372
terviserisk;0.836
häda;0.8356
treenima;0.8352
hirmusööst;0.8351
tõekspidamine;0.835
rääkima;0.835
esmaaline;0.8349
kummitus;0.8347
vaimselt;0.8346
kaitsemaagia;0.8344
ohtlik;0.8344
nõrgenema;0.8341
reedeeemme;0.834
häire;0.8335
vaatama;0.8335
ehmatama;0.8335
kaitsevõime;0.8333
jõudma;0.8331
usunditeadlane;0.8325
hiiemägi;0.8325
paremini;0.8325
kujutama;0.8324
pärimuslik;0.8324
tegutsema;0.8323
kaelalihaslihas;0.8322
maandamine;0.8318
ootamatu;0.8317
mõju;0.8315
ärakuulamine;0.8315
haigus;0.8313
jõuline;0.8313
inimene;0.8311
rüüpama;0.8305
tähendama;0.8302
ebatavaline;0.8298
tähelepanu;0.8297
kahjustamine;0.8296
kirjeldama;0.8296
säilitama;0.8294
põhjustama;0.8291
tugev;0.8291
oksendamine;0.829
muutumine;0.8289
surnunägemine;0.8288
nõidus;0.8287
usundiline;0.8287
mõte;0.8276
märkama;0.8275
jätkama;0.8275
seletamatu;0.8274
nägema;0.8274
haigusseisund;0.8272
kuuluma;0.8269
suutma;0.8269
kaitse;0.8269
virumaa;0.8268
kirjutama;0.8265
kasutama;0.8264
ärritumine;0.8264
üleloomulik;0.8262
tõhus;0.8262
efektiivsemalt;0.826
toimetulek;0.825
soovitama;0.8249
muutma;0.8248
sündmus;0.8245
mainitaks;0.8244
psüühikahäire;0.8244
võimalik;0.8243
näiteks;0.8242
nii-öelda;0.8241
kahjustav;0.824
järeldati;0.8236
tegevus;0.8233
ärevus;0.8232
oluline;0.8231
kõlama;0.8231
võte;0.823
vabanemine;0.8229
eemale;0.8229
isikustatu;0.8227
lohutamine;0.8227
seljavalupist;0.8226
vaimne;0.8223
jääma;0.8222
suunama;0.822
üldse;0.822
saagas;0.8218
avalduma;0.8217
piitsutama;0.8217
sisendusjõuline;0.8217
kahjustus;0.8215
haiguspilt;0.8213
ehmatanu;0.8213
inimes++tevaheline;0.821
füüsiliselt;0.821
jälgim;0.8209
kaitsevõte;0.8208
vallandub;0.8206
hädas;0.8204
elundkond;0.8202
teadaolev;0.8202
teada-tuntud;0.82
emotsionaalne;0.82
meelevaldne;0.82
tulemus;0.82
väljendus;0.82
huvitav;0.82
stressikirjeldus;0.8199
seostatav;0.8196
samamoodi;0.8193
joomine;0.8191
sisekeskkonnamuutus;0.819
psühholoogiline;0.8189
tagajärg;0.8188
välismõju;0.8188
kokkuviimine;0.8187
vahendama;0.8186
nõrkus;0.8186
sarnanema;0.8184
tooma;0.8184
esindaja;0.818
ammus;0.8177
kiiresti;0.8177
aitamine;0.8173
loorits;0.8172
sekkumine;0.8171
vihastama;0.8171
kõva;0.8171
kaugele;0.817
tõepoolest;0.8169
arvama;0.8169
pääsema;0.8166
vaim;0.8165
üleskirjutus;0.8163
jooma;0.8162
kaitsev;0.816
sünnipärane;0.8159
kaasuv;0.8156
äikesevihma;0.8153
ühiskond;0.8153
maailm;0.8151
muiste;0.815
lõpetus;0.815
toetav;0.8148
sellegipoolest;0.8147
roosinimeline;0.8146
ühiskonnaelu;0.8146
äkiline;0.8146
sõna;0.8146
olend;0.8144
kuumus;0.8144
ebasoovitav;0.8144
ülekaal;0.8139
piim;0.8139
õiga;0.8138
maagia;0.8138
mainitud;0.8136
tahtlikult;0.8136
meditsiiniline;0.8134
suhtlema;0.8133
reageerim;0.813
natuke;0.813
saabuma;0.8124
põhimõtteliselt;0.8122
lihtsalt;0.8122
füüsiline;0.8121
surnud;0.8116
säkiline;0.8115
põhine;0.8114
juht;0.8112
suhkruvesi;0.8106
pärssiv;0.8106
tunduma;0.8106
seoses;0.8101
vihiaatria;0.8098
hommik;0.8097
täna;0.8096
puudut;0.8094
võrdlema;0.8084
rahustav;0.8081
sotsiaalmeedia;0.8076
õhtu;0.8076
maailmanägemus;0.8074
poliitiline;0.8032
